story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Shivhei-Habesht_0034	Shivhei-Habesht	embedding+lexical	0.96	מקוה	True	medium	Besht went to the mikveh three times (הלך שלשה פעמים למקוה).	"א התעלף והיו מעוררים אותו עד חצי יום ובעש״ט הלך שלשה פעמים למקוה, ושלח לאדון א׳ רחוק ג׳ פרסאות וקנה ממנו אבן טוב הנקרא דימאנט בסך שלשים אדומים וכתשו אותו ונתנו לו לשתות ואח""ז בא אליו ר׳ יעקב וחביריו הנ׳ לבקרו שאלו אותו מ"		
Khal-Hasidim_0202	Khal-Hasidim	embedding+lexical	0.959	טבל	True	high	Went to the bathhouse and immersed himself before Pesach (למרחץ וטבל א״ע).	 שאל מאומה מה תהי' בפסח. בערב חג הקדוש הלך הרב הצדיק למרחץ וטבל א״ע וישב לבית המדרש ללמוד תורה ויהי שם כל היום והחסיד הגביר הכין יין טוב לארבע כוסות גם הכין להרב מלבושים נאים ויפים וגם לכל בני ביתו הכין מלבושים יפים ונאי		
Shivhei-Habesht_0005B	Shivhei-Habesht	embedding+lexical	0.958	מקוה	True	high	Parallel; habitual pre-prayer immersion.	אות דרך חורי המנעלים כי הי' עני מאוד והיה הולך קודם והתפלה למקוה אפילו בתקופת טבת ובשעת התפלה היו נוטפים ממנו זיעה וטיפות כמו פולין אח״כ נזדמנו לו כמה חולאים ולא רצה לקבל אותם עד שפעם אחד הביאו משוגע או משוגעת ולא רצה לק		
Khal-Hasidim_0082	Khal-Hasidim	embedding+lexical	0.958	מקוה	True	medium	Went to the mikveh and wept before Mincha (הלך למקוה ובכה).	"א ובא עם האגרת ל הבעש״ט ונתעצב מאוד וזה היום הי׳ עש""ק והלך למקוה ובכה מאד והתפלל תפלת מנחה במרירות גדול עד שאנשי סגולתו לא יכלו להרים ראש ואמרו אפשר כשיתחיל לקבל שבת יקבל מתוך שמחה והוא התפלל קבלת שבת וערבית ג""כ במרירות "		
Shivhei-Habesht_0207	Shivhei-Habesht	embedding+lexical	0.958	מקוה	False	medium	Parallel; decided not to go to the mikveh.	"ט ומפני זה בעי״ט האחרון של פסח הי' שקל' וטרי' אצלו אם לילך למקוה או לא והסכימה דעתו שלא לילך וביום ז׳ ש""פ בתפילה ראה איך שנגזר על הבעש״ט שיסתלק בקרוב מפני התעצמותו מאד נגד כת הש""ץ כמבואר לעיל במעשה יוה״כ כשרצו לשרוף ש""ס "		
Khal-Hasidim_0140	Khal-Hasidim	embedding+lexical	0.958	מקוה	True	medium	Parallel: Besht went to the mikveh three times.	" התעלף והיו מעורריםאותו עד חצי יום ו הבעש""ט הלך שלשה פעמים למקוה ושלח לאדון א׳ רחוק ג' פרסאות וקנה ממנו אבן טוב הנק' דימאנט בסך שלשים אדומים וכתשו אותו ונתנו לו לשתות ואח""ז בא אליו ר׳ יעקב וחבירו הנ""ל לבקרו שאלו אותו מפנ"		
Khal-Hasidim_0009	Khal-Hasidim	embedding+lexical	0.957	מקוה	True	high	Regularly went to the mikveh before prayer even in winter (קודם התפלה למקוה אפילו בתקופת טבת).	"וצאות דרך חורי המנעלים כי היה עני מאד והיה הולך קודם התפלה למקוה אפילו בתקופת טבת ובשעת התפלה היו נוטפים ממנו זיעה טיפות כמו פולין. אח""כ נזדמנו לו כמה חלואים ולא רצה לקבל אותם עד שפעם אחד הביאו משוגע או משוגעת ולא רצה לק"		
Shivhei-Habesht_0097	Shivhei-Habesht	embedding+lexical	0.957	מקוה	True	medium	Parallel of Khal-Hasidim_0082; went to mikveh.	א ובא עם האגרת ל הבעש״ט ונתעצב מאוד וזה היום הי' עש״ק והלך למקוה ובכה מאד והתפלל תפלת מנחה במרירות גדול עד שאנשי סגולתו לא יכלו להרים ראש ואמרו אפשר כשיתחיל לקבל שבת יקבל מתוך שמחה והוא התפלל קבלת שבת וערבית ג״כ במרירות 		
Khal-Hasidim_0173	Khal-Hasidim	embedding+lexical	0.957	טבילה	True	high	The story explicitly describes a woman going to a river for ritual immersion (ליל טבילה) and discusses the halakhic implications of her presence there.	אל אותה האיש מה זאת ותאמר לו מכפר פלוני אנכי והלילה הוא ליל טבילה אצלי ונסעתי עם בעלי לטבול בנהר במקום חציבות הכפור ואישי המתין עלי. ומלבושי היו על העגלה. ופתאום ברח הסוס עם העגלה עם כל מלבושי וירץ אישי ללכדו ואנכי נשאר 		
Maase-Zadikim_0016	maase-zadikim	embedding+lexical	0.956	טבל	True	high	The text explicitly describes Rabbi Phinehas of Koretz going to the bathhouse and immersing himself (טבל) on the eve of Passover.	" שאל מאומה מה תהי' בפסח. בערב חג הקדוש הלך הרב הצדיק למרחץ וטבל א""ע וישב לבית המדרש ללמוד תורה ויהי שם כל היום והחסיד הגביר הכין יין טוב לארבע כוסות גם הכין להרב מלבושים נאים ויפים וגם לכל בני ביתו הכין מלבושים יפים ונאי"		
Khal-Hasidim_0128	Khal-Hasidim	embedding+lexical	0.956	מקוה	False	medium	Deliberated whether to go to the mikveh and decided NOT to; immersion not performed.	" ומפני זה בעי״ט האחרון של פסח היה כשקל' וטריא אצלו אם לילך למקוה או לא והסכימה דעתו שלא לילך וביום ז' ש""פ בתפלה ראה איך שנגזר על הבעש""ט שיסתלק בקרוב מפני התעצמותו מאד נגד כת הש״ץ כמבואר לעיל במעשה יוה""כ כשרצו לשרוף ש""ס ב"		
Shivhei-Harav_0019	Shivhei-Harav	embedding+lexical	0.955	טהרה	False	high	'מסר נשמתו בטהרה' = died in purity; metaphorical.	א יסיים התורה והוא אתקטר בחד קטירא לחי העולמים. ומסר נשמתו בטהרה ועלה לגן עדן העליון למנוחה ואותנו עזב לאנחה : זכותו יגן עלינו בזה ובבא שנזכה לראותו כאשר יקיצו שוכני עפר בביאת משיח צדקינו ב״ב אמן : תם ונשלם		
Sipurei-Zadikim_0001	Sipurei-Zadikim	embedding+lexical	0.954	מקוה	True	high	Parallel of Khal-Hasidim_0162; went to mikveh.	"ם ב בוניטש ): ויהי ביום ערב שבת קודש אחר חצות אחר שהלך הרב למקוה קרא את הנגיד הנ""ל ואמר לו שאלה אחת קטנה אשאל ממעלתכם אל נא תשיבו פני הנה דרכי תמיד בכל ערב שבת לנסוע מעט לטייל על השדה ויש לי איזה טעם בזה ועל כן ימחול רו״"		
Mifalot-HaZadikim_0019	Mifalot-HaZadikim	embedding+lexical	0.953	טבילה	True	high	People going to and from the immersion house (הולכים לבית הטבילה).	ה אנשים הולכים בכותנותם תחת אצילי ידיהם ורצין והולכים לבית הטבילה וכמה אנשי׳ חוזרים מהטבילה אז הבין כי נאמנו דבריה׳ ויבא הביתה להכין א״ע לקבלת שבת והנה בתוך כך בא אליו הבעש״ט לבקש ממנו ולהזמינו לביתו על סעודת שבת ויפצר ב		
Adat-Zadikim_0016	Adat-Zadikim	embedding+lexical	0.952	טבילה	True	high	The story explicitly describes a woman traveling to a river for her ritual immersion night (leil tvilah) and mentions her husband waiting while she immerses.	אל אותה האיש מה זאת ותאמר לו מכפר פלוני אנכי והלילה הוא ליל טבילה אצלי ונסעתי עם בעלי לטבול בנהר במקום חציבות הכפור ואישי המתין עלי ומלבושי היו על העגלה. ופתאום ברח הסוס עם העגלה עם כל מלבושי וירץ אישי ללכדו ואנכי נשאר פ		
Peer-MiKdoshim_0008	PeerMikdoshim	embedding+lexical	0.952	טבילה	False	high	'תטבילהו' is poetic/figurative, not ritual immersion.	דקה אשר בביטולה ינתקו מיתרי החיים עד כי את האיש המונע בשחת תטבילהו חייתו ולהחיש מפלט אל הנפש ואיך נחזה בחוש כי רוח הצדיק ברבבות קודש תפרוש כנפים אין נסתר מחמתו כי הוא העומד אחר כותלינו על כל ארץ רחבת ידים. וממש מציץ ומשג		
Shivhei-Harav_0018	Shivhei-Harav	embedding+lexical	0.951	טהרה	False	high	The story describes the Alter Rebbe's escape from the French army, his prayers, and his passing, but contains no mention of ritual immersion (mikveh).	"ן על השאר כי אחר הבדלה איזה רגעים אחדים קודם אשר מסר נשמתו בטהרה לחי העולמים לקח עטו וכתב על הגליון המאמר נפש השפלה באמת לאמיתה כו׳ וההעתקה כמוסה תח""י בכתובים והוא מאמר סתום וחתום לעין הקורא ומעט מזה ביאר תלמידו הררא״ה ה"		
Khal-Hasidim_0190	Khal-Hasidim	embedding+lexical	0.949	טהרה	False	high	The text describes the passing and spiritual state of the Rebbe, and while 'taharah' (purity) is mentioned regarding his soul, there is no mention of ritual immersion in a mikveh.	"ן על השאר כי אחר הבדלה איזה רגעים אחדים קודם אשר מסר נשמתו בטהרה לחי העולמים. לקח עטו עטי וכתב על הגליון מאמר נפש השפלה באמת לאמיתה כו׳ והעתקה כמוסה תחוי תח""י כתובים והוא מאמר סתום וחתום לעין הקורא ומעט מזה ביאר ת למידו "		
