story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Mifalot-HaZadikim_0026	Mifalot-HaZadikim	embedding+lexical	0.965	ניגון	True	high	The story explicitly describes the protagonist delivering mystical Torah teachings with a 'beautiful melody' (ניגון יפה) and concluding with a 'melody of conclusion' (ניגון הסיום).	 מסכן הנ״ל את פיו הקדוש בדיבורי תורה עמוקים מאוד בהתלהבות ובניגון יפה ונמשך הדיבורים לערך חצי שעה וסיים התורה בניגון הסיום ושניהם היו בעמידה והרב הנ״ל עשן הטיטין עד שנתמלא כל החדר בעשן ענן הקטרת אח״כ פתח עוד הפעם איש מסכ		
Khal-Hasidim_0185	Khal-Hasidim	embedding+lexical	0.962	כינור	True	high	The story explicitly mentions the kidnapped boy playing the violin ('כינור') to soothe his sorrow while imprisoned in the church attic.	וב הדבר אשר הוא עושה ויכנוס הדבר בלבו ויתמרמר ויקח הנער את הכינור כי היה יודע בגן בכינור ויחשוב להפיג צערו בזאת וכן היה הקיצור בפעם הרביעי ובפעם החמיש נתמרמר מאד עד כי לא הי' יכול לסבול ויבך מאוד במר נפשו על אשר קרה לו כ		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding+lexical	0.961	ניגון זמר	True	high	The story explicitly describes the character whistling a melody and singing the 'Nishmat' prayer using a specific 'gentile melody' as part of the narrative.	״ל הולך יחף בביתו מפה אל פה ומתפלל במהירות כנ״ל ומזמר נשמת בניגון הערלים בעת שיכרותם אז התחילו לזרז א״ע וגמרו תפילתם עמו בשוה ועשה להם יסורים עוד יותר גדולים מן האתמול בליל ש״ק ואח״כ לעת המנחה רצו לאכול סעודה השלשית ולא 		
Khal-Hasidim_0253	Khal-Hasidim	embedding+lexical	0.961	שיר	False		[error] Unterminated string starting at: line 4 column 3 (char 48)	"כל לזכות להצלחה אשר כל ימיך לא האמנת שבני בניך יזכו להצלחה עשירית מזה כי תוכל ליקח את הרב הגדול ר""ח לחתן לך כי כן וכן הגיד לי ואנכי ידעתי כי יש לך בת בתולה הגונה וגם בית מיוחדת בחצר אך ספרים שאין לך לכ ע""כ ראה מה תעשה וה"		
Shivhei-Harav_0011	Shivhei-Harav	embedding+lexical	0.961	ניגון זמר שיר	True	high	The story depicts R' Mordechai of Lechovitch listening to a military band and instructing his followers to learn the melody for use in Sabbath songs.	חלון ופניו לגן ולא הביט אחריו ויאמר לאנשיו שימו לב לקבל את הניגון כי יהיה טוב לזמר בו זמירת שבת ויחרה לכל האנשים כי חרדו מאוד מאימת דינם אבל הוא שנה להם את דברו ויאמר להם אל תיראו מדברי הכלב הזה אשר עומד מאחרי עשו זאת אי		
Sipurei-Zadikim_0011	Sipurei-Zadikim	embedding+lexical	0.96	זמר	True	high	The story depicts Rabbi Azriel leading prayer with a specifically highlighted 'pleasantness of singing voice' (נעים זמרת קולו) and melody (נעימות) that moves the listeners.	"ות כמוהו וכל אוזן שומעו תמאס כל התענוגים ותרצה להתענג בנעים זמרת קולו וישאר המלמד נבוך ברעיוניו ולא ידע מה לדון בזה כי הדרשן עצמו הוא אמר על המהרש""א כי הוא ספר מוסר ובע""ג שלו מתפלל לפני התיבה. ועל כן הבין כי אין זה דבר ר"		
Adat-Zadikim_0023	Adat-Zadikim	embedding+lexical	0.958	שיר	False	high	The mention of 'songs' (שירים) is a formulaic reference to a grand public farewell and does not depict music or melody as a substantive practice within the story.	כל לזכות להצלחה אשר כל ימיך לא האמנת שבני בניך יזכו להצלחה עשירית מזה כי תוכל ליקח את הרב הגדול רבי חיים לחתן לך כי כן וכן הגיד לי ואנכי ידעתי כי יש לך בת בתולה הגונה וגם בית מיוחדת בחצר אך ספרים אין לך ע״כ ראה מה תעשה ו		
Khal-Hasidim_0218	Khal-Hasidim	embedding+lexical	0.958	זמר	True	high	The story explicitly describes R' Azriel's prayer practice as involving a 'pleasant song of his voice' (זמרת קולו) and melody (נעימות) that deeply affected listeners.	"ות כמוהו וכל אוזן שומעו תמאס כל התענוגים ותרצה להתענג בנעים זמרת קולו וישאר המלמד נבוך ברעיוניו ולא ידע מה לדון בזה כי הדרשן עצמו הוא אמר על המהרש""א כי הוא ספר מוסר ובע״ג שלו מתפלל לפני התיבה. וע""כ הבין כי אין זה דבר ריק"		
Khal-Hasidim_0001	Khal-Hasidim	embedding+lexical	0.958	זמר שיר	True	high	Sang with the children in a pleasant voice (מזמר עמהם בקול נעים).	"ק׳ עם תשב""ר שהוא הבל שאין בו חטא ובכל עת הליכת התנוקות היה מזמר עמהם בקול נעים ובחשק רב וישמע למרחוק כי עבודתו עלה מעלה והי׳ נ""ר גדול למעלה כמו מהשיר שהיו הלוים אומרים בבה""מק והיה עת רצון גדול למעלה. ויבא גם השטן בתוכם כ"		
Khal-Hasidim_0169	Khal-Hasidim	embedding	0.962		False	high	While the story mentions leading prayer (shliach tzibbur), it focuses on liturgical status and social consequences rather than the practice of music, melody, or song.	"ם כבנו שתקו ממנו ולא אמרו לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר""ר ר׳ ליב ויאמר לו לי אבי השמעת כי ברוך ואפרים מתכנים עצמם בשם הגדול רבי ומפרסמים שמם בעולם ולא ענהו הרב דבר אולם לעת תפילת ערבית קרא הרב לאיש אחר"		
Khal-Hasidim_0158	Khal-Hasidim	embedding	0.962		False	high	'שיר' inside עשיר.	מחריש. וכל יום ויום הלך אליו בבכי ותחנונים והוא לא האזין את דבריו ולא שעה אליו. ואחיו העני הזה עם אנשי ביתו. היו מעוטפין ברעב בעירום ובחוסר כל. וכראותו כי כלתה נפשו מאוד ויבא עוד הפעם אליו בכה ויתחנן לו לאמר הושיעה אדוני		
Peer-MiKdoshim_0001	PeerMikdoshim	embedding	0.962		False	high	'שיר' inside העשיר.	גביר מ רישא לפניו ויען בקול גדול הוי ואבוי אנכי הוא האיש הזה כי טרם בואי הנה אל הצדיק הקדוש בא אלי איש עני ודפק על פתחי וזרקתי אותי מביתי ונפל מת על סף הבית ועתה גם כל יתר דברי קדשו יחדירו כברק תוך סתר לבבי בידעתי כי גרמ		
Sipurei-Zadikim_0006	Sipurei-Zadikim	embedding	0.962		False	high	The story mentions leading prayers (davening before the ark), but it contains no mention of melodies, songs, or musical elements.	". אבל מחמת כי הוא נתגדל אצל רבם כבנו שתקו ממנו ולא אמר לו דבר : ויהי כי נתיחמה לבב האיש הנ""ל ויכנוס להר״ר ר׳ ליב ויאמר לו אבי השמעת כי ברוך ו אפרים מתכנים עצמם בשם הגדול רבי ומפרסמים ומפרסים שמם בעולם ולא ענהו הרב דבר. א"		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	embedding	0.961		False	high	The story focuses on the mitzvah of hospitality and the fate of a specific family; it contains no mention of singing, melodies, or musical instruments.	 ועתה טוב לי מאז כי הוא הכה אותי תמיד ועתה כשהוא מת ואמי ג״כ מתה וביתו נשרף והונו ורכושו נאבד טוב לי מאוד כי יכול אני לילך בשרירות לבי ואין מוחה בידי ונתחברתי אל העניים המסבבים וסבותי גם אני עליהם לשקוד על פתחי נדיבים לב		
Maase-Zadikim_0006	maase-zadikim	embedding	0.961		False	high	'שיר' inside עשיר.	 לבעל ואתה תהיה שר בין השרים ועוד תהיה גדול מהם בעבור חכמתך הגדולה : ויאמר האיש ההוא הנה אנכי שומע לך בדבר הזה אך בזאת תאות לי לעשות מתחלה משתה גדול להקהיל שרים רבים ונכבדים למען ידעו ויכירו אותי מהיום הזה לשר ולגדול ותא		
