story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Shivhei-Habesht_0020	Shivhei-Habesht	embedding+lexical	0.961	טאבאק	False	low	'הריח טאבאק' = took snuff, not smoking — definitional edge case.	"י גרשון לא יסבול ויתפחד ותיקן בתוך כך הזייעגר שלו שלף והריח טאבאק עד שיעבור ר""ג הנ""ל מקום הכוונה וכשכיוון כוונה זו וראה שבאו אליו מתים כמו עדר גדול של צאן ונפל בחלשות אז העירו הבעש""ט וצוה לו לילך לביתו ובלילה על השולחן ב"		
Khal-Hasidim_0031	Khal-Hasidim	embedding+lexical	0.959	טאבאק	False	low	Parallel; snuff, not smoking.	" שרבי גרשון לא יסבול ויתפחד ותיקן בתוך כך הזייגער שלו והריח טאבאק עד שיעבור ר""ג הנ""ל מקום הכוונת וכשכיון כוונה זו וראה שבאו אליו מתים כמו עדר גדול של צאן ונפל בחלשות אז העירו הבעש״ט וצוה לו לילך לביתו ובלילה על השולחן בע"		
Khal-Hasidim_0004	Khal-Hasidim	embedding	0.963		False	high	The text describes the Besht's early period of seclusion and his eventual revelation, mentioning rituals like prayer, Mikveh, and Shabbat meals, but does not mention smoking or pipes.	"י לפלא בעיניו ויהי בבוקר וילך לבית התבודדות להתפלל שם כדרכו ובבואו לביתו בא שמח וטוב לב בנשיאת ראש והלך בביתו אנה ואנה לומר אסדר לסעודתא ועשה קדושא רבא כדרכו בדביקות נפלא ובתוך הסעודה ביקש את האורח שיאמר ד""ת. ולא היה יוד"		
Mifalot-HaZadikim_0027	Mifalot-HaZadikim	embedding	0.962		False	high	The story describes various crude behaviors of the host (whistling, eating melons, etc.) but contains no mention of smoking a pipe or tobacco.	 להרוג אותם הוא רוצה והנה בתוך כך נפתחה דלת אחת מן החדרים המוסגרים החרבים ויצא משם אשם אחת עשירה ומקושטת ויגש לפני רום פני הבעש״ט זי״ע ואמר לו רבי אני מבקש מכם לשבות אצלי בשבת קודש ענה הבעש״ט ואמר שתי פליאות לי אחת האיך 		
Shivhei-Habesht_0002	Shivhei-Habesht	embedding	0.961		False	high	The text describes various miracles, feasts, and the early life of the Besht, but does not mention smoking, pipes, or tobacco.	"ץ ממון. וישב לו הנה אבי המנוח ז""ל הי' צדיק מפורסם וצוה עלו לפני הסתלקותו לישא אשה פה ק""ק אקום . ומוכרח אני לקיים כל דבריו. ומיד ותהום כל העיר שהיו לפניו כמה שידוכים ונשתדך עם נגיד א׳, כי נשא חן בעיני כל רואיו. ויהי אחרי "		
Khal-Hasidim_0002	Khal-Hasidim	embedding	0.961		False	high	The story focuses on mystical writings, a magical feast, and the Baal Shem Tov's early hidden life, but contains no mention of smoking or tobacco use.	 כך ישן הבעש״ט ויעמוד בן הרב ולקח קונטרס אחד מהכתבים וינח לפניו ועשה א״ע עוד כאילו הוא ישן וכאשר נעור הבעש״ט וראה את הקונטרס נזדעזע נזדזע מאוד ולמד אותם ויציעם בתוך חיקו. וכן עשה בן הרב עוד בלילה אחרת עד שראה בבירור שזה 		
Khal-Hasidim_0253	Khal-Hasidim	embedding	0.96		False	high	The story focus on the humility of Rabbi Chaim and his secret study with Elijah the Prophet; there is no mention of smoking or tobacco usage.	"נעה ואראה מעשה חברי הר""ח אשר הגיד לי כי בקש מהש""י שפלות אלך נא ואראה הכנים דבריו ויקח את משרתו וילך שעה ב׳ אחר חצות הלילה לחצר האופה אשר ידעו מקומו. ויעמוד תחת החלון אשר שם יושב הר""ח לשמוע מה הוא עושה וישמע והנה שני קולו"		
Mifalot-HaZadikim_0021	Mifalot-HaZadikim	embedding	0.96		False	high	The story discusses the concept of self-sacrifice (Mesirut Nefesh) through a narrative about public shaming and financial loss, with no mention of smoking or tobacco.	ררותו בתשובה נכונה ויעזוב את העגלות עם היי״ג הנ״ל ביד ערלים הנ״ל המובילים אותו וינס ויצא לרבו הנ״ל מ מעזיבוז . והגם שהיה דבר זה סכנה שיפסוד ח״ו כל היין הן אפשר שיכחישו לו הערלים ויאמרו להד״ם או לפחות יפסיד אותו מחמת ניסו		
Khal-Hasidim_0026	Khal-Hasidim	embedding	0.96		False	high	The story focuses entirely on the Baal Shem Tov's intense trembling during prayer and mystical visions; there is no mention of smoking, pipes, or tobacco.	"פעמים ואח״כ רמז שילכו להתפלל לפני התיבה ובא ר' דוד הנ""ל להתפלל כי הוא היה מתפלל בימים נוראים וכשבא סמוך לתיבה התחיל הבעש״ט לבזותו בפני כל עם ועדה ואמר בזה הלשון זקן אשמאי היכן אתה הולך וביזה וגינה אותו ערך חצי שעה והיה ר"		
Shivhei-Habesht_0165	Shivhei-Habesht	embedding	0.96		False	high	The story focuses on a miracle concerning travel and childbirth and does not mention pipes, tobacco, or the act of smoking.	"Shivhei-Habesht_0165 תיוגים* שמעתי ואיני ואינו זוכר מה ששמעתי כשהיה החסיד המפורסם ר' יחיאל מיכל אצל הבעש""ט פ""א ביום הששי בבקר קודם תפלות שחרית אמר לו הבעש״ט לנסוע לביתו היום ולא ענהו כי אמר בלבו ע""ש היום ועדיין אין לי עג"		
