story_id	edition	signals	sim	matched_terms	claude_applies	claude_confidence	claude_reasoning	excerpt	should_tag	notes
Khal-Hasidim_0002	Khal-Hasidim	lexical	0.972	תענית פרישות	True	high	The story explicitly describes the Besht and Rabbi Adam's son engaging in multi-day fasts (הפסקה משבת לשבת) and living in ascetic isolation with minimal food.	" ונותן לשם קמח ומלח והיה נאפה מחום החמה זה היה כל מאכלו אחר תעניתו. וכל ימיו היה בהתבודדות והנה ההרים היו הרים גדולים עד מאד וביניהם גיא עמוקה ובלי מדרון כ""א ארץ גזירה היה ושוה. פ""א נכנס בעומק התבוננות והי' הולך על ההרים"		
Shivhei-Habesht_0005B	Shivhei-Habesht	lexical	0.961	תענית	True	high	The text explicitly describes the Besht's early life of isolation in a mountain cave and extreme fasting, specifically eating only once a week for several years.	ם פ״א אמר הבעש״ט להמוכסן תשלח להסביבה שיבאו לכאן למנין וגזר תענית ו הבעש״ט התפלל בעצמו לפני התיבה והאריכו בתפילה ושאל נכרי אחד למה התפללתם היום באריכות וגם היתה בכי' גדולה ביניכם והשיב לו האמת שהתפללו על הגשם ולצץ הנכרי 		
Khal-Hasidim_0009	Khal-Hasidim	lexical	0.96	תענית	True	high	The text explicitly describes the Baal Shem Tov practicing extreme fasting (eating only once a week for years), seclusion, and physical rigors like using the mikveh in freezing winter temperatures.	" פ""א אמר הבעש״ט להמוכסן תשלח להסביבה שיבואו לכאן למנין וגזר תענית ו הבעש״ט התפלל בעצמו לפני התיבה והאריכו בתפלה ושאל עכו""ם אחד למה התפללתם היום באריכות וגם היתה בכיה גדולה ביניכם והשיב לו האמת שהתפלל על הגשם ולצץ העכו""ם "		
Mifalot-HaZadikim_0006	Mifalot-HaZadikim	lexical	0.96	תענית	False		[error] Unterminated string starting at: line 4 column 16 (char 60)	לו הקיפיטליך תלים פ׳ ופ׳ ויכוונו באלו הכוונות ויתענו כך וכך תעניתים ויתפללו אלו ואלו התפילות אזי כשיבוא קץ הבירור והתיקון השייך להם אז ברגע אחת יתעקר הספינה מעצמה אל תוך ים הצלול ויהי כאשר ראה הרב כתובה הלזה אז שמח שמחה 		
Khal-Kdoshim_0011	Khal-Kdoshim	lexical	0.959	תענית תעניות	True	high	The text explicitly describes the protagonist's lifelong fasting and self-mortification (sigufim) as penance, noting that his teeth became blackened from these fasts.	גמירא לא כוין לבו פירש המלות והיה מצטער כל ימיו על זה וישב בתענית עד יום מותו עד שהושחרו שיניו מתעניותיו : עוד מיום שנעשה בן עשר שני' לא התפלל בלי עשרה חוץ מפעם אחת מחמת רעש מלחמה צוה שר העיר שילכו כל היהודים מנער ועד זק		
Shivhei-Habesht_0043	Shivhei-Habesht	lexical	0.957	פרישות	True	high	The story explicitly mentions that the wife had complaints against Rabbi Avraham for his conduct of 'extreme asceticism' (פרישות יתירה), for which he asks her forgiveness in a dream.	"מר להם הנה זוגתי תי' יש לה תרעומות עלי על כמ׳ דברים שנהגתי בפרישות יתירה והדין עמה ואני מבקש ממנ' מחיל' לפניכם: ותאמר מחול לך בלב שלם: ויאמר עוד לפניהם הנה התורה התירה שתנשא לבעל אחר ובפרט שהיא ילדה בת כ""ד שנה ולא אוכל ל"		
Adat-Zadikim_0001	Adat-Zadikim	lexical	0.955	תענית	False	high	The mention of fasting in the story refers to a potential fast due to extreme poverty and a refusal to accept charity, rather than a chosen spiritual practice of ascetic self-mortification.	"בטיחה לי ולא זזתי ממקומי עד שלקחתי ת״כ מאתה ע״ז. והלכתי כך בתענית בשעה עשירית לבהכ""נ ואמרתי לאשתי כאשר אלך מבהכ""נ עם אנשים כאשר יצאו ישאלו אותי למה אינו דולק נר בביתך ולא אדע מה להשיבהו. וע""כ אתמהמה עד כלות העם לילך מבהכ"		
Khal-Hasidim_0143	Khal-Hasidim	lexical	0.955	פרישות	True	high	The text explicitly mentions that the protagonist (Rabbi Abraham) practiced 'excessive asceticism/abstinence' (פרישות יתירה), which is a key thematic element in the story's dream dialogue.	"אמר להם הנה זוגתי תי' יש לה תרעומת עלי על כמה דברים שנהגתי בפרישות יתירה והדין עמה ואני מבקש מחילה לפניכם ותאמר מחול לך בלב שלם. ויאמר עוד לפניהם הנה התורה התירה שתנשא לבעל אחר ובפרט שהי' ילדה בת כ""ד שנה ולא אוכל למנוע א"		
Adat-Zadikim_0022	Adat-Zadikim	lexical	0.954	תענית	False		[error] Unterminated string starting at: line 4 column 16 (char 60)	 יאכלו וישתו ולא ידאגו וכן אמר אם קבלו אותי לרב העיר הגזירת תענית בלי ידיעתי אינה גזרה והקבלה אינה שוה כלום ובפרט כי בטחוני חזק בהשם יתברך כי אעמוד נגדם בויכוח בכל אשר יחפוצו וישמחו כל העיר ויהללו את ה׳ ואת הרב ויודיעו ה		
Khal-Hasidim_0252	Khal-Hasidim	lexical	0.954	תענית	False		[error] Unterminated string starting at: line 4 column 16 (char 60)	יאכלו וישתו. ולא ידאגו וכן אמר אם קבלו אותי לרב העיר הגזירת תענית בלי ידיעתי אינה גזרה והקבלה אינה שוה כלום. ובפרט כי בטחוני חזק בהשי״ת כי אעמוד נגדם בויכוח לכל אשר יחפוצו וישמחו כל העיר ויהללו את ה׳ ואת הרב. ויודיעו הדב		
Khal-Hasidim_0081	Khal-Hasidim	lexical	0.952	תענית	False		[error] Unterminated string starting at: line 4 column 16 (char 61)	"א הבטיחה ולא זזתי ממקומי עד שלקחתי ת""כ מאתה ע""ז. והלכתי כך בתענית משעה עשירית לבהכ""נ ואמרתי לאשתי כאשר אלך מבהכ""נ עם אנשים כאשר יצאו ישאלו אותי למה אינו איני דולק נר בביתך ולא אדע מה להשיב. וע""כ אתמהמה עד כלות העם לילך מ"		
Khal-Hasidim_0124	Khal-Hasidim	lexical	0.951	סיגופים	True	high	The story explicitly describes the slaughterer performing 'great afflictions' (sigufim) as a form of self-mortification and repentance for his sins.	 הלכתי לשדה ובכיתי ובכית בדמעות שליש שלוש לפני ה' ועשיתי לי סיגופים גדולים והבטחתי אשר לא אשוב עוד לכסלה. וראיתי בכל אפשרי לעשות הסכין טוב מאוד. וכאשר הראיתי לפניהם הסכין ולא הרגישו ברשעתי. אז פתני היצר לפגום את הסכין ול		
Mifalot-HaZadikim_0016	Mifalot-HaZadikim	lexical	0.949	סיגופים	True	high	The story explicitly describes a prescribed penance involving fasting, rolling in snow, and sitting in cold water as 'tikkun' for a sin.	י״ע ועכי״א נשמע מזה שעיקר התשובה היא שבירות הלב והחרטה ולא הסיגופים :		
Khal-Kdoshim_0006	Khal-Kdoshim	lexical	0.945	תענית	False	high	The mention of the 'Fast of Esther' is a chronological marker for the Purim setting, not a depiction of ascetic self-mortification or voluntary spiritual afflictions.	הם אחדות ואז אך אז מאומה לא יוכל להרע לנו) ובליל הפורים אחר תענית אסתר קיימו וקבלו עליהם חיובא לבסומי והתנשאו כולמו יחד בשמחה רבה ועליצות לב ורקדו ושחקו פצחו רנן וזמרה. ושרו שירות ותשבחות לאל אדון למושעות מישועת ישראל ומ		
Shivhei-Habesht_0203	Shivhei-Habesht	lexical	0.944	תענית תעניות	True	high	The text explicitly mentions that a Rabbi fasted eighty times (פ' תעניות) as a spiritual practice to rectify a distraction during prayer.	"דך ש""ו ויכחש לו : ויען הבעש״ט האיך אפשר להיות שקר והלא אתה התענית ע״ז פ' תעניות והוכרח להודות לו ובכה לפניו שיעזור לו ויאמר לו כי רפואתו הוא שלא יהרהר אחר צדיקים הגדולים וקיבל ע״ע בלב שלם שלא ישוב לכסלה ואמר הבעש״ט כהיום"		
Khal-Hasidim_0118	Khal-Hasidim	lexical	0.942	תענית	True	high	The story explicitly mentions that the Rabbi performed eighty fasts (פ' תענית) as a form of self-mortification to atone for a spiritual flaw.	"גדך ש""ו ויכחש לו. ויען הבעש״ט האיך אפשר להיות שקר והלא אתה התענית ע""ז פ׳ תענית והוכרח להודות לו ובכה לפניו שיעזור לו ויאמר לו כי רפואתו הוא שלא יהרהר אחר צדיקים הגדולים וקיבל ע״ע בלב שלם שלא ישוב לכסלה ואמר הבעש""ט כהיום "		
Shivhei-Habesht_0022	Shivhei-Habesht	lexical	0.941	תענית	True	high	The story explicitly describes the Rabbi's extreme fasting routine (daily and weekly) over five years and includes the Besht's intervention and letter against this ascetic practice.	"צה לקבלו עד שנתן הצורף ת״כ שמחל לו בלב שלם אז קיבל הטלית ומהתענית של הרב הנ' כך הי' שהי' מתענ' כתשובות הקנה בזה האופן התענה מידי יום ביום ובכל חדש וחוד' התענה פ""א משב' לשבת ואין איש מאנשי הבית שהיו יודעים מזה התענית רק ב"		
Maase-Zadikim_0012	maase-zadikim	lexical	0.94	תענית	True	high	The story contains a significant ideological discussion and critique of the practice of fasting and physical self-mortification, specifically attributed to the Polish Hasidim.	"פש והדרך בעבודה בעיניהם הוא זר וחטא כמו שזכרו ז""ל כל היושב בתענית נקרא חוטא שעיקר העבוד' להשלים כל אבריו אברי הגוף והנפש שיהיו יחדיו תואמים שלימים קדש בלתי לה' לבדו כנודע מדרכי הבעש״ט ז""ל ויהי כאשר בא הרב מהר""ם פריסטיקר "		
Khal-Hasidim_0129	Khal-Hasidim	lexical	0.938	תענית	True	high	The text explicitly describes Rabbi Yaakov Yosef of Polonne's intense fasting practices (daily and weekly fasts) and includes a letter from the Besht rebuking this ascetic path.	"לקבל עד שנתן לו הצורף ת""כ שמחלו לו בלב שלם אז קיבל הטלית. ומתענית של הרב הנ׳ כך היה שהיה מתענה כתשובות הקנה בזה האופן התענה מידי יום ביום ובכל חודש וחודש התענה פ״א משבת לשבת אין איש מאנשי הבית שהיו יודעים מזה התענית רק ב"		
Shivhei-Habesht_0027	Shivhei-Habesht	lexical	0.935	פרישות	True	high	The story explicitly describes Rabbi Gershon practicing 'prishut' (abstinence) and fasting from one Sabbath to the next as a form of spiritual correction.	"יאוף ובלילה ביחודים שלו שעשה ראה ולמחר אמר לו אתה קבלת עליך פרישות מאשתך ושמעתי ברקיע שפסק הרמב""ם שאמר שזהו כאלו אמר על אשתו הרי עלי כאמא אע""פ שאינו נדר גמור מ״מ נתעור׳ עליך הרשימה של קרי שצמת עליו משבת לשבת ומחמת שעברת "		
Khal-Hasidim_0135	Khal-Hasidim	lexical	0.935	פרישות	True	high	The story explicitly describes fasting from Sabbath to Sabbath and practicing sexual abstinence (prishut) as forms of ascetic discipline.	"יאוף ובלילה ביחודים שלו שעשה ראה ולמחר אמר לו אתה קבלת עליך פרישות מאשתך ושמעתי ברקיע שפסק הרמב״ם שאמר שזהו כאילו אמר על אשתו הרי לי כאימא אע""פ שאינו נדר גמור מ""מ נתעורר עליך הרשימ' של קרי שצמת עליו משבת לשבת ומחמת שעברת"		
Shivhei-Habesht_0081	Shivhei-Habesht	lexical	0.934	פרישות	True	high	The story explicitly mentions that the Rabbi took upon himself 'prishut' (ascetic withdrawal/abstinence), which is a core element of the narrative and the tag's definition.	"אה עליך ניאוף ולמחר אודיע לך בפרטיות למחר אמר אתה קבלת עליך פרישות ועברת על הקבלה הלז ושמעתי בלילה זו שהרמב""ם פסק שזה כאילו אסר את אשתו עליו ואמר הרי עלי כאמא ועיין בספרו אפשר שתמצאו שם אז הודה לדבריו וברמב""ם מצא שפסק כן"		
Khal-Hasidim_0213	Khal-Hasidim	lexical	0.932	תענית	True	high	The story explicitly discusses the practice of fasting and self-mortification (afflicting the body) as a central theme of the ideological conflict between the Degel Machaneh Ephraim and Polish Hasidim.	" והדרך בעבודה בעיניהם הוא זר וחטא כמו שזכרו ז""ל בכלל היושב בתענית נקרא חוטא שעיקר העבודה להשלים כל אבריו אברי הגוף והנפש שיהי׳ יחדיו תואמים שלמים קדש בלתי לה' לבדו כנודע מדרכי הבעש""ט ז""ל. ויהי כאשר בא הרב מהר""ם פריסטקר ל"		
Khal-Hasidim_0221	Khal-Hasidim	lexical	0.931	פרישות	False		[error] Expecting property name enclosed in double quotes: line 3 column 24 (char 45)	ר המגיד הגדול מ מעזריטש . ולאשר כי הגאון ר׳ לוי יצחק התנהג בפרישות ובחסידות מאוד ושאג כארי בעת תפלתו כדרכו הק׳ לכן לא נחה דעת הגאון ר׳ עוזיאל ממנו וכאשר הגאון ר׳ לוי יצחק הרב ד ריטשעוואל דרש דרשה בחריפות ובבקיאות ואחרי ה		
Maase-Zadikim_0011	maase-zadikim	lexical	0.931	תענית סיגוף	True	high	The story explicitly mentions Rabbi Mordechai Banet fasting for an entire week as an act of ascetic affliction (siguf ha-ta'anit).	 כדברים האלה. ויאמר הרה״ק אחי אנכי יודע את אשר נעלם אתך כי התענית כל השבוע הזו והיה לך ביטול תורה מסיגוף התענית ובעל תורה כמוך מחויב ללמוד תורה ולא להתענות ולבטל מד״ת. ויהי כראות הרב הגאון כי איש אלקים הוא וכי רוח אלקים 		
Khal-Hasidim_0199	Khal-Hasidim	lexical	0.93	תענית סיגוף	True	high	The story explicitly describes Rabbi Mordechai Banet fasting for an entire week as an act of ascetic affliction (סיגוף התענית).	ר נעלם אתך כי התענת כל השבוע הזו והיה לך ביטול תור' מסיגוף התענית ובעל תורה כמוך מחויב מחיוב ללמוד תורה ולא להתענות ולבטל מד״ת. ויהי כראות הרב הגאון כי איש אלקים הוא וכי רוח אלקים בקרבו כי יודע מצפוני לבבו אשר לא ידע מזה		
Shivhei-Habesht_0028	Shivhei-Habesht	lexical	0.924	תענית	True	high	The story explicitly describes a communal fast (תענית) decreed by a rabbi to end a drought, which falls under the practice of fasting.	"0028 תיוגים* שמעתי מפי מ״מ הנ' פעם א׳ גזר ר׳ שלם מארץ המערב תענית על הגשמי' בירושלי' והיה צדיק גדול וחשוב וצוה שיתכנסו כולם בבה״כ אחת להתפלל בכנופי' ושלח לר׳ גרשון הנ""ל שהוא יתפלל לפני התיבה ובירושלי׳ המנהג מי שמתפלל לפנ"		
Khal-Hasidim_0072	Khal-Hasidim	lexical	0.923	פרישות	True	high	The story explicitly mentions the protagonist taking upon himself 'perishut' (ascetic abstinence), which falls under the tag's definition of ascetic practices.	אני רואה עליך ניאוף ולמחר אודיע לך פרטיות למה אתה קבלת עליך פרישות ועברת על הקבלה הלז ושמעתי בלילה זו ש הרמב״ם פסוק שזה כאלו אסר את אשתו עליו ואמר הרי עלי כאמא ועיין בספרו אפשר שתמצא שם אז הודו לדבריו וב רמב״ם מצא שפסק כ		
Khal-Hasidim_0136	Khal-Hasidim	lexical	0.921	תענית	True	high	The story explicitly describes a communal fast (Ta'anit) decreed by Rabbi Shalom in Jerusalem for rain.	"_0136 תיוגים שמעתי מפי מ""מ הנ' פ""א גזר הר' שלום מ ארץ המערב תענית על הגשמים ב ירושלים והיה צדיק גדול חשוב וצוה שיתכנסו כולם בבה""כ אחת להתפלל בכנופיא שלח ל הר""ג הנ""ל שהוא יתפלל לפני התיבה ובירושלים המנהג מי שמתפלל לפני הת"		
Shivhei-Habesht_0149	Shivhei-Habesht	lexical	0.903	תענית	True	high	The text explicitly mentions that the amulet was written while the author was in a ritual bath and fasting (בתענית).	"הראה אותו הקמיע לבעש""ט והכיר בה הבעש״ט שנכתבה בעודו במקוה ובתענית ואמר אני אכתו' קמיע כזה לאחר אכילה בשעה שאני יושב על המטה :"		
