tag	story_id	applies	confidence	reasoning
practice:tvilah	Shivhei-Habesht_0034	true	medium	Besht went to the mikveh three times (הלך שלשה פעמים למקוה).
practice:tvilah	Khal-Hasidim_0140	true	medium	Parallel: Besht went to the mikveh three times.
practice:tvilah	Khal-Hasidim_0082	true	medium	Went to the mikveh and wept before Mincha (הלך למקוה ובכה).
practice:tvilah	Shivhei-Habesht_0097	true	medium	Parallel of Khal-Hasidim_0082; went to mikveh.
practice:tvilah	Khal-Hasidim_0128	false	medium	Deliberated whether to go to the mikveh and decided NOT to; immersion not performed.
practice:tvilah	Shivhei-Habesht_0207	false	medium	Parallel; decided not to go to the mikveh.
practice:tvilah	Khal-Hasidim_0009	true	high	Regularly went to the mikveh before prayer even in winter (קודם התפלה למקוה אפילו בתקופת טבת).
practice:tvilah	Shivhei-Habesht_0005B	true	high	Parallel; habitual pre-prayer immersion.
practice:tvilah	Mifalot-HaZadikim_0042	false	high	'בקדושה ובטהרה' = abstract purity, not ritual immersion.
practice:tvilah	Shivhei-Habesht_0209	true	high	Returned from the immersion house (בא מבית הטבילה).
practice:tvilah	Khal-Hasidim_0156	false	medium	Immersed in the heavenly Nahar Dinur — mystical, not a mikveh.
practice:tvilah	Shivhei-Harav_0019	false	high	'מסר נשמתו בטהרה' = died in purity; metaphorical.
practice:tvilah	Khal-Hasidim_0223	true	high	The rabbi came from the mikveh (הלך מן המקוה).
practice:tvilah	Khal-Hasidim_0162	true	high	After the rabbi went to the mikveh (הלך הרב למקוה).
practice:tvilah	Sipurei-Zadikim_0001	true	high	Parallel of Khal-Hasidim_0162; went to mikveh.
practice:tvilah	Khal-Hasidim_0155	true	high	Returned from the immersion house (מבית הטבילה).
practice:tvilah	Peer-MiKdoshim_0008	false	high	'תטבילהו' is poetic/figurative, not ritual immersion.
practice:tvilah	Mifalot-HaZadikim_0019	true	high	People going to and from the immersion house (הולכים לבית הטבילה).
practice:tvilah	Khal-Hasidim_0202	true	high	Went to the bathhouse and immersed himself before Pesach (למרחץ וטבל א״ע).
practice:tvilah	Khal-Hasidim_0220	false	high	'מסר נשמתו בטהרה' = died in purity; metaphorical.
practice:smoking	Shivhei-Habesht_0048	true	high	Refers to the rebbe smoking a pipe (עשן לולקע אחת).
practice:smoking	Shivhei-Habesht_0065	true	high	Besht took his pipe (לקח הלולקע).
practice:smoking	Khal-Hasidim_0055	true	high	Parallel; took the pipe.
practice:smoking	Shivhei-Habesht_0110	true	high	Smoked the pipe and looked out the window (עשן הלולקע).
practice:smoking	Shivhei-Habesht_0020	false	low	'הריח טאבאק' = took snuff, not smoking — definitional edge case.
practice:smoking	Khal-Hasidim_0031	false	low	Parallel; snuff, not smoking.
practice:smoking	Shivhei-Habesht_0034	false	medium	Embedding-only neighbor; no smoking depicted.
practice:smoking	Khal-Hasidim_0139	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Khal-Hasidim_0140	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Khal-Hasidim_0076	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Shivhei-Habesht_0203	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Shivhei-Habesht_0091	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Khal-Hasidim_0014	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Khal-Hasidim_0082	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Shivhei-Habesht_0172	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Khal-Hasidim_0080	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Shivhei-Habesht_0173A	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Khal-Hasidim_0118	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Khal-Hasidim_0188	false	medium	Embedding-only neighbor; no smoking.
practice:smoking	Shivhei-Habesht_0022	false	medium	Embedding-only neighbor; no smoking.
practice:dance	Khal-Hasidim_0143	false	high	'מחול לך' = forgiven; root מחל, not dance.
practice:dance	Khal-Hasidim_0026	false	medium	'הרקדה' = barrels shaking from divine trembling, not human dance.
practice:dance	Shivhei-Habesht_0043	false	high	'מחול לך' = forgiven.
practice:dance	Khal-Hasidim_0193	false	medium	Lame man stamping feet in distress (רקד ברגליו), not religious dance.
practice:dance	Khal-Hasidim_0206	false	high	'השטן מרקד' = Satan dances; figurative.
practice:dance	Sipurei-Zadikim_0001	false	high	'ימחול' = please/forgive, root מחל.
practice:dance	Khal-Hasidim_0120	false	high	'וימחול על כומרותו' = renounce; root מחל.
practice:dance	Khal-Hasidim_0162	false	high	'ימחול' = please/forgive.
practice:dance	Khal-Hasidim_0129	false	high	'תמחול לו' = forgive him.
practice:dance	Khal-Hasidim_0047	false	high	'שימחול לי' = forgive me.
practice:dance	Shivhei-Habesht_0199	false	high	'וימחול על כומרותו' = renounce.
practice:dance	Shivhei-Habesht_0057	false	high	'שימחול לי' = forgive me.
practice:dance	Khal-Kdoshim_0010	false	high	'למחול לו / ימחול' = forgive.
practice:dance	Shivhei-Habesht_0022	false	high	'תמחול לו' = forgive him.
practice:dance	Shivhei-Harav_0017	false	high	'מחולשת כחו' = from his weakness; root חלש.
practice:dance	Khal-Hasidim_0059	false	high	'וימחול לך' = will forgive you.
practice:dance	Khal-Hasidim_0188	false	high	'מחולשת כחו' = from weakness; root חלש.
practice:dance	Shivhei-Habesht_0069	false	high	'וימחול לך' = will forgive you.
practice:dance	Khal-Hasidim_0021	false	high	'ימחול הרב' = please/forgive.
practice:dance	Peer-MiKdoshim_0013	false	high	'המות מרקד עלי' = death dances upon me; figurative.
practice:fasting	Mifalot-HaZadikim_0009	false	high	'צם' matched inside another word; no fast depicted.
practice:fasting	Khal-Hasidim_0009	true	high	Besht decreed a communal fast for rain (גזר תענית).
practice:fasting	Khal-Hasidim_0128	false	high	'צם' inside להתעצם (to strive); not fasting.
practice:fasting	Khal-Hasidim_0115	false	high	'צום' inside עצום (mighty).
practice:fasting	Shivhei-Harav_0004	false	high	'צום' inside צמצום (precision).
practice:fasting	Peer-MiKdoshim_0001	false	high	'צום' inside עצום (mighty).
practice:fasting	Shivhei-Habesht_0193	true	high	Penance to fast Mondays and Thursdays (שיתענה ב׳ וה׳).
practice:fasting	Mifalot-HaZadikim_0021	false	high	'צום' inside עצום; no fast.
practice:fasting	Khal-Hasidim_0111	true	high	Penance to fast Mondays and Thursdays.
practice:fasting	Mifalot-HaZadikim_0025	false	high	'צם' homograph; no fast depicted.
practice:fasting	Peer-MiKdoshim_0008	false	high	'צם' inside עצם (essence).
practice:fasting	Khal-Kdoshim_0006	false	low	'תענית אסתר' as a calendar time-marker, not depicted fasting (Purim drinking is the scene).
practice:fasting	Shivhei-Habesht_0110	false	high	'צם' homograph; scene is about brandy.
practice:fasting	Peer-MiKdoshim_0016	false	high	'צום' inside עצום.
practice:fasting	Mifalot-HaZadikim_0014	false	high	'צם' homograph; scene about yi"sh.
practice:fasting	Khal-Hasidim_0199	true	high	Rebbe critiques a scholar for fasting all week (התענת כל השבוע).
practice:fasting	Shivhei-Habesht_0170	true	high	Penitential fast week to week for keri (התענה משבת לשבת).
practice:fasting	Maase-Zadikim_0015	false	high	'עצום' (mighty).
practice:fasting	Shivhei-Habesht_0013	false	high	'מעצם' (from the essence).
practice:fasting	Khal-Hasidim_0220	false	high	'ועצם את עיניו' = closed his eyes.
practice:drinking_alcohol	Khal-Hasidim_0082	false	low	Kiddush wine (קידש על היין) — incidental ritual, definitional edge.
practice:drinking_alcohol	Shivhei-Habesht_0097	false	low	Kiddush wine; ritual, incidental.
practice:drinking_alcohol	Khal-Hasidim_0170	true	high	Drinks brandy until he collapses drunk (יין שרף... משכרותו).
practice:drinking_alcohol	Shivhei-Habesht_0034	false	high	'יין' inside ומעיין (gazing/studying).
