key	kind	kima_linked	kima_id	wikidata	lat	lon	name_heb	name_rom	names_all	occurrences	n_editions	editions	context_sample
H-LOC_56	authority	yes	174	Q37333	51.2464536	22.5684463	לובלין	Lublin	לובלין | Lublin	412	23	Adat-Zadikim; Derech-Haemuna; Dvarim-Yekarim; Hitgalut-HaZadikim; Khal-Hasidim; Khal-Kdoshim; Likutim-Hadashim; Maasiot-veSihot-Zadikim; Mifalot-HaZadikim; PeerMikdoshim; Peulat-Hatzadikim; Seva-Ratzon; Shemen-Hatov; Shlosha-edrei-zon; Sipurei-Zadikim; SipureiAnsheiShem; Sipurim-Nehmadim; SipurimUmaamarimYekarim; Smichat-Moshe; Tiferet-Hayyim; Toldot-Haniflaot; maase-zadikim; shivheiZadikim	"מעשה נוראה שקרה בימי הצדיקים הקדושים ה""ה הרב המגיד מקאזעניץ והרב הקדוש ר׳ יעקב יצחק מלובלין ז""ל זי""ע : מעשה שהי' איש אחד ממקורביו של המגיד מקאזעניץ והי' חסיד גדול ומופלג בתורה. ומדי חודש בחדשו הי' נוסע… ⟦SEP⟧ ח״א סיפר לי איך בימי הקדוש הרבי מלובלין זצלה״ה זי״ע העם אשר הי׳ אצלו בר״ה ויוה״כ אחר יו״כ הלכו אצלו ושאלו אותו איך הי' חתימתם אם לטובה וענה אותם על ש… ⟦SEP⟧ …ה לו מעות קדימה למען יהי׳ לו לשלם על הסטאנציע וגם לשלוח לביתו על פרנסה ות""ל הרוויחו הרבה מעות. אח""ז נסע הר״ב ללובלין ומיד בביאובבואו אמר לו הרבי מלובלין אויף אוים וויינין האבין מיר ניט גישמיסט. וד""ל ע״כ: ⟦SEP⟧ …ראל בעש״ט יב) הרב הקדוש ר״ר יחיאל מיכל מזלאטשוב יג) הרה״ק ר׳ ישראל המגיד מקאזניץ יד) הרה״ק ר׳ יעקב יצחק הרבי מלובלין טו) הרה״ק ר׳ יעקב יצחק היהודי מפרשיסחא טז) הרה״ק ר׳ יהושע העשיל מאפטא יז) הרה״ק ר׳ יהודא ליב מזאקולקוב יח) הר… ⟦SEP⟧ התגלות מרן רבינו הקדוש הרבי מלובלין זצוקללה״ה"
H-LOC_55	authority	yes	17325	Q1022485	49.436	27.395	מעזיבעז	Medz︠h︡ybiz︠h︡	מעזיבעז | מעזבוז | מעזביש | מעזבוש | מעזיבוז | מעזוביז | מעזיבו | מעזביז | מעזיביז | Medz︠h︡ybiz︠h︡	244	17	Adat-Zadikim; Buzina_Denehora; Derech-Haemuna; Hitgalut-HaZadikim; Khal-Hasidim; Maasiot-veSihot-Zadikim; Maim-Rabim; Mifalot-HaZadikim; PeerMikdoshim; Seva-Ratzon; Shivhei-Habesht; Shivhei-Harav; Shlosha-edrei-zon; SipureiAnsheiShem; Tiferet-Hayyim; Toldot-Haniflaot; maase-zadikim	"… ששמעתי מאדם גדול מעניני הבטחון מה שקרה בדורינו זה בימי הרב הקדוש הגדול מאפטא אשר ספרו לו מארענדער א' בסביבות מעזיבוז כי הוא איש פלאי וברכותיו יחולו על ראש המתברך בלי ישונה קולו של יוד ועוד פליאות אחרות ורבות כמוהם אשר כשמעו הר… ⟦SEP⟧ …והנה הר׳ יעקב שכח לגמרי כל המעשיות ולא הי׳ יכול לזכור על שום מעשה ורצה לצייר צורת הבעש״ט במחשבתו או תואר העיר מעזיבוז או תואר החבירים למען יזכור עי""ז על איזה מעשה וגם זאת לא הי' יכול כלל כי שכח לגמרי מאשר קרה לו מעודו. ונתייגע … ⟦SEP⟧ …ה מאוד. אבל עכ״ז אירע לו סיבות בכל יום עד שהוכרח ליסע בערב יוה״כ כל היום עד לפנות ערב. והנה כאשר בא קרוב לעיר מעזיבוז כמו ד׳ תחומי שבת היה שם איזה כפר אשר דרו בה יהודים ובראותם כי נוסע יהודי על עגלה רצו לקראתו ויעמידוהו ויאמרו … ⟦SEP⟧ …עש״ט והוא שלח אחריו למען יכירו בכל העיר גדולת הבעש״ט כי ר' שמואל הזה היה נוסע בדרך עם סחורה ועבור עסקו. והיה במעזיבוז וכאשר הכיר ובחן כי כנים הדברים כל מה שאומרים עליו ובא לביתו וסיפר לבני ביתו פליאותו אשר ראה הפצירה בו ונעתר ל… ⟦SEP⟧ …ו וישאלוהו ויאמר כי יש אתו ויבקשו ממנו שישאל הלולקע להרב ויאמר אני בעצמי אלך ואתן לו הלולקע כי אם זה הרב הוא ממעזיבוז אנכי מכירו כי ראיתיו כמה פעמים ויאמרו כן הוא הרב ממעזיבוז וילך האדון אתם וינקה בעצמו את הלולקע וישם טאביק לתו…"
ED::מעזריטש	edition_only	no					מעזריטש		מעזריטש	151	13	Adat-Zadikim; Derech-Haemuna; Khal-Hasidim; Maasiot-veSihot-Zadikim; Maim-Rabim; Peulat-Hatzadikim; Shemen-Hatov; Shivhei-Habesht; Shivhei-Harav; Shlosha-edrei-zon; Sipurei-Zadikim; maase-zadikim; shivheiZadikim	"…חי' הרב הקדוש הגאון בו״ק מוה' מנחם מענדיל נ""י מוויטעפסק בעהמ""ח ספר פרי הארץ הי' לומד אצל הרב הק' המגיד הגדול ממעזריטש ז""ל מנערותו אשר הי' בן בו עשרה שנים או אחד עשר. והפליא מאוד בלימודו הנגלה וחיבב אותו הה""מ מאוד. פעם אחת ביום … ⟦SEP⟧ מעשה נוראה מאדונינו האלקי רשכב""ה הרב המגיד הגדול ממעזריטש איך המשיך אליו הדאקטער גארדע עד שנעשה צדיק גדול זכותם יגן עלינו אמן : איש אחד משועי ואצילי וילנא הבירה עבר דר… ⟦SEP⟧ עוד שמעתי מאבא מארי מעשה שהיה הרב הגדול האלקי ר׳ אהרן מקארלין קודם הפסח אצל הרב המגיד ה""ג במעזריטש ורצה לנסוע לביתו על חג הפסח וילך לקבל רשות פרידת שלום מרבו לנסוע לביתו ונתן בזו הרה״מ רשות. ואחרי אשר יצא הרר… ⟦SEP⟧ …רד כל ההר מאד אך לא היה ניכר ובמים היה ניכר מאד. גם שמעתי מהמ״מ מ׳ אליהו ז""ל כשבא פעם ראשון להמגיד הגדול דק""ק מעזריטש סיפר לו זו המעשה ואמר פ״א בי״ט ואין יודע אם יום א׳ של פסח או יום ש״ע הי׳ והצרכתי לברך גשם או טל והיה הבעש""ט מ… ⟦SEP⟧ שמעתי מהרב דקהלתינו שהיה הר׳ ליבש דק""ק מעזריטש אצל הבעש״ט בימים נוראים וחלה קודם ר״ה ועסק הבעש״ט ברפואתו כל הלילה של ער""ה וגם הלילה של ר""ה ולא ראה סימן מיתה…"
ED::ישראל	edition_only	no					ישראל		ישראל	147	15	Buzina_Denehora; Derech-Haemuna; Hitgalut-HaZadikim; Likutim-Hadashim; Maasiot-veSihot-Zadikim; MaasiyotUmaamarimYekarim; MaasyiotMzadikeiYesodeiOlam; Maim-Rabim; Peulat-Hatzadikim; Sefer-Moraim-Gdolim; Seva-Ratzon; Shemen-Hatov; Tiferet-Hayyim; Toldot-Haniflaot; shivheiZadikim	"פ׳ ויקהל ויקהל משה את כל עדת בני ישראל ויאמר עליהם אלה הדברים אשר צוה ד׳ כי יש ס׳ רבוא אותיות לתורה : ויש ס' רבוא נפשות ישראל. וכל אחד מישראל נפשו א… ⟦SEP⟧ … לא כתיב מי לא יאהבך מלך וכו׳ ואמר כי שורש אהבה נמשך מהשי״ת. עד״ה ואהבת עולם אהבתיך. נמצא מחמת שהשי""ת אוהב את ישראל. נקשרה אהבה בלבבם ובעבור זה המה אוהבים להשי""ת. וכמאמר הכתוב. כמים הפנים אל פנים וכו׳ ואמר הרב הק׳ בזה הלשון ה… ⟦SEP⟧ איתא במדרש כשהחכם יושב ודורש הקב״ה מוחל לעונותיהם של ישראל. כי המוכיחים שאינם הגונים נעשו מעונותיהם של ישראל. מכל עבירה נעשה מוכיח אחד עד״ה תיסרך דעתך. אבל בשעה שהחכם י… ⟦SEP⟧ …גוי ואולמי בעד שאדרוש יפה זאל איך בעסיר שעום ווערין. ולא אמר כלל. ובשלש סעודות אמר לו הרב ר״ב שיאמר ד״ת לכבוד ישראל ולכבוד השכינה כי כל בי עשרה שכינה שריא. ובפרט שאנו ג״כ יושבים כאן במסובה אחת. אז פתח הרב מים קדושים ואמר כל ב… ⟦SEP⟧ ישראל בע״ש טוב"
H-LOC_152	authority	yes	677	Q465104	50.08791	25.15027	בראד	Brody	בראד | בראדי | Brody	118	13	Adat-Zadikim; Derech-Haemuna; Hitgalut-HaZadikim; Khal-Hasidim; Maasiot-Pliot; Maasiot-veSihot-Zadikim; MaasiyotUmaamarimYekarim; Seva-Ratzon; Shemen-Hatov; Shivhei-Habesht; Shlosha-edrei-zon; Sipurei-Kdoshim; maase-zadikim	"…עשה שנסע הבעש״ט ז""ל עם התלמידים שלו באיזה נסיעה. ומדי עברו התאכסן אצל מוכסן אחד ממקורביו בכפר כערך עשרים מיל מבראד הבירה ויקבלו המוכסן בכבוד גדול כאשר יאתה לו ויעש לכבודו משתה גדול ולכל הבאים אתו. ויהי טרם הפרד הבעש״ט ז""ל מא… ⟦SEP⟧ …א ר' משה ליב מסאסוב נבג״מ להרב קודש הקדשים הרבי ר' מיכלי זצ""ל לק""ק זלאטשוב. ולא מצאו את הרב בביתו כי נסע לעיר בראדי. ויסעו משם לעיר בראדי. ויבאו למקום תחנות הרב הנ""ל בראש חודש והרב עשה בעיר בראדי סעודת ר""ח לפני גדולי העיר. ומ… ⟦SEP⟧ … גדול שנתעלף פתאום והעירו אותו ולא הועילו. וקברוהו בכבוד גדול. אח""ז לקח לו דרך אחרת וילך משם דקהלה הסמוך לק""ק בראד ונעשה שם מלמד להועיל וימצא חן בעיני כולם כי היה למדן מופלג עד מאוד והי׳ חכם גדול עד שכל דברי הקהלה הי׳ נחתכים… ⟦SEP⟧ … הצפרדע מת. ויהי כאשר עברו לו משך שבעה שנים שישב בהתבודדות בין ההרים והגיע העת קרוב להתגלותו נסע עם אשתו לק""ק בראד לגיסו הרב מוהר""ג. ויהי בבואם וישאל את אחותו לשלום והיכן הייתם ותשב אמריה לו הולכים היינו מעיר לעיר וצרות רבות… ⟦SEP⟧ … שנסע הבעש״ט ז""ל עם התלמידים שלו באיזה נסיעה. ומדי עברו התאכסן אצל מוכסן אחד ממקורביו בכפר שהיתה איזו פרסאו' מבראד הבירה ויקבלו המוכסן בכבוד גדול כאשר יאתה לו ויעש לכבודו משתה גדול ולכל הבאים אתו. ויהי טרם הפרד הבעש״ט ז""ל מא…"
H-LOC_134	authority	yes	571	Q158799	49.9	28.58333333	ברדיטשאוו	Berdychiv	"ברדיטשאוו | ברדיטשוב | רדיטשוב | מברדיטשוב | בארדיטשוב | ארדיטשוב | בארדיטשיב | בארדמשיב | בארדטשיב | ברדוטשוב | ברדטשיב | דראזינץ | בארדיטשב | ב""ד | Berdychiv"	117	21	Adat-Zadikim; Derech-Haemuna; Hitgalut-HaZadikim; Khal-Hasidim; Kokhvei-Or; Likutim-Hadashim; Maasiot-veSihot-Zadikim; MaasiyotUmaamarimYekarim; Mifalot-HaZadikim; Peulat-Hatzadikim; Seva-Ratzon; Shemen-Hatov; Shivhei-Habesht; Shivhei-Harav; Shlosha-edrei-zon; Sipurei-Zadikim; SipureiAnsheiShem; Sipurim-Nehmadim; Toldot-Haniflaot; maase-zadikim; shivheiZadikim	"…עשה מרבינו הקדוש הבעש״ט ז""ל זי״ע שסיפר הגאון הקדוש האלקי רשכב""ה מוה׳ אברהם יהושיע העשיל זצ""ל מאפטע בעת היותו בבארדיטשוב : מעשה שנסע הבעש״ט ז""ל עם התלמידים שלו באיזה נסיעה. ומדי עברו התאכסן אצל מוכסן אחד ממקורביו בכפר כערך עשרים מ… ⟦SEP⟧ … ליום המוגבל אל הרב הנ""ל. ויתן לו הרב על הוצאת הדרך שיספיק לו הוצאות עד בואו שמה לא יותר ויצוה עליו לנסוע לק׳ בארדיטשוב וצוה לו לחקור אחרי הגביר פלוני ותתאכסן אצלו כי תאמר לו משמי כי אנכי צויתיך להתאכסן אצלו. וממנו תראה את כל מגמ… ⟦SEP⟧ …ון הקדוש ציס״ע ר׳ ישראל משה חזן ראשון לציון בירושלים כד) הרה״ק ר׳ יהודא ליב מאופלע כה) הרב הקדוש ר׳ לוי יצחק מברדיטשוב ⟦SEP⟧ מעשה נפלאה מרבינו הגאון הקדוש ר׳ לוי יצחק זצוק""ל מבארדיטשוב. ⟦SEP⟧ …סם מרן ר׳ יחזקאל מקאזמיר זצוקללה""ה ישב פעם אחת בסעודה עם אנשי שלומיו ביומא הלולא של רבינו הגאון הקדוש זצוק""ל מבארדיטשוב הנ""ל. ושאל הרה״ק ר׳ יחזקאל לאנ""ש אם יש בכאן איש שהכיר את הקדוש מבארדיטשוב הנ""ל וחיפשו ולא מצאו. רק איש זקן אח…"
H-LOC_130	authority	yes	489	Q31487	50.0646501	19.9449799	קראקא	Krakow	קראקא | קרקא | Krakow	109	18	Adat-Zadikim; Derech-Haemuna; Hitgalut-HaZadikim; Khal-Hasidim; Likutim-Hadashim; Maasim-Tovim; Maasiot-Pliot; MaasiyotUmaamarimYekarim; MaasyiotMzadikeiYesodeiOlam; Maim-Rabim; PeerMikdoshim; Seva-Ratzon; Shemen-Hatov; Shlosha-edrei-zon; SipureiAnsheiShem; Smichat-Moshe; shivheiZadikim; tmimei_derech	"…מן : שבחי מהרמ""א בשנת ה' אלפים שלש מאות וחמש עשרה לבריאת עולם נתבקש בישיב' של מעלה הרב הגאון הצדיק האב״ד דק""ק קראקא ולא הניח אחריו בן למלא מקומו ויהי אחרי עבור ימי ההספד של הרב הצדיק הנ""ל ז""ל ותהום כל העיר כי נשארה קראקא הביר… ⟦SEP⟧ לאנשי העיר קראקא המעוטרה ובעת ההוא התחיל להופיע יקר וגדולת רבינו משה בעל המפה על הש""ע אשר היי אז בן שמונה עשרה שנה ובכל קצוי א… ⟦SEP⟧ …שלחו אחריו עגלת צב עם עשרה סוסים רתומים במרכבתו ועבדים לרוץ לפניו וכאשר הגיע הבשורה להעיר כי הרב לא רחוק הוא מקראקא הודיעו את הדבר להבישוף ותיכף רתם סוסים בצבים ובכרכרות ויקח אתו שרי' נכבדים ויסעו לקראת הרב. מובן ממילא כי מכל… ⟦SEP⟧ … רצונו שאהיה על הויכוח יזהר שלא יפגע בכבודי אם עוד לא ידו על העליונה בהויכוח : וכאשר ישלח אחרי ידע כי אחרי רב קראקא הוא שולח ויחזור הציר ריקם ויאמר להבישוף את כל הדברים האלה וישר הדבר בעיניו לאמר כי חכם הוא ויודע טוב הכבוד אש… ⟦SEP⟧ … הטיול אחיו של הגאון הקדוש מוהר""ל מפראג והיו החברים האלה תמיד ביחד באהב׳ וחיבה נפלא׳ וכאשר נתקבל רבינו לאב""ד בקראקא לקח אותו חבירו הרר""ח הנ""ל והי׳ המדובר ביניהם בעת אשר רבינו הי' נצרך ליסע אל הגליל הי' הרר""ח יושב על מדין בקרא…"
H-LOC_151	authority	yes	676	Q990651	51.58333333	21.56666667	קאזעניץ	Kozienice	קאזעניץ | קאזניץ | קאזיניץ | Kozienice	109	18	Adat-Zadikim; Derech-Haemuna; Dvarim-Yekarim; Hitgalut-HaZadikim; Khal-Hasidim; Khal-Kdoshim; Maasiot-veSihot-Zadikim; MaasiyotUmaamarimYekarim; Maim-Rabim; Mifalot-HaZadikim; Peulat-Hatzadikim; Seva-Ratzon; Shemen-Hatov; Shlosha-edrei-zon; Sipurim-Nehmadim; Tiferet-Hayyim; Toldot-Haniflaot; shivheiZadikim	"…ו בגדי חול וישבו כולם לנסוע עמו : ויסעו כל הלילה בלא ידעו מאין ולאין. הבוקר אור והם באו לעיר גדולה לאלקים שמה קאזעניץ ויתאכסן הבעש״ט ז""ל אצל הפ""ח כי שמה כבר שמעו שמע הבעש״ט ז""ל ויחרדו כל העיר לקראתו. ואחר התפלה ציוה הבעש״ט לקרא… ⟦SEP⟧ מעשה נוראה שקרה בימי הצדיקים הקדושים ה""ה הרב המגיד מקאזעניץ והרב הקדוש ר׳ יעקב יצחק מלובלין ז""ל זי""ע : מעשה שהי' איש אחד ממקורביו של המגיד מקאזעניץ והי' חסיד גדול ומופלג… ⟦SEP⟧ …ו מאד בכל פעם שיפעול מהרב איזה מענה. והי' דוחה אותה פעם בפעם. עד כי פעם אחת הציקתהו מאוד ובכתה לפניו לבל יסע מקאזניץ עד יענה לו הרב מענה נכונה באומרה כי חיי׳ אינם חיים בהזכירה כי תלך ערירי. ואולי יצוה הרב שיתגרשו הקיצור אשתו ה… ⟦SEP⟧ …רעה. פירש״י ז""ל וא״ת ומה אועיל. והוצא את עמי ישראל מארץ מצרים. הפירוש לזה ראיתי בספר דעת משה מבן הרה״ק המגיד מקאזניץ זצ""ל עפ""י מה ששמע מאביו הרה״ק זצ""ל על ענין שהולכין להקביל פני הרב ברגל הענין הוא כי כל הנצוצות מהעולם הדרים ב… ⟦SEP⟧ בשם הרה״צ מהר״א מקאזניץ זצ״ל."
H-LOC_175	authority	yes	943	Q216	54.6871555	25.2796514	ווילנא	Vilnius	ווילנא | וילנא | Vilnius	100	9	Adat-Zadikim; Derech-Haemuna; Khal-Hasidim; Maasiot-veSihot-Zadikim; Shemen-Hatov; Shivhei-Harav; Sipurei-Zadikim; SipureiAnsheiShem; shivheiZadikim	"…ר לו לחנם תלך אחרי כי לא תמצ' אותי כי נסיעתי נחוצ' ובתוך הרחוב נעלמ׳ מעיניו וילך האיש לאכסניא שלו ויחפש עגלה לווילנא ויאמר בלבו לא דבר ריק היא ופליאה היתה אצלו כל הנעשה אתו ויתחזק באמונתו וישכור עגלה לווילנא ומשם נסע לסובאלק ע… ⟦SEP⟧ …גיד הגדול ממעזריטש איך המשיך אליו הדאקטער גארדע עד שנעשה צדיק גדול זכותם יגן עלינו אמן : איש אחד משועי ואצילי וילנא הבירה עבר דרך מעזריטש לעסקו וכאשר שמע מכל העם מפליאים לו מאד גדולת הרב המגיד נתיישב בדעתו לילך ולתהות על קנקנ… ⟦SEP⟧ איש אחד משועי ואצילי וילנא הבירה עבר דרך מעזריטש לעסקו וכאשר שמע מכל העם מפליאים לו מאד גדולת הרב המגיד נתיישב בדעתו לילך ולתהות על קנקנ… ⟦SEP⟧ פעם אחת נסע רבי ליב עם הר""ר עזריאל הנ""ל לווילנא. ובבואם סמוך לווילנא שלשה ויערסטין רוסעש היה שם בית גדול שינק. והיה שייך להארענדר מהעיר כי בווילנא היה הי""ש ב… ⟦SEP⟧ …במתי הגדולה ונעשה סוחר גדול וגם היה עוסק יומם ולילה בתורת ה׳ ועבודתו. ויהי ברבות הימים נסע פעם אחת לדרכו העיר ווילנא והלאה ויעמוד לפוש בקרעטשמע אחת ושב לאכול ובתוך כך באו להקרעטשמע שני עגלות טעונים עם עניים ההוליכים לבקש נדבתם…"
H-LOC_142	authority	yes	638	Q1085	50.08804	14.42076	פראג	Prague	פראג | פראָג | Prague	92	15	Adat-Zadikim; Derech-Haemuna; Dvarim-Yekarim; Khal-Hasidim; Maasiot-veSihot-Zadikim; Maim-Rabim; Mifalot-HaZadikim; PeerMikdoshim; Shemen-Hatov; Sipurei-Kdoshim; SipureiAnsheiShem; Sipurim-Nehmadim; Smichat-Moshe; shivheiZadikim; tmimei_derech	"…ד ביחד עם הרב הגאון הקדוש רבי חיים ברבי בצלאל בעל המחבר ספר החיים וספר אגרת הטיול אחיו של הגאון הקדוש מוהר""ל מפראג והיו החברים האלה תמיד ביחד באהב׳ וחיבה נפלא׳ וכאשר נתקבל רבינו לאב""ד בקראקא לקח אותו חבירו הרר""ח הנ""ל והי׳ המ… ⟦SEP⟧ … טוב. ויהי הר""ח כמחריש ובמשך שני ימים אמר הר""ח לרבינו תדע ידידי חבירי כי נגמרה בדעתי לנסוע למשפחתי ולבית אבי לפראג ואף כי אתה טוב לי מעשרה אחים אבל עכ״ז לבי הומה להתראות עם משפחתי ועם אחי הגדול מוהר""ל ויהי כהתימו לדבר הוריד … ⟦SEP⟧ …בעש״ט זצ״ל. הרב הצה״ק החיד״א זצ״ל. הרב הצה״ק ר׳ דוב בעד המגיד זצ״ל. הרהה״ק המגיד מקאזניץ זצ״ל הרהצה""ק המהר""ל מפראג זצ״ל הרהצה״ק ר׳ דוד מלעליוו זצ״ל. הרב הצדיק הקדוש ר׳ מאטילי מטשערנאביל זצ״ל. הרב הגה״ק מראזדל ז״ל. הרב הצה״ק … ⟦SEP⟧ מעשה נורא מהרה״ג הקדוש המהר""ל מפראג זי""ע ⟦SEP⟧ סיפר לי חסיד אחד שהוא ששמע מאחד מהימן אשר הי' בעיר פראג וראה בהפנקס של הה״ק דשם שכתוב מעשים נוראים ממהר""ל מפראג זי״ע. שאש,ו של המלך דיברה אל המלך למה ישראל יושבים במ…"
