local_id,name_heb,name_rom,wikidata_qid,lat,lon,occurrences,n_editions,editions,context,kind,_match_status,_match_method,_grade,_confidence,_sound_match,_flags,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
ED::מעזריטש,מעזריטש,,,,,151,13,Adat-Zadikim; Derech-Haemuna; Khal-Hasidim; Maasiot-veSihot-Zadikim; Maim-Rabim; Peulat-Hatzadikim; Shemen-Hatov; Shivhei-Habesht; Shivhei-Harav; Shlosha-edrei-zon; Sipurei-Zadikim; maase-zadikim; shivheiZadikim,"…חי' הרב הקדוש הגאון בו״ק מוה' מנחם מענדיל נ""י מוויטעפסק בעהמ""ח ספר פרי הארץ הי' לומד אצל הרב הק' המגיד הגדול ממעזריטש ז""ל מנערותו אשר הי' בן בו עשרה שנים או אחד עשר. והפליא מאוד בלימודו הנגלה וחיבב אותו הה""מ מאוד. פעם אחת ביום … ⟦SEP⟧ מעשה נוראה מאדונינו האלקי רשכב""ה הרב המגיד הגדול ממעזריטש איך המשיך אליו הדאקטער גארדע עד שנעשה צדיק גדול זכותם יגן עלינו אמן : איש אחד משועי ואצילי וילנא הבירה עבר דר… ⟦SEP⟧ עוד שמעתי מאבא מארי מעשה שהיה הרב הגדול האלקי ר׳ אהרן מקארלין קודם הפסח אצל הרב המגיד ה""ג במעזריטש ורצה לנסוע לביתו על חג הפסח וילך לקבל רשות פרידת שלום מרבו לנסוע לביתו ונתן בזו הרה״מ רשות. ואחרי אשר יצא הרר… ⟦SEP⟧ …רד כל ההר מאד אך לא היה ניכר ובמים היה ניכר מאד. גם שמעתי מהמ״מ מ׳ אליהו ז""ל כשבא פעם ראשון להמגיד הגדול דק""ק מעזריטש סיפר לו זו המעשה ואמר פ״א בי״ט ואין יודע אם יום א׳ של פסח או יום ש״ע הי׳ והצרכתי לברך גשם או טל והיה הבעש""ט מ… ⟦SEP⟧ שמעתי מהרב דקהלתינו שהיה הר׳ ליבש דק""ק מעזריטש אצל הבעש״ט בימים נוראים וחלה קודם ר״ה ועסק הבעש״ט ברפואתו כל הלילה של ער""ה וגם הלילה של ר""ה ולא ראה סימן מיתה…",edition_only,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,223|19737
H-LOC_209,יסטרעליסק,Novi Strilyshcha,Q2602975,49.51666667,24.4,52,7,Derech-Haemuna; Hitgalut-HaZadikim; Khal-Hasidim; Maasiot-veSihot-Zadikim; Mifalot-HaZadikim; Tiferet-Hayyim; maase-zadikim,"א) הרה״ק ר״ר אלימלך ב) בנו הרה״ק ר׳ אלעזר ג) הרה״ק ר׳ אורי מסטרעליסק ד) הרה״ק ר׳ אלימלך מפשערווארסק ה) הרה״ק ר״ר ברוך ממעזבוז י) הגאון רבי ר׳ העשיל מקראקא ז) הרה״ק ר״ר העניך מאלכ… ⟦SEP⟧ התגלות הרה״ק מרן הרבי ר׳ אורי מסטרעליסק זצוקללה""ה ⟦SEP⟧ …המשפיע פרנסה רק הש""י יפרנס אותנו וטוב לחסות בהשי""ת מבטוח בנדיבים. ותיכף שכר לו עגלה. ועקר דירתו מלעמבורג לעיר סטרעליסק אשר הוא רחוק כששה פרסאות מלעמבורג ששום אדם משם לא הכירו. ושם בזמן קצר נתגלה קדושתו. והופיע אותו בתוך בני ישרא… ⟦SEP⟧ אחד קדוש מדבר מדוע מרגלא בפי כל לקרות הרב הקדוש הנ""ל מסטרעליסק בשם שרף משום מעשה שהיה בכפר סמוך לסטרעליסק איש זקן אחד שמו אייזיק ז""ל. והיה דרכו בקודש לנסוע בכל ר""ה להרב הקד… ⟦SEP⟧ ואמר לו הלא סמוך לסטרעליסק אתה כאשר תבוא לביתך תפרוס בשלום הרה״ק ר אורי עבורי. ותאמר אליו אשר אני יודע כי שני פנים יש לו. ונזדעזע החסיד …",authority,no_match,,C_review,0.0,,,,,,,
ED::נעמרוב,נעמרוב,,,,,48,6,Derech-Haemuna; Khal-Hasidim; Kokhvei-Or; Shivhei-Habesht; SipureiAnsheiShem; Smichat-Moshe,"…תן לו מקום בק""ק שדה לבן ואח״כ היה שוחט בק""ק ברדטשיב ולעת זקנתו נתן הבעש""ט אגרת ליד חמי להרב הגאון הקדוש אבד""ק נעמרוב בעל המחבר ספר תולדות יעקב יוסף ונעשה שו""ב בק""ק נעמרוב ושמעתי כמה פעמים מהרב הנ""ל זצלל""ה שאמר לחמי בדרך מוסר ב… ⟦SEP⟧ שמעתי מר׳ יואל מ""מ דק""ק נעמרוב ותמיד היה אצל הרב דק""ק פולנאי בק""ק ראשקיב ובק' שאריגראד ובק""ק נעמרוב שמעתי ממנו שפ״א שבת הבעש״ט בשאריגראד ובמ… ⟦SEP⟧ שמעתי מהר׳ יואל שהיה מ""מ בק""ק נעמרוב פ״א נסע הבעש״ט מן הדרך שמע כרוז א׳ משלשה דברים אלו אני מטיל עליך או שיפל עליך היידא מאקין ויגזלו ממך את ממונך… ⟦SEP⟧ … יעקב אב""ד דק""ק סמילא ששמע מאביו רב מאיר חריף ז""ל פ""א בא הבעש""ט להרב דק""ק פולנאי ואני מסופק אם היה המעשה בק""ק נעמרוב או בק""ק שאריגראד ובא כמה ימים קודם השבת ולא אכל בכל אלה הימים והרב הנ""ל הפציר אותו מאוד לאכול והשיב יפטיר הרב… ⟦SEP⟧ …בלא טו״ת ולא ראיתי את המוכיח אם התפלל שם וכדומה לי שהלך לעיר להתפלל ולשנה אחרת מת רב נחמן ז""ל בחדש תמוז והי׳ בנעמרוב ג""כ בחודש זה ונלוו׳ ר׳ מענדלי פרימסלאנער וקבלו ממנו ותמה מאוד על חכמת הבעש״ט ושמעתי שמת ר׳ נחמן בשב""ק וישב רב…",edition_only,no_match,,C_review,0.0,,,,,,,
H-LOC_202,רוסיא,Russia,Q34266,,,30,11,Hitgalut-HaZadikim; Khal-Hasidim; Maasim-Tovim; Maasiot-veSihot-Zadikim; Mifalot-HaZadikim; Peulat-Hatzadikim; Sefer-Moraim-Gdolim; Shemen-Hatov; Shivhei-Harav; Smichat-Moshe; Toldot-Haniflaot,"…רב מהריק""ו הרב ראשון לציון שנלב״ע שנה שעברה בנאמון יע״א. והוא כי בהיותו שדר״ח בערי אשכנז סיפר לי חכם אחד זקן ברוסיא מה שאירע לו עם תלמיד שאינו הגין שאחר שלמד לפניו כמה דפי מסכתות בע״פ יצא לתרבות רעה. ונעשה לסטים מזוין מלסטם א… ⟦SEP⟧ …וא הרב לעמוד בחצר המלך לאיזה דבר כי לא רצה ליקח אותו במשמר (כי הקייסר פאוויל הי׳ אוהב אמת מאוד ורצה להעמיד כל מדינת רוסיא על מרכז האמת והי׳ רגיל להתחפש ולהיות בכל מקומות המשפט ובכל שוקי העיר לראות הנהגות העם) וע""כ אמר כי אין מן הצו… ⟦SEP⟧ … לעמוד בחצר המלך לאיזה דבר כי לא רצה ליקח אותו במשמר (כי הקייסר פאוויל הי׳ אוהב אמת מאוד ורצה להעמיד כל מדינת רוסיא על מרכז האמת והי׳ רגיל להתחפש ולהיות בכל מקומות המשפט ובכל שוקי העיר לראות הנהגות העם) וע""כ אמר כי אין מן הצו… ⟦SEP⟧ …ש זי״ע ויהי בשנת תקע""א בעת אשר היה מלחמת הצרפתים עם הרוסים התפלל רבינו בשלום המלכות כי לא אבה שיכנסו הצרפתים לרוסיא כי אמר אם יהי׳ מדינ׳ רוסיא חחת ממשלת הצרפתים תתרבה האפיקורסות וע״כ נחחזק בתפילתו נגד הצרפתים והרה״ק ר׳ שלמה מ… ⟦SEP⟧ …חכמתו בין האומות וע״כ חקר אחריו והרב היה דר אז בלאדי וע״כ ברח הרח הרב חרב ביום השבת עם כל בני ביתו עד קראשנע בראסייע ושם עמדו חיל הרוסים מחנה נורא ושר המנהיג את החיל (קאמידאנט) הכיר את הרב ונתן לו הרב עצה שימהר לברוח מכאן עם ח…",authority,name_ambiguous,name_ambiguous,C_review,0.5,,ambiguous_exact_name,,,,,6817|9562|17849|90627
ED::אושפצין,אושפצין,,,,,29,2,Seva-Ratzon; Shlosha-edrei-zon,"…יו. וכך נהג כל ימיו אם קנה לפעמים איזה עורות עגלים הביאם אלי וביקש ממני לעשות מהם דבר שבקדושה ואף כשהייתי דר באושפצין והיה רחוק איזה פרסאות רץ ברגליו להביאם לי לדבר מצוה וביקש אותי לכתוב לו עליהם תו״מ כללו של דבר הכל עשה לש""ש ו… ⟦SEP⟧ …מו שנה מקדם נפל למשכב לא היה יכול לישב על השלחן אפי' בשבת רק לפעמים ודרכו של הרב הק' ר' בעריש כשהיה אמר תורה באושפצין בסעודת שבת היה כוונתו להמשיך בני חיי ומזוכי על ב""י וכאשר נחלה רבו אז פסק לומר תורה עד״ז רק אמר תורה להמשיך כל… ⟦SEP⟧ …י כבר צפיתי לאיש כמוהו נאמן רוח מכסה דבר אני רוצה לשלוח את מע' בשליחות ולא יגלה כי אני שלחתיו רק יאמר כי היה באושפצין בזה ר""ה איש צדיק וצוה עלי כדבר הזה : ⟦SEP⟧ נגזר עליו בזה ר""ה ענין סכנת נפשות לכן ילך אליו ויאמר לו בשם גדול הדור אשר היה בר""ה זה באושפצין והוא שלח את מע' אליו לאמר לו כי בכל יום ויום אחר רחיצת שחרית כשיקים מן מטתו יפריש מעות לנדבה לפ""נ כפי השגת יד… ⟦SEP⟧ …ל ולא לאבד את מעותיך שם ועתה יודע מה לעשות אז הראיתי לו את ידי ואספר לו כל המעש׳ הנ""ל ועתה איעצך שתסע אל הרב לאושפצין ויתן לך עצה טובה השיב לו אני מאמין שיש בפולין צדיקים אשר יכולים לפעול אמנם איך אלך וישמעו אנשי עירי ואהיה כמצ…",edition_only,no_match,,C_review,0.0,,,,,,,
H-LOC_198,,Volia,Q2068366,51.379444,24.833333,25,3,Khal-Hasidim; Sipurei-Zadikim; maase-zadikim,"ויהי אחרי הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים המפורסמים הצדיקים ר' מרדכי מנישחיז ועם הש״ץ מזאסלאב אשר גם המה הלכו אז בגולה ונתועדו כולם לילך יחד בגולה ועשו מה שעשו בצוותא. פעם אחת נזדמנו כול… ⟦SEP⟧ … תלמידו של הרה""ק מוהר""ר שלמה מקארלין ז""ל וכאשר מת רבו הקדוש בקארלין אמר קודם מותו כי תלמידיו ילכו להרב הקדוש מנישחיז ז""ל. ויהי כאשר בא הרה""ק מסטרעליסק לקארלין וישמע כי מת רבו הקדוש ואחרי קבלו תנחומין שאל החברים הקדושים מה צוה … ⟦SEP⟧ …רב וחיבב אותו ושלחו לדרכו : ויהי אחר הדברים האלה נתוועד הסבא הזה עם הרבנים הקדושים המפורסמים הצדיקים ר׳ מרכי מנישחיז ועם הש""ץ מזאסלאב אשר גם המה הלכו אז בגולה ונתועדו כולם לילך יחד בגולה ועשו מה שעשו בצוותא. פעם אחת נזדמנו כול… ⟦SEP⟧ …הר""ר שלמה מקארלין ז""ל וכאשר מת רבו הקדוש בקארלין אמר קודם מותו כי תלמידיומעשה צדיקים תלמידיו ילכו להרב הקדוש מנישחיז ז""ל. ויהי כאשר בא הרה״ק מסטרעליסק לקארלין וישמע כי מת רבו הקדוש ואחרי קבלו תנחומין שאל החברים הקדושים מה צוה …",authority,no_match,,C_review,0.0,,,,,,,
H-LOC_628,שטראשעלע,,Q7602173,,,23,3,Khal-Hasidim; Shivhei-Harav; Sipurei-Zadikim,"…ם י״ט וכ""ט בו ועתה נחזור לראשו לספר מר""ח כסליו ויו""ד בו אשר בשני הימים האלו נפדו הרבנים הקדושים ר׳ אהרן הלוי משטראשעלע תלמיד מובהק של הרב הקדוש הנ""ל ובנו ר' דוב בער מליבאוויטש אשר מסר אותם יליד וויטעפסק והיה לפנים משועי ואצילי ה… ⟦SEP⟧ … כי הקור ילחצום ויכתת׳ עד כלותם : ראיתי אני הכותב בהמכתב ששלח בן הרב הקדוש מוה׳ דוב בער אל הרב הקדוש ר׳ אהרן משטראשעלע כי בעת אשר נכנסו צרפתים למאסקווע היה הרב אז בראסייע בכפר לא רחוק ממאסקווע החיל היו שומרים אותו וכן היה כי במק… ⟦SEP⟧ …רב ר׳ משה חתן ר׳ זאב ציכעס ז""ל והשני הרב ר׳ ישראל יוסף ז""ל בעשי״ת להשתטח על ציון רבם אדמו״ר הקדיש מוהר״א ז""ל לשטראשעלע ומדי עברם דרך עיר קאפוסט אשר היא לא רחוק׳ משטראשעלע עמדו עם העגלה בתוך הרחוב לאיז' דבר הנצרך להם אז. וכעמד׳ ב… ⟦SEP⟧ … מצערי ונשחת עלי תארי ויצו עלי לנסוע לשטראשעלע כי הכפר לא היה רחוקה כ""א עשרים וויארסט מהעיר ונסעתי לפנות ערב לשטראשלע ונסעתי כל הלילה וישבתי בהעגלה ולא היה לי שום דמיון אז נגמרה בדעתי סגולה סגילה עושה ומועילה. לזה לנסוע אנא ואנ… ⟦SEP⟧ …ש כפרי היה דר בניאמיל והוא ר' משה הלוי אשר היה דור שמיני להשל""ה הקדוש והר״מ הוא אבי הקדוש האלקי ר׳ אהרן הלוי משטראשעלע אשר נודע שם תפארתו מחיבוריו הקדושים שער היחוד ושערי עבודה ועבודת הלוי זצוק""ל. והשני היה ר׳ אליקים מעיר קאדזען…",authority,no_match,,C_review,0.0,,,,,,,
ED::ק,ק,,,,,23,7,Buzina_Denehora; Maasiot-veSihot-Zadikim; MaasyiotMzadikeiYesodeiOlam; Shemen-Hatov; Shlosha-edrei-zon; Tiferet-Hayyim; shivheiZadikim,"פ""א בא מחותנו הרב הק'. ר׳ שלמה קארלינר ולק' טאלטשין והלך הרב ר שלמה מן האכסניא שלו אלי הרב הק׳ ר׳ ברוך. והלכו עמו עולם גדול מאנשי … ⟦SEP⟧ פעם אחת בא הרב הק' ר' ברוך זצלה""ה. קודם חג השבועות. לק' מעזעביז ולא הי' אצל אחיו הרב הק' מסדילקוב ברק בבוא העירה, נסע על קבר הב… ⟦SEP⟧ היוצר יחד לבם המבין אל כל מעשיהם הקב״ה שמח בלבבם של ישראל כי הוא מבין אל כל מעשיהם כי אם אדם עושה איזה רמי׳ הוא בעבור השי""ת היינו לכבד את השבת וי… ⟦SEP⟧ פעם אחת בא הרב הצדיק ר׳ ישראל מפיקאב בנו של הרב הגאון הקדוש מו""ה לוי יצחק מבארדטשיב לק׳ סאסיב להרבי ר׳ משה ליב ז""ל- ואמר אליו פיקי… ⟦SEP⟧ ואח""כ נסע לביתו לק׳ יאמפלי וכל הטענות ותבועות ודו""ד שהיו בין אנשי העיר הזאת היו דרכם לעכב עד שיבוא הצדיק ר׳ יוסלי ז""ל לעשות פשרה…",edition_only,no_match,,C_review,0.0,,,,,,,
ED::קאמינקע,קאמינקע,,,,,18,4,Khal-Hasidim; MaasiyotUmaamarimYekarim; Shivhei-Habesht; SipurimUmaamarimYekarim,"…י' מימות עזרא ואילך לא היו תפילין כאלו וכמו שני שעות אחר זאת מת ונפטר מעולם וזה ר׳ יצחק היה אחיו של רבי יוסף מקאמינקע : ⟦SEP⟧ …עצמך פ״א שלחו אחר הבעש״ט שיבוא לק""ק הנ""ל ובסעודה ישב נגד חלון ופתח את החלון והי' מביט בחלון בכל רגע ור׳ יוסף מקאמינקע תמה ע״ז ורצה לידע הסיבה מפני מה מביט בחלון בכל רגע מה עשה כשפנה הבעש״ט מן החלון סגר את החלון והבעש״ט כשרצה לה… ⟦SEP⟧ …ע למכשף לעשות לך כישוף וכעס עליו האדון ולקח את בנו לתפיסה והמוכסין הלז לא מצא את הבעש״ט בביתו כי הוא היה בק""ק קאמינקע ונסע אחריו לעיר קאמינקע ולא מצאו שם כי נסע הבעש״ט לביתו ונסע אחריו והשיגו בדרך אמר לו הבעש""ט מה אוכל לעשות לך… ⟦SEP⟧ שמעתי מר' פסח בנו של ר׳ יעקב מקאמינקע שהבעש״ט הי' בדרך ובא לעיר אחת ושמע כרוז שיתאכסן בבית פלוני ובא לבית הנ""ל ולא רצו לקבל אותו על האכסני' הלז מחמ… ⟦SEP⟧ עוד סיפר לי ר' פסח הנ""ל פ״א נסע הבעש״ט מקאמינקע לביתו. ונסע עמו בצוותא חדא ר' ברוך מקאמינקע בעגלה מיוחדת והסופר ישן עמו וגם העגלה של קמח הולך אחריו אמר הבעש״…",edition_only,fuzzy,fuzzy,C_review,1.0,,,,,,,14272|75609|16115
ED::לאזנע,לאזנע,,,,,14,2,Khal-Hasidim; Shivhei-Harav,"איש הי' בארץ רוסי' הלבינה בעיר לאזנע ושמו ר' ברוך ויולד האיש לעת זקנתו שני בנים ויקרא שם האחד שניאור זלמן ושם השני קרא יהודה ליב וכאשר גדלו הנערים… ⟦SEP⟧ …לילה וביאר הרב זה המאמר שיש שני דרכים בעבודת ה' כו' ואין כאן מקומו ואחר כך נסע הרב למדינתו לרייסין ותקע אהלו בלאזנע וגם בעת בואו ללאזנע לא רצה לקבל על עצמו הנהגה בסדרי נשיאות כ""ז שהיה מבהיק אורו של הרב הקדוש ר' מנחם מענדיל מו… ⟦SEP⟧ …שע לא היה מכיר רק את שמו אבל לא ראה אותו מעודו וכאשר נכנס הרב לבית ר׳ יהושע שאל אותו מי אתה ויענהו אנכי זלמן מלאזנע אשר שלחני לעמוד לפני כבודו בכור הבחינה וה""ר יהושע הנ""ל היה אז עוסק בחשבנותיו ולא הניח ר""י הנ""ל עד אשר כלה אות… ⟦SEP⟧ איש הי' בארץ רוסי׳ הלבינה בעיר לאזנע ושמו ר' ברוך ויוליד האיש לעת זקנתו שני בנים ויקרא שם האחד שניאור זלמן ושם השני קרא יהודא ליב וכאשר גדלו הנערי… ⟦SEP⟧ ויהי כאשר בא הסרדיוט עם האנ״ח (זאנדארין) ללאזנע והבינו כל אנשי העיר כי עבור הרב נוסע הוא והודיעו להרב כי אנשי חייל נוסעים אחריו והרב היה לבוש תפילין אז ופתח …",edition_only,fuzzy,fuzzy,C_review,1.0,,,,,,,83371|181|20303|2530|20968
