name,occurrences,editions,contexts,suggested_id,action,_match_status,_match_method,_confidence,_kima_id,_kima_name_rom,_kima_name_heb,_distance_km,_candidates
מעזריטש,151,Adat-Zadikim; Derech-Haemuna; Khal-Hasidim; Maasiot-veSihot-Zadikim; Maim-Rabim; Peulat-Hatzadikim; Shemen-Hatov; Shivhei-Habesht; Shivhei-Harav; Shlosha-edrei-zon; Sipurei-Zadikim; maase-zadikim; shivheiZadikim,"…חי' הרב הקדוש הגאון בו״ק מוה' מנחם מענדיל נ""י מוויטעפסק בעהמ""ח ספר פרי הארץ הי' לומד אצל הרב הק' המגיד הגדול ממעזריטש ז""ל מנערותו אשר הי' בן בו עשרה שנים או אחד עשר. והפליא מאוד בלימודו הנגלה וחיבב אותו הה""מ מאוד. פעם אחת ביום …

מעשה נוראה מאדונינו האלקי רשכב""ה הרב המגיד הגדול ממעזריטש איך המשיך אליו הדאקטער גארדע עד שנעשה צדיק גדול זכותם יגן עלינו אמן : איש אחד משועי ואצילי וילנא הבירה עבר דר…

עוד שמעתי מאבא מארי מעשה שהיה הרב הגדול האלקי ר׳ אהרן מקארלין קודם הפסח אצל הרב המגיד ה""ג במעזריטש ורצה לנסוע לביתו על חג הפסח וילך לקבל רשות פרידת שלום מרבו לנסוע לביתו ונתן בזו הרה״מ רשות. ואחרי אשר יצא הרר…

…רד כל ההר מאד אך לא היה ניכר ובמים היה ניכר מאד. גם שמעתי מהמ״מ מ׳ אליהו ז""ל כשבא פעם ראשון להמגיד הגדול דק""ק מעזריטש סיפר לו זו המעשה ואמר פ״א בי״ט ואין יודע אם יום א׳ של פסח או יום ש״ע הי׳ והצרכתי לברך גשם או טל והיה הבעש""ט מ…

שמעתי מהרב דקהלתינו שהיה הר׳ ליבש דק""ק מעזריטש אצל הבעש״ט בימים נוראים וחלה קודם ר״ה ועסק הבעש״ט ברפואתו כל הלילה של ער""ה וגם הלילה של ר""ה ולא ראה סימן מיתה…",,,name_ambiguous,name_ambiguous,0.5,,,,,223|19737
רוסיא,30,Hitgalut-HaZadikim; Khal-Hasidim; Maasim-Tovim; Maasiot-veSihot-Zadikim; Mifalot-HaZadikim; Peulat-Hatzadikim; Sefer-Moraim-Gdolim; Shemen-Hatov; Shivhei-Harav; Smichat-Moshe; Toldot-Haniflaot,"…רב מהריק""ו הרב ראשון לציון שנלב״ע שנה שעברה בנאמון יע״א. והוא כי בהיותו שדר״ח בערי אשכנז סיפר לי חכם אחד זקן ברוסיא מה שאירע לו עם תלמיד שאינו הגין שאחר שלמד לפניו כמה דפי מסכתות בע״פ יצא לתרבות רעה. ונעשה לסטים מזוין מלסטם א…

…וא הרב לעמוד בחצר המלך לאיזה דבר כי לא רצה ליקח אותו במשמר (כי הקייסר פאוויל הי׳ אוהב אמת מאוד ורצה להעמיד כל מדינת רוסיא על מרכז האמת והי׳ רגיל להתחפש ולהיות בכל מקומות המשפט ובכל שוקי העיר לראות הנהגות העם) וע""כ אמר כי אין מן הצו…

… לעמוד בחצר המלך לאיזה דבר כי לא רצה ליקח אותו במשמר (כי הקייסר פאוויל הי׳ אוהב אמת מאוד ורצה להעמיד כל מדינת רוסיא על מרכז האמת והי׳ רגיל להתחפש ולהיות בכל מקומות המשפט ובכל שוקי העיר לראות הנהגות העם) וע""כ אמר כי אין מן הצו…

…ש זי״ע ויהי בשנת תקע""א בעת אשר היה מלחמת הצרפתים עם הרוסים התפלל רבינו בשלום המלכות כי לא אבה שיכנסו הצרפתים לרוסיא כי אמר אם יהי׳ מדינ׳ רוסיא חחת ממשלת הצרפתים תתרבה האפיקורסות וע״כ נחחזק בתפילתו נגד הצרפתים והרה״ק ר׳ שלמה מ…

…חכמתו בין האומות וע״כ חקר אחריו והרב היה דר אז בלאדי וע״כ ברח הרח הרב חרב ביום השבת עם כל בני ביתו עד קראשנע בראסייע ושם עמדו חיל הרוסים מחנה נורא ושר המנהיג את החיל (קאמידאנט) הכיר את הרב ונתן לו הרב עצה שימהר לברוח מכאן עם ח…",,,name_ambiguous,name_ambiguous,0.5,,,,,6817|9562|17849|90627
קאמינקע,18,Khal-Hasidim; MaasiyotUmaamarimYekarim; Shivhei-Habesht; SipurimUmaamarimYekarim,"…י' מימות עזרא ואילך לא היו תפילין כאלו וכמו שני שעות אחר זאת מת ונפטר מעולם וזה ר׳ יצחק היה אחיו של רבי יוסף מקאמינקע :

…עצמך פ״א שלחו אחר הבעש״ט שיבוא לק""ק הנ""ל ובסעודה ישב נגד חלון ופתח את החלון והי' מביט בחלון בכל רגע ור׳ יוסף מקאמינקע תמה ע״ז ורצה לידע הסיבה מפני מה מביט בחלון בכל רגע מה עשה כשפנה הבעש״ט מן החלון סגר את החלון והבעש״ט כשרצה לה…

…ע למכשף לעשות לך כישוף וכעס עליו האדון ולקח את בנו לתפיסה והמוכסין הלז לא מצא את הבעש״ט בביתו כי הוא היה בק""ק קאמינקע ונסע אחריו לעיר קאמינקע ולא מצאו שם כי נסע הבעש״ט לביתו ונסע אחריו והשיגו בדרך אמר לו הבעש""ט מה אוכל לעשות לך…

שמעתי מר' פסח בנו של ר׳ יעקב מקאמינקע שהבעש״ט הי' בדרך ובא לעיר אחת ושמע כרוז שיתאכסן בבית פלוני ובא לבית הנ""ל ולא רצו לקבל אותו על האכסני' הלז מחמ…

עוד סיפר לי ר' פסח הנ""ל פ״א נסע הבעש״ט מקאמינקע לביתו. ונסע עמו בצוותא חדא ר' ברוך מקאמינקע בעגלה מיוחדת והסופר ישן עמו וגם העגלה של קמח הולך אחריו אמר הבעש״…",,,fuzzy,fuzzy,1.0,,,,,14272|75609|16115
לאזנע,14,Khal-Hasidim; Shivhei-Harav,"איש הי' בארץ רוסי' הלבינה בעיר לאזנע ושמו ר' ברוך ויולד האיש לעת זקנתו שני בנים ויקרא שם האחד שניאור זלמן ושם השני קרא יהודה ליב וכאשר גדלו הנערים…

…לילה וביאר הרב זה המאמר שיש שני דרכים בעבודת ה' כו' ואין כאן מקומו ואחר כך נסע הרב למדינתו לרייסין ותקע אהלו בלאזנע וגם בעת בואו ללאזנע לא רצה לקבל על עצמו הנהגה בסדרי נשיאות כ""ז שהיה מבהיק אורו של הרב הקדוש ר' מנחם מענדיל מו…

…שע לא היה מכיר רק את שמו אבל לא ראה אותו מעודו וכאשר נכנס הרב לבית ר׳ יהושע שאל אותו מי אתה ויענהו אנכי זלמן מלאזנע אשר שלחני לעמוד לפני כבודו בכור הבחינה וה""ר יהושע הנ""ל היה אז עוסק בחשבנותיו ולא הניח ר""י הנ""ל עד אשר כלה אות…

איש הי' בארץ רוסי׳ הלבינה בעיר לאזנע ושמו ר' ברוך ויוליד האיש לעת זקנתו שני בנים ויקרא שם האחד שניאור זלמן ושם השני קרא יהודא ליב וכאשר גדלו הנערי…

ויהי כאשר בא הסרדיוט עם האנ״ח (זאנדארין) ללאזנע והבינו כל אנשי העיר כי עבור הרב נוסע הוא והודיעו להרב כי אנשי חייל נוסעים אחריו והרב היה לבוש תפילין אז ופתח …",,,fuzzy,fuzzy,1.0,,,,,83371|181|20303|2530|20968
נ״ש,13,Derech-Haemuna; Seva-Ratzon; Shemen-Hatov,"…חת שבת וז״ל בימי עלומי ששמעתי מאיש זקן א׳ שסיפר בשם הרה״ק ר׳ אברהם יהושע העשיל ז""ל מאפטא שאמר על הרה״ק הרר״ש מנ״ש שהי׳ גאון גדול בתורה כמו הרבינו תם ז״ל אך בענין ענווה ויראת שמים הוא ירא להכריע. עוד שמעתי מפי נכדי הרה״ק ר״פ…

… בנימין מלובלין זי״ע תלמיד מובהק להרבי מלובלין. וזכיתי להכירו ולשמוע מפיו ממש. כי בעת הי' הה״ק רבי ר׳ אלימלך בנ״ש. א׳ לו כמתרעם מלך נעמסט מיר אוועק מיינע חסידים. השיבו בחרדת קודש. רבי אני שלך ואנשי שלך.

…אחר חתונתו בהיות דירתו ביענדריחוב. בעת ההוא נשמע כי הגה״ק רר״ש נתמנה לניקלשפורג לרב. אז אמרה אליו זוגתו שיסע לנ״ש ללמוד תורה וישמע אלי' ויסע לנ״ש ויקבלהו הרה״ק בספ״י ואמר לו כי בא אליו במועדו כי הרבנים ממעהרין אמרו עליו שאי…

… יושב בישיבה בשפל מקום ולא שאל כלל כמו שאר הבחורים ולא הביט מד׳ אמותיו חוצה רק הלך תמיד בשח עינים אולם הגאון מנ״ש חבב אותו עד מאוד וכמה פעמים הרהר הה״ק מקשאנוב איך לתהות על קנקנו להבין מדרגתו בלימוד. פ״א בא אליו עם הגמ׳ ובק…

…חרב. ואמנם כן היה כי נהר הוייכסיל עלה גדותיו והפיץ חלק גדול מהעיר. זקיני הרר״ש העתיק דירתו לשינאווי ומשם לעיר נ״ש. בתחלה צווה את תלמידו (הוא חו״ז הר׳ יוזפא) להעתיק דירתו אל העיר יוזעפאף על יד הוייכסיל. ובהיותו פ״א. אחרי ימי…",,,fuzzy,fuzzy,1.0,,,,,84489|9871
Tulchin,12,Khal-Hasidim; Shivhei-Habesht; Shivhei-Harav,"…מיד מנעלים טובים כי הי' לה בחנות מנעלים והבטיח לה שבוודאי יהיה לה ב״ז וכן הוה שנולד לה הרב הקדוש ר' ברוך מק""ק טולטשין :

… אשר הדפיס הרב את ספר התניא נתן ר' ברוך עבורו אדום זהב ואח״כ דברו דברי נרגנות זע""ז ומתחלה פתח הרב בשלום ונסע לטולטשין למקום משכן קודש של הרב ר' ברוך הנ""ל ונתרצו זל""ז ודברו באהבה וריעות אבל כאשר יצאו לטייל מחוץ לעיר נתהוה מריבה …

והנה מדי עבר הרב לטולטשין נזקק לבקשת אשה אחת לשלם לה טובה תחת טובה כי בעת אשר ישב הרב במאסר בפעטערסבורג פעם הראשון היתה שמה אשה אחת שמה…

…תל מערב היו עומדים חביות מלאי' תבואה והיו רואים שהתבואה רועדת וגם שמעתי ממנו אבל לא מפיו ממש בהיותו שוחט בק""ק טולטשין הי׳ שובת ר׳ דוד הנ' ועשה ר׳ דוד מכפר תלאדווקע תנאים ושלח עגלות אחר כל המקבלים וגם מ' דוד מ״מ הנ' נסע על התנאי…

… וגם מר' יוסף בן רבי משה מק""ק פולנאי שמעתי כמה נוסחאות בזה המעשה אבל פ""א שבת אצל הרב דקהלתינו ר׳ דוד מ״מ דק""ק טולטשין שהיה נכד של הצדיק ר׳ דוד פורקעס וסיפר לי מעשה שאיש אחד שבחי הבעש""ט 97 אחד הוליך בנו משוגע להבעש״ט וכשהגיע א' …",81438,,name_exact,wikidata,0.99,81438,Tulʹchyn (Ukraine),טולצ'ין (אוקראינה),0.5,
Kam'yanka,11,Khal-Hasidim; PeerMikdoshim; Shivhei-Habesht,"…״ז ואחר התפלה הלך לעיר שמעבר הנהר אצל הפ""ח ואכל שם וישן מעט והלך לבה״כ לדרוש ובעת שלש סעודות בא להבעש״ט ואנשי קאמינקא היה המנהג כשהיה הבעש״ט אצלם העמידו להם שולחן מן הצד והאורחים יושבים עם הבעש״ט על השולחן שבבית וכשראו אותו שבא…

מעשה מהבעש״ט הקדוש זי""ע אשר סיפר הגאון הצדיק ר׳ שלום מקאמינקא זצ״ל :

כד אתכנשו כל צדיקי הדור על היא""צ ברופשיץ. באה אשה אחת לפניהם ובתוכם הי׳ הגאון מקאמינקא ז""ל וצעקה האשה בבכי יליל תמרורים כי נתנה סך שמנה מאות רייניש כסף לאיש אחד ממכירי' כי יסע על הכפרים לקחת פשתים…

… מתשוקתו ונתעכב עוד אצלו כי אמר אולי מקרה הוא ואמצאשעת הכושר לבא אצלו ויהי היום נזדמן נסיעה להבעש״ט ליסע לק""ק קאמינקא ומראמפאלי ואמר הבעש״ט להמוכיח שיסע אותו עמו ונתמלא שמחה שבדרך בוודאי ישיג מבוקשו ונסעו יחד עוד עם כמה אנשים ו…

מעשה מהבעש״ט הקדוש זי""ע אשר סיפר הגאון ר׳ שלם מקאמינקא זצ״ל",,,fuzzy,fuzzy,1.0,,,,,14272|75609|16115
לאדי,11,Khal-Hasidim; Shivhei-Harav; Sipurei-Zadikim; Toldot-Haniflaot,"…תו אביגדור הנ""ל כאשר כתבנו למעלה ויאמר לו העברי כן מכיר אני אותו שהוא איש ישר ויוסף הקיסר לשאול אותו ואת הרב מלאדי אתה מכיר ויען לו האיש לא הכרתיו עד כה אבל תמול שלשום שמעתי כי בא לכאן והלכתי לראותו ולא התבונן האיש לפני מי ה…

…קיים בו מאמר הכתוב שלח ידיו בשלומיו חלל בריתו ובסוף ימים היה מחזיר על הפתחים הולך מעיר לעיר עד כי קרה גם בעיר לאדי משכן קדשו של הרב ויבקש את אנשיו שיניחו אותו לכנוס להרב ויודיעו האנשים הדבר הזה להרב וישלח לו הרב נדבה הגונה א…

…וונא ביום שבת קודש וקיסר הצרפתים הרגיש כי הרב מנגד לו כי נשמע חכמתו בין האומות וע״כ חקר אחריו והרב היה דר אז בלאדי וע״כ ברח הרח הרב חרב ביום השבת עם כל בני ביתו עד קראשנע בראסייע ושם עמדו חיל הרוסים מחנה נורא ושר המנהיג את ה…

…ד עבודה בקטורת ומנחות בקרב בקרוב כאשר יבנה הנהרסות אולם אחרי כן קרה פעם אחת אשר נסע הרב הקדוש ר׳ שניאור זלמן מלאדי דרך חואסטוב וצוה למשרתיו כי ידפקו את הסוסים מאד עד יעברו תחום שבת מהעיר כי אמר אולי יעשה לי הרב ר׳ אברהם כאשר…

… אביגדור הנ״ל כאשר כתבנו למעלה) ויאמר לו העברי כן מכיר אני אותו שהוא איש ישר ויוסף הקייסר לשאול אותו ואת הרב מלאדי אתה מכיר ויען לו האיש לא הכרתיו עד כה אבל תמול שלשם שמעתי כי בא לכאן והלכתי לראותו ולא התבונן האיש לפני מי הו…",21831,,name_exact,name_exact,0.95,21831,Lyady (Belarus),ליאדי (בלארוס),,21831
הר סיני,10,Hitgalut-HaZadikim; Shivhei-Habesht; Shlosha-edrei-zon; SipureiAnsheiShem; Tiferet-Hayyim,"…ואהרן נגד ישראל הן בדיבור רע והן במעשה אדרבא היו סובלים אותם בכל מה שאפשר. ועוד יש לדקדק הלא ראו בפירוש במעמד הר סיני דנגש משה לבדו ודבר עם השי""ת פנים בפנים מה שלא היה אפשר להם לקרב כ״כ וגם אמרו למשה דבר אתה עמנו וגו׳. וראו בינ…

…רו ארבעים שנה במדבר ויהיו מוכרחים להלוך אחר הנהגת רוממות של משה רבינו היו מתרעמים שא""א להם לקבל וכמו שאמרו על הר סיני שאינם יכולים לקבל כבודו והתנשאותו ית׳ שלא מותו כן היו טוענים עתה ג״כ שאין יכולים לקבל התנשאות ורוממות דרכי מש…

גם שמעתי מהרב הנ""ל שראה הבעש״ט את המלאך הדרניאל שהוא מלאך שני שפגע מרע""ה בעליתו בהר סיני כאמור בזוהר הקדוש :

…ר שלח הש""י את משה רבינו אל פרעה סירב מאד ככתוב בתורה. כי לא רצה לעסוק בדברי מלכים מחמת עניוות אמנם כאשר שלחו להר סיני לקבל התורה אז לא סירב אעפ""י שכתר תורה גדול מכתר מלכות אפ""ה רץ בשמחה גדול לקבל התורה

…מצא כתוב בהספר המנהג הלזה מפורש וטעמו שברוך שאמר הוא כנגד עשרה הדברות וצריך לאומרו על הבימה דוגמת מתן תורה על הר סיני וילך להראות את הרב מקור המנהג ומפני כבודו של הרב שכבר ביטל המנהג עשו שיאמר השמש של ביהכנ״ס שעומד על הבימה ברו…",,,fuzzy,fuzzy,1.0,,,,,1737|1189|13994|1235|16121
דראהביטש,10,Derech-Haemuna; Maim-Rabim; Peulat-Hatzadikim; Shemen-Hatov,"קעב) והובא עוד סיפורים מהגה""ק ר' יצחקיל האמבורגר. ומה שהי' בינו ובין הגה״ק ר' יצחקיל מדראהביטש. בס׳ רמתים צופים א״ז אות קט״ז מה שסיפר אודותיו הגה״ק הרבי ר׳ בונם זצ״ל מפרשיסחא. ועוד הובא ממנו ענינים נפלאים…

…ים יארע לו איזה תנועה של לשון הרע כי אפילו תנועה עושה רושם ועקימות שפתיו עושה רושם כמו שאירע להק׳ רבינו יצחק מדראהביטש שהיה לו ענין שתיכף שיאמר בידך אפקיד ישן לו ואם אירע שלא יכול לישן היה יודע שעשה איזה חטא ואינם רוצין לקבלו עד…

ד) ואמר הה״ק מוהר״ר יצחק מדראהביטש זלה״ה שהתחלה והלבוש נקרא אם ואמר כשאני רוצה לנסוע על הדרך להוכיח את ישראל ולקבל גלות ולהיות השכינה מצויה על ה…

ובס׳ ב""א (על ת""ז בהק') מהה״ק ר׳ אברהם אבלי ז""ל מדראהביטש שהיה א׳ מהנסתרים מקרי דרדקי ובסוף ימיו גילה אותו הה״ק מ זל״ה ובביתו לובליןהיה דר זקן א׳ ושמו היה ר׳ ליב אשר ה…

…ה ע״י בקשתם ונסע משם ומחמת פחד הרשעים נסע כמה פרסאות בעת קצרה כי זה היה נקל לו כנודע ממעשה ששלח אחריו ר׳ אבא מדראהביטש שנשתגעה אשתו והתפלל מנחה בעיר פראהיין ובתחלת הלילה בא לק״ק דראהביטש",977,,name_exact,name_exact,0.95,977,Drohobych (Ukraine),דרוהוביץ (אוקראינה),,977
