action	text	original_label	corrected_label	start	end	source_file
removed	"ישראל מ״מ דק""ק קאזעניץ"	PER		9374	9396	Adat-Zadikim.xml
added	ישראל		PER	9374	9379	Adat-Zadikim.xml
removed	אשת ר׳ שבתי	PER		15314	15325	Adat-Zadikim.xml
added	שבתי		PER	15321	15325	Adat-Zadikim.xml
added	ישראל		PER	15803	15808	Adat-Zadikim.xml
removed	המגיד מקאזעניץ	PER		15972	15986	Adat-Zadikim.xml
removed	"המגיד מקאזעניץ בעהמ""ח ספר עבודת ישראל"	PER		15972	16009	Adat-Zadikim.xml
added	המגיד		PER	15972	15977	Adat-Zadikim.xml
removed	עבודת ישראל	WOA		15998	16009	Adat-Zadikim.xml
added	קאזעניץ		GPE	16327	16334	Adat-Zadikim.xml
added	עבודת ישראל		WOA	16346	16357	Adat-Zadikim.xml
removed	"אברהם יהושיע העשיל זצ""ל מאפטע"	PER		17260	17289	Adat-Zadikim.xml
added	אברהם יהושיע העשיל		PER	17260	17278	Adat-Zadikim.xml
removed	אפטע	GPE		17313	17317	Adat-Zadikim.xml
added	אפטע		GPE	17349	17353	Adat-Zadikim.xml
removed	בארדיטשוב	GPE		17353	17362	Adat-Zadikim.xml
added	רדיטשוב		GPE	17355	17362	Adat-Zadikim.xml
removed	בעש״ט	PER		20956	20961	Adat-Zadikim.xml
removed	בראד	GPE		21430	21434	Adat-Zadikim.xml
removed	הבעש״ט	PER		21678	21684	Adat-Zadikim.xml
added	ישראל		PER	21977	21982	Adat-Zadikim.xml
added	בעש״ט		PER	22007	22012	Adat-Zadikim.xml
removed	ישראל דוב מווילעדניק	PER		22779	22799	Adat-Zadikim.xml
added	ישראל דוב		PER	22779	22788	Adat-Zadikim.xml
removed	ווילעדניק	GPE		22790	22799	Adat-Zadikim.xml
added	ווילעדניק		GPE	22859	22868	Adat-Zadikim.xml
removed	ישראל בר׳ אליעזר	PER		23405	23421	Adat-Zadikim.xml
removed	בת הבעש״ט	PER		23595	23604	Adat-Zadikim.xml
added	הבעש״ט		PER	23598	23604	Adat-Zadikim.xml
removed	ישראל בעש״ט	PER		24501	24512	Adat-Zadikim.xml
added	ישראל		PER	24501	24506	Adat-Zadikim.xml
added	בעש״ט		PER	24507	24512	Adat-Zadikim.xml
removed	הסופר ר׳ צבי	PER		25399	25411	Adat-Zadikim.xml
added	צבי		PER	25408	25411	Adat-Zadikim.xml
removed	מיכל מזלאטשוב	PER		42191	42204	Adat-Zadikim.xml
added	מיכל		PER	42191	42195	Adat-Zadikim.xml
removed	זלאטשוב	GPE		42225	42232	Adat-Zadikim.xml
added	זלאטשוב		GPE	42489	42496	Adat-Zadikim.xml
removed	מיכל מזלאטשוב	PER		43285	43298	Adat-Zadikim.xml
added	מיכל		PER	43285	43289	Adat-Zadikim.xml
removed	זלאטשוב	GPE		43319	43326	Adat-Zadikim.xml
