story_id	tag	sonnet_confidence	sonnet_reasoning
Khal-Hasidim_0193	social:relations_with_non_jews	high	The story depicts Hasidic pilgrimage to a Rebbe's grave and a supernatural affliction narrative; the only figure that could suggest a non-Jew is the dream/demonic apparition called 'דייטש' (German), but this is a malevolent spirit in a vision, not an actual social interaction with a non-Jew.
Khal-Hasidim_0120	ethics-and-emotions:repentance	high	The story depicts the Besht removing a heavenly accusation (קטרוג) before Kol Nidre through an unusual spiritual maneuver involving the priest, not through any act of repentance by any character.
Shivhei-Habesht_0080	social:retrospective_recognition	medium	The rabbi's after-the-fact inquiry reveals the Besht's hidden spiritual reasoning (the woman's righteousness, the nullification of harsh judgments), but the narrative pivot is an explanation of esoteric logic, not a social moment in which someone's true worth or identity is belatedly acknowledged by a community or witness.
Khal-Hasidim_0118	times:shabbat	high	The feast described is explicitly in honor of the nagid's uncle's visit, with no mention of Shabbat, Kiddush, Shabbat prayers, or any Shabbat-specific context.
Khal-Hasidim_0243	characters-and-roles:the_family_of_the_tsaddik	high	The story features the Apter Rav and his followers investigating an innkeeper, but no family members of the tsaddik appear or are mentioned — the only family referenced is the innkeeper's own household (בני ביתי).
Shivhei-Habesht_0001	ethics-and-emotions:repentance	high	The story depicts divine providence, captivity, faithful observance, and the miraculous birth/childhood of the BeShT, but no character undergoes repentance or teshuvah at any point.
Khal-Hasidim_0169	social:relations_with_the_authorities	high	The story deals entirely with internal Hasidic community dynamics — a rebbe severing his quasi-paternal bond with a young man who mocked prominent tzadikim — with no depiction of or interaction with any governmental or external secular authority.
Shivhei-Habesht_0062	spaces:the_land_of_israel	high	The story is set in a village inn (שיינק בכפר) and a forest, with no mention of or connection to the Land of Israel.
Shivhei-Habesht_0050A	social:inter_hasidic_master_disciple_relationship	high	The story centers on the Besht expelling harmful spirits (mazzikim) from a synagogue; the scribe Tzvi appears only as a passive witness sharing a room, and the local rabbi's role is simply to summon the Besht — no master-disciple Hasidic dynamic is depicted or explored.
Khal-Hasidim_0001	ethics-and-emotions:lying	high	The story contains concealment of Jewish identity as a survival necessity and the Besht appearing to sleep while doing spiritual work, but neither is framed as lying — they are incidental narrative details, not a depicted ethical act of deception.
Khal-Hasidim_0087	supernatural:prognostication	high	The story depicts a dream-vision in which the Besht reveals a Torah interpretation, and later confirms his awareness of the dream (demonstrating supernatural knowledge/clairvoyance), but no future event is foretold or predicted anywhere in the narrative.
Khal-Hasidim_0173	supernatural:light_or_fire_as_a_sign_of_righteousness	high	The story's supernatural elements involve a heavenly dream-response to the rabbi's halakhic query and divine orchestration of the informer's repentance and death in merit, but no light or fire appears anywhere as a sign of righteousness.
Peer-MiKdoshim_0007	ethics-and-emotions:adultery	high	The story depicts a skeptical wealthy man's conversion to belief in the Seer of Lublin through a demonstration of the rebbe's spiritual insight; there is no mention or depiction of adultery.
Shivhei-Harav_0017	ethics-and-emotions:adultery	high	The story deals with a dispute between two Hasidic leaders over communal funds and religious authority, a miraculous healing, and a conflict narrative — adultery is entirely absent.
Khal-Hasidim_0111	spaces:mikveh	high	The story takes place in an inn, a street, and a synagogue (בה״כ); no mikveh is mentioned or implied.
Khal-Hasidim_0086	social:relations_with_non_jews	high	The story is entirely internal to the Hasidic community — the Besht, his disciples, and a sick student — with no non-Jewish characters or interactions depicted.
Adat-Zadikim_0023	social:poverty	high	The story centers on humility, hidden piety, and Elijah the Prophet's revelation; while Rabbi Chaim deliberately chooses a baker's (artisan's) family of modest social standing, the baker is portrayed as financially comfortable (paying 2,000 gold coins for books), and poverty is never depicted or thematized.
Shivhei-Habesht_0185	knowledge:esoteric	high	The story centers on the Besht's miraculous healing of an opponent through prolonged prayer and physical intervention, with the only 'knowledge' content being a standard Talmudic exchange (Berakhot on yissurim) — no esoteric teachings, Kabbalistic formulas, or hidden wisdom are depicted or transmitted.
Sipurei-Zadikim_0004	ethics-and-emotions:adultery	high	The story concerns a young widower who, guided by a rabbi's matchmaking scheme, weds a wealthy woman — there is no depiction of adultery anywhere in the narrative.
Khal-Hasidim_0099	supernatural:light_or_fire_as_a_sign_of_righteousness	high	The story depicts the Besht's clairvoyant knowledge of hidden matters (ruach hakodesh) — knowing the rabbi forgot Ya'aleh ve-Yavo and sensing a non-Jew's presence in a bed — but contains no light or fire imagery whatsoever.
Shivhei-Habesht_0096A	ethics-and-emotions:adultery	high	The story concerns a preacher's journey to Hamburg, his sermons, hospitality with the community leader, and the Besht's spiritual protection against the Satan — adultery is entirely absent.
Khal-Hasidim_0118	folkloristics:story_type_virtues	medium	The story's primary type is the Besht's miraculous clairvoyance and spiritual healing; the moral lesson about not slandering tzaddikim is embedded in that frame rather than constituting the story's organizing structure as a virtues narrative.
Shivhei-Habesht_0034	ethics-and-emotions:punishment	high	The story centers on the Maggid's illness, healing by the Besht, and mystical transmission (Ma'aseh Merkavah/Kabbalah); the Besht's initial rebuke is a test or dismissal, not a punishment for wrongdoing.
Khal-Hasidim_0120	social:poverty	high	The story centers on a Kol Nidre spiritual impediment (קטרוג) caused by an elderly celibate priest; it involves no depiction of poverty or economic hardship whatsoever.
Khal-Hasidim_0202	kabbalah:kabbalistic_terms_yihudim	high	Story concerns tzaddikim's oaths, blessings for children, and heavenly court rulings — no mention of Lurianic yihudim or unifications of divine names.
