story_id	tag	sonnet_applies	sonnet_confidence	opus_applies	opus_confidence	opus_reasoning	verdict
Khal-Hasidim_0193	social:relations_with_non_jews	True	high	False	high	The story concerns a Hasidic rebbe rescuing a man from demonic spirits; no relations with non-Jews are depicted (the 'German' figure is a demonic apparition, not a real non-Jew).	DISAGREE
Khal-Hasidim_0120	ethics-and-emotions:repentance	True	high	False	high	The story depicts the Besht causing a celibate priest to sin in order to silence heavenly accusers; no character turns from sin in repentance.	DISAGREE
Shivhei-Habesht_0080	social:retrospective_recognition	True	medium	False	high	The Besht's reasoning is revealed privately to the rabbi the same evening; this is concealed-motive revelation, not retrospective recognition of a person's identity or worth.	DISAGREE
Khal-Hasidim_0118	times:shabbat	True	high	False	high	The story takes place during a journey and a feast hosted for the visiting rabbi; no indication of Shabbat.	DISAGREE
Khal-Hasidim_0243	characters-and-roles:the_family_of_the_tsaddik	True	high	False	high	The tzaddik (Rabbi of Apta) appears, but no immediate family members of his are depicted; the innkeeper's wife/family are mentioned but he is not a tzaddik.	DISAGREE
Shivhei-Habesht_0001	ethics-and-emotions:repentance	True	high	False	high	The story narrates the Besht's father's captivity and the Besht's childhood, with no depiction of a character turning from sin.	DISAGREE
Khal-Hasidim_0169	social:relations_with_the_authorities	True	high	False	high	The story concerns internal Hasidic dynamics—a rebbe disowning his adopted son for mocking other tsadikim—with no mention of government or secular authorities.	DISAGREE
Shivhei-Habesht_0062	spaces:the_land_of_israel	True	high	False	high	Story is set in a village tavern and forest; no mention of the Land of Israel as setting or destination.	DISAGREE
Shivhei-Habesht_0050A	social:inter_hasidic_master_disciple_relationship	True	high	True	medium	The story features the Besht acting on behalf of Rabbi Chaim, the local maggid, who summoned him for help — depicting a relationship between Hasidic masters/figures.	AGREE
Khal-Hasidim_0001	ethics-and-emotions:lying	True	high	True	high	The Besht's father conceals his Jewish identity while serving the king and viceroy, and pretends to sleep in the beit midrash to hide his nocturnal worship—both clear acts of deception.	AGREE
Khal-Hasidim_0087	supernatural:prognostication	True	high	False	high	The Besht reveals a Tosafot interpretation in a dream, not a prediction of a future event.	DISAGREE
Khal-Hasidim_0173	supernatural:light_or_fire_as_a_sign_of_righteousness	True	high	False	high	Story depicts a repentant informer's redemption through teshuvah and self-sacrifice; no light or fire imagery around a righteous character appears.	DISAGREE
Peer-MiKdoshim_0007	ethics-and-emotions:adultery	True	high	False	high	Story is about a wealthy scoffer who comes to believe in the tzaddik of Lublin; no adultery is depicted.	DISAGREE
Shivhei-Harav_0017	ethics-and-emotions:adultery	True	high	False	high	Story concerns a dispute between two rebbes over charity funds and authority; no adultery is depicted or referenced.	DISAGREE
Khal-Hasidim_0111	spaces:mikveh	True	high	False	high	The story involves a tavern/cellar with whiskey, the synagogue, and the Besht's lodging — no mikveh scene.	DISAGREE
