tag	definition
characters-and-roles:agunah	An agunah (chained wife — husband missing) appears as a character / her case is the subject.
characters-and-roles:angel_of_death	The Angel of Death (מלאך המוות, סמאל) appears as an agent in the story.
characters-and-roles:angels	Angels (מלאכים) appear in the story.
characters-and-roles:baal_shem	A baal shem (master of the Name) appears as a character — typically a pre-Hasidic figure or a non-Hasidic kabbalistic healer; NOT the Besht.
characters-and-roles:demons	Demons / evil spirits (שדים, מזיקים) appear in the story.
characters-and-roles:elijah_the_prophet	Elijah the prophet appears as a character (in disguise, in dream, in revelation).
characters-and-roles:hidden_righteous	A nistar / hidden righteous person (often a lamed-vavnik) is a character.
characters-and-roles:magician	A character who is a magician / wonder-worker (כושף, מכשף) — typically non-Jewish.
characters-and-roles:melamed	A character whose profession is melamed (teacher of young children) — central enough to be tagged.
characters-and-roles:messiah	The messiah (משיח) appears in some role, or messianic expectations are central.
characters-and-roles:preacher	A maggid (preacher) appears as a distinct character — typically a different role than the rebbe.
characters-and-roles:ritual_slaughterer	A shochet (ritual slaughterer) appears as a character with some role.
characters-and-roles:sabbatai_zevi	Sabbatai Zevi or Sabbatean themes appear.
characters-and-roles:scribe	A character whose profession is sofer (scribe of Torah scrolls / amulets).
characters-and-roles:tavern_keeper	A character whose profession is tavern-keeper / innkeeper (אורנדאר, פונדקאי).
characters-and-roles:the_family_of_the_tsaddik	Members of the tzaddik's immediate family (wife, sons, daughters, parents) appear as characters.
characters-and-roles:witch	A witch / female magician character appears.
ethics-and-emotions:adultery	Adultery (ניאוף) is at issue in the story.
ethics-and-emotions:anger	A character is angry — typically as a moral failing or a heated moment.
ethics-and-emotions:awe	Awe (יראה, יראת שמים) — religious awe of God or of a tzaddik.
ethics-and-emotions:charity	Charity (צדקה) — giving alms, providing for the poor.
ethics-and-emotions:fear	A character experiences fear (פחד, חרדה) — typically of God, of a tzaddik, of danger.
ethics-and-emotions:humility	Humility (ענוה) as a depicted/discussed virtue.
ethics-and-emotions:joy	Joy (שמחה) as a depicted state, often religious — joy in serving God, joy on a holiday.
ethics-and-emotions:lust	Lust / desire (תאוה) is at issue.
ethics-and-emotions:lying	Lying / deception by a character.
ethics-and-emotions:pride	Pride / arrogance (גאוה) as a moral failing.
ethics-and-emotions:prohibitions	Religious / moral prohibitions (אסור) are at issue in the story — typically a character is told not to do something, or violates a prohibition.
ethics-and-emotions:punishment	A character is punished for wrongdoing (often by Heaven, sometimes by the tzaddik).
ethics-and-emotions:repentance	Repentance (teshuvah) is depicted — a character turns from sin.
ethics-and-emotions:resisting_temptation	A character resists a temptation (lust, profit, fame).
ethics-and-emotions:sadness	Sadness / melancholy (עצבות, מרה שחורה) — typically as a spiritual problem the story addresses.
ethics-and-emotions:shame	A character is shamed (בושה) — typically as a spiritual or social consequence.
ethics-and-emotions:virtues	A general/unspecified virtue is at issue. Often the story's point is to illustrate one.
experience:devekut	A character experiences devekut — mystical cleaving / communion with God.
experience:dream	A character has a dream that is depicted in the story (and typically matters for the plot — revelation, warning, etc.).
