category,tag,n_stories,n_editions,draft_definition,doubts_or_questions,example_stories,decision,refined_definition
characters-and-roles,characters-and-roles:preacher,13,4,A maggid (preacher) appears as a distinct character — typically a different role than the rebbe.,"DISAMBIGUATION: 'maggid' in Hebrew/Yiddish can mean either (a) an itinerant human preacher, or (b) an angelic maggid revealed to a kabbalist. Does this tag cover only (a)? Should (b) live under `supernatural:angels`?",,,
characters-and-roles,characters-and-roles:magician,5,3,"A character who is a magician / wonder-worker (כושף, מכשף) — typically non-Jewish.","MERGE CANDIDATE with `characters-and-roles:witch` (3 stories) — gender variant of the same role, or genuinely a different cultural type?",,,
characters-and-roles,characters-and-roles:baal_shem,3,3,A baal shem (master of the Name) appears as a character — typically a pre-Hasidic figure or a non-Hasidic kabbalistic healer; NOT the Besht.,"DISAMBIGUATION: 'baal shem' is also the opening of 'Baal Shem Tov'. Currently 3 stories — confirm none of them actually refers to the Besht himself; if they do, definition needs to broaden or those rows are misnamed.",,,
characters-and-roles,characters-and-roles:witch,3,2,A witch / female magician character appears.,See `characters-and-roles:magician` merge note.,,,
characters-and-roles,characters-and-roles:the_family_of_the_tsaddik,78,8,"Members of the tzaddik's immediate family (wife, sons, daughters, parents) appear as characters.",,,,
characters-and-roles,characters-and-roles:tsaddik_wife,33,5,The tzaddik's wife (רבנית) appears as a character with some role.,,,,
characters-and-roles,characters-and-roles:hidden_righteous,32,7,A nistar / hidden righteous person (often a lamed-vavnik) is a character.,,,,
characters-and-roles,characters-and-roles:ritual_slaughterer,17,5,A shochet (ritual slaughterer) appears as a character with some role.,,,,
characters-and-roles,characters-and-roles:elijah_the_prophet,14,5,"Elijah the prophet appears as a character (in disguise, in dream, in revelation).",,,,
characters-and-roles,characters-and-roles:agunah,7,6,An agunah (chained wife — husband missing) appears as a character / her case is the subject.,,,,
characters-and-roles,characters-and-roles:messiah,6,3,"The messiah (משיח) appears in some role, or messianic expectations are central.",,,,
characters-and-roles,characters-and-roles:sabbatai_zevi,4,2,Sabbatai Zevi or Sabbatean themes appear.,,,,
custom,custom:hasidic_custom,22,4,A Hasidic custom (מנהג) as explicitly Hasidic — something done because 'this is what the Hasidim do' or 'this is our custom'.,"DEFINITION TIGHTENING NEEDED: how to apply this without it becoming a catch-all? Should it only apply when the text uses the word מנהג or explicitly frames an act as customary, not when the story merely depicts a Hasid doing a Hasidic thing?",,,
custom,custom:pilgrimage_to_the_graves_of_tsaddikim,10,5,"Visiting/prostrating at the graves of tzaddikim (השתטחות, ציון, אוהל) — pilgrimage as a custom.","MERGE CANDIDATE: there is also `practice:pilgrimage_to_the_graves_of_tsaddikim` with the same name in the practice category. Are these meant to be the same tag accidentally duplicated, or is one the custom and the other the act?",,,
