case_id	story_id	tag	definition	text_excerpt	human_applies (yes/no)	human_notes
ADJ-001	Shivhei-Habesht_0208	kabbalah:kabbalistic_terms_kavvanot	Use of Lurianic kavvanot (כוונות) — mystical intentions assigned to specific words of prayer or ritual actions. The story depicts a character praying/acting WITH explicit kavvanot, or discusses kavvanot as a kabbalistic concept. NOT generic 'good intention' (כוונה טובה) in a non-mystical sense.	"Shivhei-Habesht_0208 תיוגים* שמעתי כשמתה אשתו של הבעש״ט אמרו לו אנשיו וב""ג שישא אשה אחרת והשיבם הבעש""ט בלשון תימה לאשה אני צריך אני הייתי פרוש י""ד שנה במטה וזה הערשלי בני נולד ע״פ הדבור וביום מותו הי׳ בנו מ׳ צבי ישן ואמרו ל הבעש״ט למה אינו מצוה לבנו ואמר מה אעשה שהוא ישן וזה שישן הי׳ מפני שלא האמין שימות אביו ועוררו אותו ואמרו לו אביך אמר שבוודאי ימות היום ובא אל אביו והתחיל לבכות ואמר לו אביו ידעתי שנתתי לך נשמה כי בשעה שנתחברתי עם אשתי זעו כל הרקיעים וכשהייתי רוצה הי' בכחי להביא נשמת אדה״ר בסוד העבור והייתי יודע כל מה שצריכין לידע אבל יש לך נשמה קדושה ואינך צריך לכל זה וביקש ממנו אעפ""כ אמור לי איזה דבר והתחיל לאמר לו אמר איני מבין מה שאתה אומר ואמר תקיף לי עלמא ואיני יכול לדבר עמך ולמד עמו שם א' ואמר תכוון שם זה ותראה אותי ואלמוד עמך אמר לו שמא אשכח את השם הנ' ואמר לו סגולה שיזכור את השם אבל שכחתי מה אמר לו :"		
ADJ-002	Shivhei-Habesht_0065	practice:smoking	Smoking a pipe/tobacco (לולקע, מקטרת, טאבאק).	"Shivhei-Habesht_0065 תיוגים* שמעתי מר׳ יעקב אב""ד דק""ק סמילא ששמע מאביו ר׳ מאיר חריף ז""ל פ""א בא הבעש״ט להרב דק""ק פולנאי ואני מסופק אם היה 64 65 המעשה שבחי הבעש״ט 66 המעשה בק""ק נעמרוב או בק""ק שאריגראד ובא כמה ימים קודם השבת ולא אכל בכל אלה הימים והרב הנ""ל הפציר אותו מאוד לאכול והשיב יפטור הרב אותי מאכיל' כי בכאן יש נצוצים גדולים וקשה לתקנם ויש סכנה בדבר כשאינו מתקן אותם הורגים את האדם ע״כ אני איני אינו רוצה לאכול ובעש""ק בבוקר צוה שיתנו לו לאכול ואכל ואחר הסעודה קרא להרב ז""ל ביחידות ואמר תדע שגילו לי מן השמים שיש בכפרים אשר סביב העיר שני מלמדי' שיש להם חלק בנצוצות אלו שאני צריך לתקנם ועשו מן השמים שנדמה להם שהם חולים כדי שיבואו לעיר ויבואו לרפאות אותם ע״כ עמדו המשרת שלכם בשער העיר ויבא אותם אצליכם ותרחמו עליהם ואל תנהיגו בהם שום כבוד כלל ויבטיח אותם רומע״ל להמליץ בעדם לפני ולרפאות אותם ולדבר על לבם שילכו למקוה כי מחמת שנדמה להם שהם חולים לא ירצו ללכת למקוה ולאמר להם שאני אוהב כשבאת׳ לפני טהורים מן המקו' ולשאול להם כתונות לשבת וקאפטינעס וקפטינעס כי הם עניים ויאכלו בשבת אצל בע״ב ולא אצל רומע""ל וכשיבואו לבהמ""ד אע״פ שאני אעמוד ש״ע לחישו לי באוזן שבאו וכ״ע ואחר אכילה באו לבית הרב ולא נתנו להם אפילו צלוחית של דבש וכן בבוקר ובסעודה שלישית אכלו שם ונתנו להם דבש ואחר הבדלה נתמלא הבעש״ט שמחה ולקח הלולקע והלך לבית קטן שלן שם והרב רצה ג״כ ללכת אחריו ובאו השני מלמדים הנ""ל וביקשו ממנו שיכניסם ל הבעש״ט אמר להם בואו עמי ונכנסו עם הרב אמר הבעש״ט להרב הם אין צריכים לרפואה והכתונות והקאפטינעס והקפטינעס יתנו להם במתנה וילכו לשלום והמלמדים לא ידעו מאומה"		
ADJ-003	Shivhei-Habesht_0001	experience:revelation	A character experiences a revelation (giluy) — direct mystical/supernatural disclosure.	"Shivhei-Habesht_0001 תיוגים הרב מ' אליעזר אביו של הבעש״ט הי' דר במדינת ואלחאיי סמוך לספר. והי׳ הוא ואשתו זקנים פ""א באו שוללים לעיר ושבו אותו בשבי' ואשתו נמלטה אל עיר אחרת ומרוב עניותה נעשית מילדת ומזה הי' פרנסתה והוליכוהו השבאים למדינה רחוקה מקום שאין שם יהודים ומכרו אותו שם וישרת את אדוניו באמונה וישא חן בעיניו ויפקידהו על ביתו ויבקש פני אדוניו שיתן לו רשות לשבות ולנוח ביום שבת ק' ומילא את שאלתו. ויהי כי ארכו לו הימים רצה לברוח להציל את נפשו ונתגלה לו בחלום אל תדחק את השעה. כי עדיין צריך אתה להיות במדינה זו. ויהי היום והנה אדוניו הי' לו איזה עסק וענין עם המשנה ויועץ המלך ויתן את הרב מהור״א במתנה לו. ויפליא אותו ויגדילו בעיניו ומיד כאשר בא להמשנה מצא חן בעיניו, ונתן לו חדר מיוחד שישב שם. ולא היה מוטל עליו שום שירות בעולם כ""א כאשר בא המשנה מהמלך אזי יצא לקראתו בספל מים לרחוץ את רגליו כי כן הוא מנהג השרים הגדולי' ובכל אותו משך הזמן הי' עוסק בתורה ותפלה בחדר מיוחד שלו פ""א הי' להמלך איזה מלחמה גדולה ושלח אחר היועץ שיתייעצו איך שיהי׳ טכסיסי המלחמה המצב והמשחית . ובהיות שהי׳ קשה לעמוד עליו. לא יכלו לעמוד על אמיתות הדבר איך לעשות, ונתמלא המלך קצף וחימה על המשנה. אשר לא יוכל לעמוד בעת צרה, וילך המשנה סר וזעף לביתו. וכשבא לביתו הלך הרב מוהר״א לקראתו בספל מים לרחוץ רגליו כדרכו, ולא קיבל: ושכב על משכבו בפנים זועפים. ויאמר הרב אליו אדוני מדוע פניך זועפים ספר נא לי, ויגער בו המשנה : אבל בהיותו משרת נאמן לאדונו וחפץ בהצדקו השליך נפשו מנגד ובא אליו פעם ושתים . עד שהוכרח המשנה לספר לו כל המאורע, ויאמר לאדונו הלא לאלקים פתרונים כי ה' איש מלחמה, אני אתענה הפסקה, ואשאל מהש""י על רזא דנא כי הוא ג …"		
ADJ-004	Peer-MiKdoshim_0009	characters-and-roles:hidden_righteous	A nistar / hidden righteous person (often a lamed-vavnik) is a character.	"Peer-MiKdoshim_0009 תיוגים ועתה אחרי כתבתי לך שלשים במועצות ודעת להודיעך סיפורים היקרים האלה בעיון שכלי מהני צנתרי דדהבא עמודי דנורא עוד לאלוקי מלין עירין קדישין בדברים נפלאים מאת הצדיק הקדוש גאון ישראל עין יעקב מוה׳ שמשון ווינער בעהמ״ח תוספות חדשים על ששה סדרי משנה אשר הוסיף חכמה על חכמתו ועליו צדקו יחדיו דברי הכתוב יהב חכמה לחכימין ומנדעה ליודעי בינה . גם רוחב לבבו חכמתו וקדושתו תשמע אחי הקורא ותבהל. ולמען ישולבו הדברים אל עיון שכלי נקדים בסיפורי הצדיק הגאון הקדוש הלזה את המאוחר ואחר נשובה נספר יתר משפטיו ונפלאותיו : שאט בנפש למען מגרשה לבז (יחזקאל לו ה ) כאשר הניח ד׳ מסביב וישב על כסא קודש את הגאון הצדיק מוהר״ש וויענער זי״ע בע״מ וויען הבירה מלבד אשר על כל סגנים ומלכים יצא טעמו ונימוקו להיותו יועץ נאמן על כל דבר מלכות אל הקיסר פראנץ הראשון מלך הרחמן. הי' רועה נאמן לעדר יעקב בכבוד קדושתו אסף כל נפש יקר וכל בן חייל להורותם דרך הקודש ולפתחו השכימו כל מבקש תורה דורש חכמות נשגבות וכל הגת הגות לב תבונה כי הוא היא הי' אשכול השלימות ועליו לא הרהיב שום איש ללכת מנגד ומה גם לדבר סרה ח""ו. וכל תהלוכותיו בנוים היו על אדני החסידות גם לו ניתנה הברכה לברך את החוסים בצלו : ופעם אחת בא אליו גביר מעיר הקרובה ל וויען אשר התקרב אליו פעם בפעם. ויבקש את ברכתו ברכת מזל טוב כי התקשר מעדנות את בתו יחידתו היא כל יקרו וכל מעיינו בה ישעו וכל חמדתו. עם עלם נעים כגילה חובק שדי החכמה ושתי התורות אחודות ודבוקות הנה אתו עילוי מאוד נעלם ממקור מחצב קודש. וישאלהו הצדיק הגאון על שמו ויברכהו במז״ט כחק. ולתקופות ימי ההתקשרות. השמיע האזני הצדיק הגאון כי עתותי שמחתו קרבו ויאתיון ולמועד המוגבל הזה עליו שמחה ויוסף לב …"		
ADJ-005	Shivhei-Habesht_0004	times:holidays	The story takes place on a Jewish holiday (Pesach, Sukkot, Yom Kippur, Rosh Hashana, Purim, Chanukah, etc.).	"Shivhei-Habesht_0004 תיוגים* ויהי אחרי כן שכר הרב מהור""ג בשבילו איז' כפר שיתפרנס שם ושם קנה שלימות רב: כי בנה לעצמו בית התבודדות ביער ושם היה מתפלל ו לומד כל הימים לרבות הלילות כל השבוע רק משבת לשבת בא לביתו ושם הי' לו ג״כ בגדי לבן לשבת. והי׳ לו ג״כ בית המרחץ ובית הטבילה . ואשתו היתה עסוקה בפרנסה וה׳ שלח ברכה והצלח' במעשה ידי' והיו מכניסי' אורחים להאכילם ולהשקותם בכבוד גדול. וכשב' איזה אורח אזי היא שולחת אחריו והוא בא ומשמש לפניהם, ו לא ידעו ממנו דבר והנה דרכו הי' כשבא לעיר על ר""ה הי׳ בעיר כל החדש פעם א׳ בחה״מ סוכות ראה הרב מוהר""ג שאינו מניח תפילין ודרכו הי' להתפלל בכותל מזרח דווק' וישאלהו מדוע אינך מניח תפילין היום. והשיב כי ראיתי בספרי טייץ שכל מי שמניח תפילין בחה״מ חייב מיתה ויקצוף הרב מאד על זה. כי הוא מורה ובא מספרי אשכנז. ויוכל להיות 4 מזה שבחי הבעש״ט ד מזה מי יודע מה שיהי'. והלך עמו להרב דקהלה שיאמר לו דברי מוסר כי הי' מוחזק בעיניהם לירא שמים אלא שאין בור ירא חטא. והרב היה איש צדיק גדול מאד ויהי כשבאו לבית הרב נשק ר""ג את המזוזה ו הבעש״ט הניח ידו על המזוזה ולא נשקה. וירגז הרב מהור״ג עליו גם על זה. ו כשנכנסו לבית הרב הסיר הבעש״ט את המסוה וראה הרב אור גדול וקם לפניו. ואז השיב המסוה על פניו וישב הרב וכן עשה כמה פעמים : ונתבהל הרב מאד כי לא ידע מה הוא שנדמה לו לאדם קדוש ופעמי׳ שהוא אדם פחות. וכשהקביל מהור""ג לפניו עבור התפילין והמזוזה. לקח את הבעש״ט בסתר ואמר לו הרב גוזרני עליך שתגלה לי האמת. והוכרח לגלות לו אבל הבעש״ט חזר וגזר עליו שגם הוא לא יגלה מזה כלל ויהי בבואם לחוץ ויאמר הרב אל מהור״ג אני הוכחתי אותו בתוכח' לדעתי לא יעש' דבר חוץ לשיט' כי הו' עושה לפי תומו. וילך הרב וי …"		
ADJ-006	Maase-Zadikim_0006	experience:revelation	A character experiences a revelation (giluy) — direct mystical/supernatural disclosure.	"Maase-Zadikim_0006 תיוגים מהרב הקדוש האלקי מו""ה ברוך מ מעזיביז נכד הבעש״ט ז""ל זי""ע פעם אחת היתה צרה גדולה חולי רע ר""ל על ישראל וילכו אל הרב הקדוש להתפלל אל ד' להסיר מהם את המות הזה ויאמר הרה״ק סעו נא אל כפר הלז אשר קרוב לכאן איזה פרסאות וחפשו נא שם אדם אחד ששמו ושם אביו הוא כך ואל תסורו תסירו ממנו עד כי יאמר השם ב״ה יסיר הצרה מכם. ויסעו האנשים ההם מביתם ויאמרו אל לבם בלי ספק הוא צדיק גדול וקדוש האדם הזה אשר רבינו הקדוש שולח אליו לגזור אומר ויקם לו השם. ויהי כאשר באו אל העיר וישאלו לאנשי העיר איה בית מושב הקדוש אשר שמו הוא כך ושם אביו כך ויענו האנשים בעיר הזאת לא נמצא קדוש אשר שמו כן ויתמהו האנשים מאד כי בטחונם היה ברבם הקדוש כי לא דבר ריק היתה דבריו. וילכו לדרוש אולי נמצא אדם ששמו ושם אביו כך ולא ידעו עד כי אחד אמר מה תחפצו לשכור הזה הוא שוכב עתה על משכבו שכור ולא ידע בין ימינו לשמאלו. וילכו האנשים אל האדם הזה ויבואו אל ביתו וישאלו עליו לאמר כי רבם הקדוש מ מעזביז שלח אליו ותאמר אשתו להם שחוק לכם למה אהיה הלא תראו כי הוא שוכב נרדם בשכרותו ותספר אשתו במר רוחה את כל דרכו כי היה עשיר מופלג בעשירות וכאשר פרש לשכרות נעשה עני. ודרכו כי בעת הרגע שייקץ משינתו יקח משקה יין שרף וישתה עוד הפעם עד כי יפול למשכב משכרותו וכן מנהגו זה הרבה חדשים אם תחפצו לדבר עמו המתינו עד כי יקיץ משינתו ואז ברגע ההיא תוכלו לדבר עמו כי אחר כך תיכף הוא שותה משקה המשכרת אותו ויישן ויתפלאו האנשים מאוד על דבריה. ויחקרו אותה מנהגיו שהי׳ נוהג מכבר ולא מצאו בהם שמץ טוב וקדושה אולם מגודל אמונתם ברבם המתינו שם עד בוש וייקץ השכור הזה וכמעט הקיץ מעשה צדיקים הקיץ מיהר ליקח משקה יין שרף לשתות וימהרו האנשים המשולחים אליו  …"		
ADJ-007	Shivhei-Habesht_0091	supernatural:perception	A character perceives supernaturally — sees things others can't, knows things he couldn't know normally (ruach hakodesh).	"Shivhei-Habesht_0091 תיוגים* שמעתי מהרב דקהלתינו כשרצה ר׳ נחמן לנסוע פ""ש לאה״ק הלך על קבר של הבעש""ט עם ר׳ יוסף מ קאמינקע וכשחזר מב""ע שמח שמחה גדולה ואמר הבעש״ט ציוה לי לנסוע לאה״ק תמה מאוד ר' יוסף ואמר והיכן דיבר עמכם תמה עליו ר׳ נחמן ואמר ולא ראית שדיב' עמי והי׳ עומד אצלי ובנסיעתו שבת אצל הרב המוכיח והייתי ג״כ שם ושמעתי אני הכות' שהיו בין ר' נחמן ובין המוכיח דברים חדודים כי ר׳ נחמן דיבר להמוכיח דברים חדודים ושחק והמוכיח ז""ל הקפיד על ר' נחמן ואמר אין אדם יכול להנצל ממחשבה זרה אפילו אם הוא מתפלל בלא מחשבה זרה סמוך לגמר התפלה נופל לו במחשבה שיגמור תפלתו וזו מחשבה זרה ודקה מאוד ומכל עביר׳ נברא מקטרג אחד ר""ל ומחמת שהיא מחשב' דקה מאוד נתלבש אותה המחשב' בת""ח ומצער אותו וליוו אותו כל אנשי העיר ואני הייתי ג״כ בתוכם וגם הרב והמוכיח ורצה המוכיח לנסוע עד עיר לאדיזין ללוות אותו אך מחמת שהקפיד המוכיח איך הוא הדרך ארץ לעזוב אותו ולא נסע והתפללו מנח' בשד׳ והרב הניח תפילין והתפלל לפני התיבה ור׳ נחמן התפלל בלא ט""ות ולא ראיתי את המוכיח אם התפלל שם וכמדומה לי שהלך לעיר להתפלל ולשנה אחרת מת ר׳ נחמן ז""ל בחודש תמוז והי׳ ב נעמרוב ג״כ בחודש זה ונלווה אליו ר' מענדלי פרעמיסלער וקיבל ממנו ותמה מאוד על חכמת הבעש״ט ושמעתי שמת ר׳ נחמן בשב""ק וישב ר׳ מענדלי אצלו בליל' וקידש על יין ושתה כשיעור וישב בבגדי שבת והלך ר׳ מענדלי 90 91 לאכול שבחי הבעש״ט 92 לאכול סעודת שבת ובעת אכילת הלפת שלח אחריו ומצא אותו גוסס ולמד זוהר בשעת יציאת נשמתו ומת במנחה ויצא למנוחה:"		
ADJ-008	Khal-Hasidim_0050	experience:revelation	A character experiences a revelation (giluy) — direct mystical/supernatural disclosure.	"Khal-Hasidim_0050 תיוגים שמעתי מהרב דקהלתנו מעשה באם של האחים ר׳ יוסף ור׳ יצחק הנ""ל שהיה דירתם בק""ק סאטאנאב ושמה דיא פרומע ריבעלע פ״א נסע הבעש״ט לק""ק הנ""ל וסמוך לעיר ראה אור אחד על אחד מאנשי העיר ועמד במקומו וצפה שאותו אור הוא שורה על אשהאחת וכשבא לעיר ובאו אנשים חשובים להקביל פניו אמר להם הבעש״ט בושו והכלמו והכלמי כי ראיתי אות על אשת אחת ולא על זכר ושאל לאנשי העיר הידוע לכם על איזה אשה יכול להיות שורה האור הזה שראיתי אמרו אליו בוודאי היא האשה הנקראת דיא פרומע ריבלע ובדעתו היה לשלוח אחריה ואמרו האנשים הקריאה לא לצורך שבוודאי היא מעצמה תבא לרומע״ל לבקש ממנו נדבה כי היא עסקנית במצות ולמחר אחר התפילה אמר הבעש״ט אני רואה שהיא הולכת וקבעה בלבה שלא ליקח ממני לא פחות מארבעים זהובים אתם תראו מה שאני אעשה לה ובאת האשה הזו ואמרה אל הבעש״ט יש בכאן כמה עניים חולים ע""כ יתן רומ""על נדבה הגונה ונתן לפניה זעקסער א׳ ולא דיברה מאומה רק שעשתה תנועות כאילו אינה רוצה לקבלה ונתן לפניה עוד זעקסער ולא קיבלה אמר לה מי שמך לגבאי צדקה ולגנוב מקופת צדקה ולא השיבה כלו' ולא הקפידה ע""ז ולא עשו בה הדברים הלז שום רושם מחמת שהיתה מחזקת במידות ענוה ושפלות מאוד ממש כעפר ולא הלכה ממנו עד שהוכרח ליתן לה ארבעים זהובים ולעת ערב באה אליו ואמרה רופא א׳ יש והוא חולה מאוד ע""כ התפללו עליו שיחיה כי מסוכן הוא מאד אמר לה ויהי' נואף אחר חסר בזה העולם אמרה לו מי אומר שכן הוא אמר לאנשים שעמדו שם האמת אני אומר אמרו אמת השיבה ואמרה חדא שלא ראו בבירור ועוד שהוא ע""ה ואינו יודע חומר העון ואלו היה יודע חומר החטא לא היה עובר. ובאמת ש הבעש״ט שמע הקיטרוג אשר עליו למעלה וחזר לפניה הקיטרוג כדי שתמלוץ עליו זכות ונתקבל למעלה המליצה שהמליצה …"		
ADJ-009	Peer-MiKdoshim_0005	social:retrospective_recognition	A character belatedly realizes the truth about another character or situation — e.g. a stranger turning out to be the tzaddik, but also any other retrospective recognition (someone was righteous, someone was a sinner, an event had hidden meaning, etc.).	"Peer-MiKdoshim_0005 תיוגים וכאשר דברנו פה במעשה התרפים מ הגאון פינטו זצוק""ל נספר בזה מעשה נורא מהגאון הקדוש בעל גור ארי' על התורה איך הוציא יקר מזולל טהור מטמא : בימי הגור ארי' בשבתו על מדין ב פראג הבירה היה שם איש אחד נגיד ומעשהו (קמיסיאהנען) ולו בן עילוי אשר הופיע בכל הקרי' לנר ישראל. ועודנו במבחר עלומי שנותיו כבן י""ב שנה והשתדל להיות תלמיד מובהק להגאון הגור ארי' זצ""ל. והי׳ לו כבן והנה בין הסוחרים ממדינות שונות אשר התגוררו בבית הקאמיסינער הנ""ל אבי העילוי הנעלה היו שמה שני גבירים והשפיעו רוב הרווחה אל הקאמיסינער הנ״ל בקנותם סחורות למכביר על ידו והמה השתעשעו עם העלם העילוי כל עת היותם שמה. ופעם בפעם נתנו לו מתנות גדולות למען השיבו אליהם בקירוב דעתו וכל המתנות היו למראה עיני אבי העלם אך לא שת לבבו עליהם למאומה ויהי כאשר היה לבם גם עם הקאמיסינער אבי העלם והרגילו עד מאוד עם העלם בעצמו אמר אחד משני הגבירים הנזכרים אל אבי העלם אם יש את נפשך תן לבך אל התקוה הנעימה והטה אזן קושבת לדברינו ולבבינו ירחש שידוך יקר עבור בנך עם גביר עצום מופלג אשר אין לו אך עלמה אחת יחידה ויפהפי׳ זולתה אין לו בן או בת. ולמי כל הונו ורכושו ולמי כל חמדת סגולת אוצרותיו אם לא לבנך יהיו והנה הוא מעיר פלוני ושמו פב״פ. ואחרי ההצעה הזאת בלכתו אל השוק חקר אבי העלם על שם הגביר אשר הציעו לפניו וכולם פה אחד הגביר הזה מעיר פלוני עפרות זהב לו ואמת הדבר כי יש לו בת יחידה ונפשו ערגה להצליח אותה בגבר מאושר אשר בתורת ד׳ חפצו. ועוד לא שקט רוחו וילך לדרוש עצת ד׳ אל הרב דשם הוא הגאון הקדוש בעל גור ארי' כי מלבד אשר מהנכון היה לשאול את פי קדשו להיותו מארא דאתרא וצדיק העיר הלא כאב את בנו רצה גם הוא את העלם הנבחר הזה אשר יצק מים  …"		
ADJ-010	Khal-Hasidim_0036	ethics-and-emotions:virtues	A general/unspecified virtue is at issue. Often the story's point is to illustrate one.	"Khal-Hasidim_0036 תיוגים הבעש״ט ז""ל קודם פטירתו קרא לכל התלמידים שלו ויצו להם איך יתנהגו וממה יהיה פרנסת כל אחד. ולקצת מהם גילה איך שיתנהג הזמן אתם. והיה אצלו תלמיד א' אשר היה משרתו ג""כ שמו ר׳ יעקב . ויקרא לו הבעש""ט ויאמר לו אתה תיסע לכל המקומות אשר מכירים אותי ותספר מעשיות אשר ראית ממני ומזה יהיה פרנסתך. ויצטער הר""ר יעקב מאוד ויאמר לו מה יהיה התכלית מזה להיות נע ונד ולספר מעשיות. ויאמר לו הבעש""ט אל תדאג כי תתעשר מזה אי""ה. ויהי כאשר נגנז ארון הקודש ועלה לשמים ושבק לנו החיים קיימו תלמידיו כל אשר צוה עליהם והר""ר יעקב הנ""ל נסע לכל המקומות ויספר מעשיות מ הבעש״ט והתפרנס מזה בריוח. ויהי אחר כלות שתי שנים ומחצה מפטירת רבינו הבעש""ט ז""ל. שמע הר""ר יעקב כי באיטליה יש גביר אחד אשר נותן בעד כל מעשה שמספרים לו מ הבעש״ט אדום זהב ונשאר בדעתו של הר""ר יעקב הנ""ל ליסע לשם ויספר לו כל המעשיות שיודע מ הבעש״ט ויעלה לאיזה סך מעות אדומים ואז לא יצטרך להיות נע ונד לכה""פ שנה או יותר. ויקנה לו סוס עם משרתויכון עצמו לדרך כי הדרך רב מאוד. ויתעכב בנסיעתו ערך שבעה חדשים עד בואו לשם. כי התמהמה בכל עיר לקבץ על הוצאות הנסיעה. ובבואו לעיר אשר דר שם הגביר וישאל לאנשי העיר על מהות הגביר ויאמרו לו כי הוא עשיר נפלא מאד והחצר שלו הוא כחצר המלך והוא מתנהג בחסידות יושב ולומד כל היום ועל עסקיו יש נאמנים. והוא לומד ומתפלל כל היום ובשבת בכל הג' סעודות הוא מבקש שיספרו לו מעשיות מ הבעש״ט ואחר השבת הוא נותן אדום א' עבור כל מעשה. וישאל הר""ר יעקב על הגביר מאין מקום מולדתו ואם הוא גר פה מכבר או לא. והשיבו לו כי זה כעשר שנים אשר בא לכאן וקנה פה החצר מאדון העיר אשר הי׳ מניסטער ברומי ונתיישב פה ויבנה בה״כ בחצר שלו ומתפללים שמה אנ …"		
