story_id	tag	prompt_hash	model	applies	confidence	reasoning	ts
Shivhei-Habesht_0034	practice:tvilah	2d1a06da	opus-cli	True	medium	Besht went to the mikveh three times (הלך שלשה פעמים למקוה).	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:tvilah	2d1a06da	opus-cli	True	medium	Parallel: Besht went to the mikveh three times.	2026-05-25T21:01:31Z
Khal-Hasidim_0082	practice:tvilah	2d1a06da	opus-cli	True	medium	Went to the mikveh and wept before Mincha (הלך למקוה ובכה).	2026-05-25T21:01:31Z
Shivhei-Habesht_0097	practice:tvilah	2d1a06da	opus-cli	True	medium	Parallel of Khal-Hasidim_0082; went to mikveh.	2026-05-25T21:01:31Z
Khal-Hasidim_0128	practice:tvilah	2d1a06da	opus-cli	False	medium	Deliberated whether to go to the mikveh and decided NOT to; immersion not performed.	2026-05-25T21:01:31Z
Shivhei-Habesht_0207	practice:tvilah	2d1a06da	opus-cli	False	medium	Parallel; decided not to go to the mikveh.	2026-05-25T21:01:31Z
Khal-Hasidim_0009	practice:tvilah	2d1a06da	opus-cli	True	high	Regularly went to the mikveh before prayer even in winter (קודם התפלה למקוה אפילו בתקופת טבת).	2026-05-25T21:01:31Z
Shivhei-Habesht_0005B	practice:tvilah	2d1a06da	opus-cli	True	high	Parallel; habitual pre-prayer immersion.	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0042	practice:tvilah	2d1a06da	opus-cli	False	high	'בקדושה ובטהרה' = abstract purity, not ritual immersion.	2026-05-25T21:01:31Z
Shivhei-Habesht_0209	practice:tvilah	2d1a06da	opus-cli	True	high	Returned from the immersion house (בא מבית הטבילה).	2026-05-25T21:01:31Z
Khal-Hasidim_0156	practice:tvilah	2d1a06da	opus-cli	False	medium	Immersed in the heavenly Nahar Dinur — mystical, not a mikveh.	2026-05-25T21:01:31Z
Shivhei-Harav_0019	practice:tvilah	2d1a06da	opus-cli	False	high	'מסר נשמתו בטהרה' = died in purity; metaphorical.	2026-05-25T21:01:31Z
Khal-Hasidim_0223	practice:tvilah	2d1a06da	opus-cli	True	high	The rabbi came from the mikveh (הלך מן המקוה).	2026-05-25T21:01:31Z
Khal-Hasidim_0162	practice:tvilah	2d1a06da	opus-cli	True	high	After the rabbi went to the mikveh (הלך הרב למקוה).	2026-05-25T21:01:31Z
Sipurei-Zadikim_0001	practice:tvilah	2d1a06da	opus-cli	True	high	Parallel of Khal-Hasidim_0162; went to mikveh.	2026-05-25T21:01:31Z
Khal-Hasidim_0155	practice:tvilah	2d1a06da	opus-cli	True	high	Returned from the immersion house (מבית הטבילה).	2026-05-25T21:01:31Z
Peer-MiKdoshim_0008	practice:tvilah	2d1a06da	opus-cli	False	high	'תטבילהו' is poetic/figurative, not ritual immersion.	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0019	practice:tvilah	2d1a06da	opus-cli	True	high	People going to and from the immersion house (הולכים לבית הטבילה).	2026-05-25T21:01:31Z
Khal-Hasidim_0202	practice:tvilah	2d1a06da	opus-cli	True	high	Went to the bathhouse and immersed himself before Pesach (למרחץ וטבל א״ע).	2026-05-25T21:01:31Z
Khal-Hasidim_0220	practice:tvilah	2d1a06da	opus-cli	False	high	'מסר נשמתו בטהרה' = died in purity; metaphorical.	2026-05-25T21:01:31Z
Shivhei-Habesht_0048	practice:smoking	0ef010b0	opus-cli	True	high	Refers to the rebbe smoking a pipe (עשן לולקע אחת).	2026-05-25T21:01:31Z
Shivhei-Habesht_0065	practice:smoking	0ef010b0	opus-cli	True	high	Besht took his pipe (לקח הלולקע).	2026-05-25T21:01:31Z
Khal-Hasidim_0055	practice:smoking	0ef010b0	opus-cli	True	high	Parallel; took the pipe.	2026-05-25T21:01:31Z
Shivhei-Habesht_0110	practice:smoking	0ef010b0	opus-cli	True	high	Smoked the pipe and looked out the window (עשן הלולקע).	2026-05-25T21:01:31Z
Shivhei-Habesht_0020	practice:smoking	0ef010b0	opus-cli	False	low	'הריח טאבאק' = took snuff, not smoking — definitional edge case.	2026-05-25T21:01:31Z
Khal-Hasidim_0031	practice:smoking	0ef010b0	opus-cli	False	low	Parallel; snuff, not smoking.	2026-05-25T21:01:31Z
Shivhei-Habesht_0034	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking depicted.	2026-05-25T21:01:31Z
Khal-Hasidim_0139	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0140	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0076	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Shivhei-Habesht_0203	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Shivhei-Habesht_0091	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0014	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0082	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Shivhei-Habesht_0172	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0080	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Shivhei-Habesht_0173A	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0118	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0188	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Shivhei-Habesht_0022	practice:smoking	0ef010b0	opus-cli	False	medium	Embedding-only neighbor; no smoking.	2026-05-25T21:01:31Z
Khal-Hasidim_0143	practice:dance	146e9ec2	opus-cli	False	high	'מחול לך' = forgiven; root מחל, not dance.	2026-05-25T21:01:31Z
Khal-Hasidim_0026	practice:dance	146e9ec2	opus-cli	False	medium	'הרקדה' = barrels shaking from divine trembling, not human dance.	2026-05-25T21:01:31Z
Shivhei-Habesht_0043	practice:dance	146e9ec2	opus-cli	False	high	'מחול לך' = forgiven.	2026-05-25T21:01:31Z
Khal-Hasidim_0193	practice:dance	146e9ec2	opus-cli	False	medium	Lame man stamping feet in distress (רקד ברגליו), not religious dance.	2026-05-25T21:01:31Z
Khal-Hasidim_0206	practice:dance	146e9ec2	opus-cli	False	high	'השטן מרקד' = Satan dances; figurative.	2026-05-25T21:01:31Z
Sipurei-Zadikim_0001	practice:dance	146e9ec2	opus-cli	False	high	'ימחול' = please/forgive, root מחל.	2026-05-25T21:01:31Z
Khal-Hasidim_0120	practice:dance	146e9ec2	opus-cli	False	high	'וימחול על כומרותו' = renounce; root מחל.	2026-05-25T21:01:31Z
Khal-Hasidim_0162	practice:dance	146e9ec2	opus-cli	False	high	'ימחול' = please/forgive.	2026-05-25T21:01:31Z
Khal-Hasidim_0129	practice:dance	146e9ec2	opus-cli	False	high	'תמחול לו' = forgive him.	2026-05-25T21:01:31Z
Khal-Hasidim_0047	practice:dance	146e9ec2	opus-cli	False	high	'שימחול לי' = forgive me.	2026-05-25T21:01:31Z
Shivhei-Habesht_0199	practice:dance	146e9ec2	opus-cli	False	high	'וימחול על כומרותו' = renounce.	2026-05-25T21:01:31Z
Shivhei-Habesht_0057	practice:dance	146e9ec2	opus-cli	False	high	'שימחול לי' = forgive me.	2026-05-25T21:01:31Z
Khal-Kdoshim_0010	practice:dance	146e9ec2	opus-cli	False	high	'למחול לו / ימחול' = forgive.	2026-05-25T21:01:31Z
Shivhei-Habesht_0022	practice:dance	146e9ec2	opus-cli	False	high	'תמחול לו' = forgive him.	2026-05-25T21:01:31Z
Shivhei-Harav_0017	practice:dance	146e9ec2	opus-cli	False	high	'מחולשת כחו' = from his weakness; root חלש.	2026-05-25T21:01:31Z
Khal-Hasidim_0059	practice:dance	146e9ec2	opus-cli	False	high	'וימחול לך' = will forgive you.	2026-05-25T21:01:31Z
Khal-Hasidim_0188	practice:dance	146e9ec2	opus-cli	False	high	'מחולשת כחו' = from weakness; root חלש.	2026-05-25T21:01:31Z
Shivhei-Habesht_0069	practice:dance	146e9ec2	opus-cli	False	high	'וימחול לך' = will forgive you.	2026-05-25T21:01:31Z
Khal-Hasidim_0021	practice:dance	146e9ec2	opus-cli	False	high	'ימחול הרב' = please/forgive.	2026-05-25T21:01:31Z
Peer-MiKdoshim_0013	practice:dance	146e9ec2	opus-cli	False	high	'המות מרקד עלי' = death dances upon me; figurative.	2026-05-25T21:01:31Z
Mifalot-HaZadikim_0009	practice:fasting	7c717ba2	opus-cli	False	high	'צם' matched inside another word; no fast depicted.	2026-05-25T21:01:31Z
