story_id	tag	source	source_story	opus_confidence	opus_reasoning
Adat-Zadikim_0013	characters-and-roles:angels	propagated	Khal-Hasidim_0253	high	Elijah the Prophet appears as a study companion and explicitly speaks/delivers a message, which is a substantial depiction of an angelic/heavenly figure.
Adat-Zadikim_0023	characters-and-roles:angels	direct	Adat-Zadikim_0023	high	Elijah the Prophet appears and speaks, and the story explicitly discusses to whom angels/Elijah reveal themselves — Elijah functions as the heavenly messenger figure central to the tale.
Khal-Hasidim_0174	characters-and-roles:angels	propagated	Adat-Zadikim_0023	high	Elijah the Prophet appears and speaks, and the story explicitly discusses to whom angels/Elijah reveal themselves — Elijah functions as the heavenly messenger figure central to the tale.
Khal-Hasidim_0193	characters-and-roles:angels	propagated	Adat-Zadikim_0023	high	Elijah the Prophet appears and speaks, and the story explicitly discusses to whom angels/Elijah reveal themselves — Elijah functions as the heavenly messenger figure central to the tale.
Khal-Hasidim_0202	characters-and-roles:angels	direct	Khal-Hasidim_0202	high	The story explicitly describes a heavenly court (פמליא של מעלה) deliberating over the conflicting oaths, which involves angelic beings of the divine court.
Khal-Hasidim_0242	characters-and-roles:angels	propagated	Khal-Hasidim_0253	high	Elijah the Prophet appears as a study companion and explicitly speaks/delivers a message, which is a substantial depiction of an angelic/heavenly figure.
Khal-Hasidim_0253	characters-and-roles:angels	direct	Khal-Hasidim_0253	high	Elijah the Prophet appears as a study companion and explicitly speaks/delivers a message, which is a substantial depiction of an angelic/heavenly figure.
Maase-Zadikim_0016	characters-and-roles:angels	propagated	Khal-Hasidim_0202	high	The story explicitly describes a heavenly court (פמליא של מעלה) deliberating over the conflicting oaths, which involves angelic beings of the divine court.
Mifalot-HaZadikim_0006	characters-and-roles:angels	propagated	Adat-Zadikim_0023	high	Elijah the Prophet appears and speaks, and the story explicitly discusses to whom angels/Elijah reveal themselves — Elijah functions as the heavenly messenger figure central to the tale.
Shivhei-Harav_0019	characters-and-roles:angels	propagated	Adat-Zadikim_0023	high	Elijah the Prophet appears and speaks, and the story explicitly discusses to whom angels/Elijah reveal themselves — Elijah functions as the heavenly messenger figure central to the tale.
Khal-Hasidim_0017	characters-and-roles:baal_shem	propagated	Maase-Zadikim_0001	high	The Baal Shem Tov is a central character who diagnoses the protagonist's gilgul and prescribes his tikkun.
Maase-Zadikim_0001	characters-and-roles:baal_shem	direct	Maase-Zadikim_0001	high	The Baal Shem Tov is a central character who diagnoses the protagonist's gilgul and prescribes his tikkun.
Khal-Hasidim_0026	characters-and-roles:demons	propagated	Shivhei-Habesht_0015	high	The story explicitly describes the Baal Shem Tov seeing the Samael (Satan/demon) on the path where prayers ascend, and maneuvering prayers to avoid him.
Shivhei-Habesht_0015	characters-and-roles:demons	direct	Shivhei-Habesht_0015	high	The story explicitly describes the Baal Shem Tov seeing the Samael (Satan/demon) on the path where prayers ascend, and maneuvering prayers to avoid him.
Shivhei-Habesht_0096A	characters-and-roles:demons	direct	Shivhei-Habesht_0096A	high	The Samael (Sammael, ס״מ) demon attempts to snatch the preacher, and the Besht rebukes him and prays against him.
Adat-Zadikim_0003	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0012	high	The narrator explicitly identifies the captain who rescued the Besht as Elijah the Prophet.
Adat-Zadikim_0004	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Adat-Zadikim_0008	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Khal-Hasidim_0001	characters-and-roles:elijah_the_prophet	direct	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Khal-Hasidim_0002	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Khal-Hasidim_0012	characters-and-roles:elijah_the_prophet	direct	Khal-Hasidim_0012	high	The narrator explicitly identifies the captain who rescued the Besht as Elijah the Prophet.
Khal-Hasidim_0036	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Maase-Zadikim_0008	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Shivhei-Habesht_0001	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Shivhei-Habesht_0002	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Shivhei-Habesht_0184	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet appears to Eliezer (the Besht's father) on the road and prophesies the birth of his son.
Adat-Zadikim_0004	characters-and-roles:hidden_righteous	propagated	Khal-Hasidim_0001	high	The Baal Shem Tov's father Rabbi Eliezer is depicted as a hidden righteous man — concealing his Jewish identity while serving as a royal advisor, secretly engaged in Torah and prayer, and the young Besht himself hides his spiritual practice by pretending to sleep.
Adat-Zadikim_0007	characters-and-roles:hidden_righteous	propagated	Khal-Hasidim_0243	high	The story explicitly investigates whether the innkeeper is one of the 'צדיקים נסתרים' (hidden righteous), and reveals him to be a hidden tzaddik whose power comes from his bitachon.
Adat-Zadikim_0008	characters-and-roles:hidden_righteous	propagated	Khal-Hasidim_0001	high	The Baal Shem Tov's father Rabbi Eliezer is depicted as a hidden righteous man — concealing his Jewish identity while serving as a royal advisor, secretly engaged in Torah and prayer, and the young Besht himself hides his spiritual practice by pretending to sleep.
Adat-Zadikim_0015	characters-and-roles:hidden_righteous	propagated	Mifalot-HaZadikim_0006	medium	The mysterious old innkeeper who joyfully serves all wayfarers, lives ascetically on bread and water, and whose blessing-fulfilled son the narrator encounters reads as a hidden righteous figure (tzaddik nistar) embodying hachnasat orchim.
Adat-Zadikim_0023	characters-and-roles:hidden_righteous	direct	Adat-Zadikim_0023	high	R. Chaim deliberately hides his identity as a great scholar by living disguised as the baker's son-in-law, embodying the hidden-righteous archetype to whom Elijah reveals himself.
Khal-Hasidim_0001	characters-and-roles:hidden_righteous	direct	Khal-Hasidim_0001	high	The Baal Shem Tov's father Rabbi Eliezer is depicted as a hidden righteous man — concealing his Jewish identity while serving as a royal advisor, secretly engaged in Torah and prayer, and the young Besht himself hides his spiritual practice by pretending to sleep.
Khal-Hasidim_0009	characters-and-roles:hidden_righteous	direct	Khal-Hasidim_0009	high	The story explicitly depicts the Baal Shem Tov's period as a hidden righteous one, regarded as ignorant by his brother-in-law while secretly engaged in solitary devotion until his revelation at age 36.
Khal-Hasidim_0036	characters-and-roles:hidden_righteous	propagated	Khal-Hasidim_0001	high	The Baal Shem Tov's father Rabbi Eliezer is depicted as a hidden righteous man — concealing his Jewish identity while serving as a royal advisor, secretly engaged in Torah and prayer, and the young Besht himself hides his spiritual practice by pretending to sleep.
Khal-Hasidim_0102	characters-and-roles:hidden_righteous	direct	Khal-Hasidim_0102	high	The mysterious forest host 'Yonah' who buys the merchandise is revealed by the Besht to be the prophet Jonah ben Amittai living as a hidden tzaddik.
