story_id	tag	sonnet_confidence	sonnet_reasoning
Mifalot-HaZadikim_0027	folkloristics:story_type_advent	medium	The narrative is structurally organized around an arrival event — the Besht and disciples, lost in the forest, arrive at the mysterious hidden tzaddik's dwelling — making advent the pivotal plot mechanism, though without access to the project's precise definition of 'story_type_advent' some uncertainty remains.
Khal-Hasidim_0120	knowledge:esoteric	high	The story turns entirely on esoteric knowledge: the Besht perceives a heavenly accusation (קטרוג) blocking the prayers from ascending, understands its kabbalistic cause (the priest's lifelong ritual purity), and senses the precise moment it is resolved — all inaccessible to ordinary cognition.
Khal-Hasidim_0001	social:relations_with_non_jews	high	The story centrally depicts Rabbi Eliezer (the Besht's father) living for years among non-Jews as a slave and later a royal advisor, serving a non-Jewish master and a king, receiving a non-Jewish woman as a wife, and being bound by laws forbidding Jewish residence in that land — relations with non-Jews are the dominant narrative frame.
Khal-Hasidim_0111	ethics-and-emotions:virtues	medium	The story depicts genuine virtuous acts — the man's remorse, tearful confession, and willing acceptance of a penitential regimen — even though the dominant narrative arc concerns sin (striking one's father) and the fatal consequences of abandoning teshuvah.
Peer-MiKdoshim_0006	ethics-and-emotions:sadness	high	The story explicitly depicts R' David Pirkus's deep sadness and anguish ('התעצב מאוד אל לבו', 'גונח ודואג נוהם ושואג') as he despairs over his inability to provide for his daughter's wedding, a sustained emotional low point central to the narrative.
Sipurei-Zadikim_0011	ethics-and-emotions:fear	high	The story explicitly depicts the townspeople being seized with alarm and fright (ויחרדו את כל החרדה הזאת, ונתבהלו מאוד) when Rabbi Isser arrives unexpectedly on foot at the inn, making fear a concrete, named emotional event in the narrative.
Shivhei-Habesht_0172	social:disobedience	high	The wife Tovele explicitly disobeys her husband's attempt to stop her from going to the Besht at night — 'והבעל מנע אותה מלילך אבל היא לא השגיחה עליו והלכה' — a direct, plot-central act of disobedience against spousal authority.
Adat-Zadikim_0023	social:marital_relationship	high	The story centrally depicts Rabbi Chaim secretly arranging and entering a marriage (shidduch, wedding, and subsequent conjugal life), and his wife's role as a supportive spouse is explicitly mentioned.
Khal-Hasidim_0082	times:holidays	medium	Shabbat is central and narratively significant throughout the story — the Besht receives the tragic news on Erev Shabbat, goes to the mikveh, prays Mincha, recites Kabbalat Shabbat and Maariv with bitter weeping, and makes Kiddush in tears — though confidence is medium because 'holidays' may be intended to cover Yom Tov festivals rather than the weekly Shabbat.
Shivhei-Habesht_0020	experience:enthusiasm	medium	The Besht's prolonged, trembling, physically expressive prayer ('עומד ורועד ועשית כתנועותיך') is a recognizable depiction of enthusiastic/ecstatic worship, though the story's primary focus is on his mystical elevation of souls rather than enthusiasm as a standalone theme.
Khal-Hasidim_0146	social:relations_with_the_authorities	medium	The townspeople actively petition the King of Prussia's ministers for royal permission to bring his personal physician to the sick man — a substantive, plot-driving interaction with secular authorities — though it is secondary to the story's central themes of miraculous healing and spiritual transformation.
Khal-Hasidim_0111	folkloristics:story_type_prognostication	high	The Besht explicitly warns the man that if he deviates from the prescribed repentance regimen he will not live out the year — a central prognostication that is then fulfilled when the man abandons repentance and indeed dies before the year ends.
Khal-Hasidim_0167	supernatural:perception	high	The Rebbe (R' Leibs Sarahs) supernaturally perceives the destined match and visits the woman in waking apparitions (morning and evening) and dreams to reveal it, while the woman's deceased parents also appear in a dream to confirm his identity — all central to the plot, not incidental.
Khal-Hasidim_0009	social:relations_with_non_hasidim	medium	R' Gershon of Kitov's dismissal of the Besht as an am ha'aretz and his attempt to persuade his sister to divorce him is a significant and recurring plot element depicting social tension between the nascent Besht and the non-Hasidic Jewish establishment, making this more than incidental.
Shivhei-Habesht_0096A	social:relations_with_non_hasidim	high	The story centers on a Hasidic preacher (identified as a disciple of the Besht) visiting the Hamburg Jewish community, whose rabbi and parnas are clearly non-Hasidic, and depicts sustained interaction — negotiating permission to preach, being hosted for three weeks, and the rabbi's curiosity about and receptiveness to the Besht's teachings.
Khal-Hasidim_0170	social:marriage	high	A marriage proposal by a noblewoman's widow is the central narrative pivot — she offers the merchant wealth, status, and herself as a wife, he accepts and preparations begin, and his flight from this marriage (to avoid sin with a non-Jewish woman) is the very act of virtue that earns him his heavenly decree-power.
Khal-Hasidim_0239	ethics-and-emotions:fear	high	Fear is explicitly depicted: the nagid declares 'לבבי יהגה אימה' (my heart trembles with dread) fearing he will be deceived, the Hasid tells the nagid 'אל תבעתני' (do not frighten me), and the Hasid himself approaches the rebbe with 'חרדת שמחה' (trembling awe), making fear/dread a substantive emotional thread throughout the story.
