story_a	edition_a	url_a	story_b	edition_b	url_b	sim	opening_a	opening_b
Adat-Zadikim_0008	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0008	Khal-Hasidim_0036	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0036	0.9991	"Adat-Zadikim_8 תיוגים הבעש״ט ז""ל קודם פטירתו קרא לכל התלמידים שלהם ויצוה להם איך יתנהגו וממה יהי' פרנסת כל אחד. ולקצת מהם גילה איך שיתנהג הזמן אתם. והי' אצלו תלמיד אחד אשר היה משרתו ג״כ שמו ר׳ יעקב. ו"	"Khal-Hasidim_0036 תיוגים הבעש״ט ז""ל קודם פטירתו קרא לכל התלמידים שלו ויצו להם איך יתנהגו וממה יהיה פרנסת כל אחד. ולקצת מהם גילה איך שיתנהג הזמן אתם. והיה אצלו תלמיד א' אשר היה משרתו ג""כ שמו ר׳ יעקב. ו"
Adat-Zadikim_0009	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0009	Khal-Hasidim_0045	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0045	0.9988	"Adat-Zadikim_9 תיוגים מעשה שנסע הרב הקדוש ר׳ דוד ממיקלייעב להבעש״ט על יוה״כ והיה דרכו בקודש תמיד להיות אצל הבעש״ט כל ימים הנוראים היינו מקודם ר""ה עד אחר יוה״כ ובעת ההיא אירע לו איזה מניעה והיה מצטער מ"	"Khal-Hasidim_0045 תיוגים מעשה שנסע הרב הקדוש ר' דוד ממיקליעב להבעש״ט על יוה""כ והי' דרכו בקודש תמיד להיות אצל הבעש״ט כל ימים הנוראים היינו מקודם ר""ה עד אחר יוה""כ ובעת ההיא אירע לו איזה מניעה והיה מצטער"
Khal-Hasidim_0217	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0217	Peer-MiKdoshim_0015	PeerMikdoshim	https://www.hasidic-stories.org/Story/PeerMikdoshim/Peer-MiKdoshim_0015	0.9988	"Khal-Hasidim_0217 תיוגים מעשה נפלאה הנודעת בפי כל החסידים יראי ד׳ וחושבי שמו והיא מהצדיק יסוד עולם הגאון הקדוש אספקלריא המאירה עמוד התשובה אשר כל ימי חייו השיב רבים מעון מרן אלימלך זיע""א בעמ""ח ספר נוע"	Peer-MiKdoshim_0015תיוגיםובעוד טרם נצא משער הבטחון וחיזוק אמונת הצדיקים אציג׳ לפניך מעשה נפלאה הנודעת בפי כל החסידים יראי ד׳ וחושבי שמו והיה מהצדיק יסוד עולם הגאון הקדוש אספקלריא מאירה עמודעמיד התשובה
Khal-Hasidim_0179	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0179	Shivhei-Harav_0013	Shivhei-Harav	https://www.hasidic-stories.org/Story/Shivhei-Harav/Shivhei-Harav_0013	0.9984	Khal-Hasidim_0179 תיוגים אחרי כן שם הרב פעמיו למעזריטש ושם היה צנוע מאוד במעשיו ולא היה ניכר בפניו שום הכירות כי הוא בר אוריין והיה שוקד על לימודו בחכמת האלקית יום ולילה גם סיים שם הלכה פסוקה על כל הד	Shivhei-Harav_0013 תיוגים ב אחרי כן שם הרב פעמיו למעזריטש ושם היה צנוע מאוד במעשיו ולא היה ניכר בפניו שום הכירות כי הוא בר אוריין והיה שוקד על לימודו בחכמת האלקית יום ולילה גם סיים שם הלכה פסוקה על כל
Khal-Hasidim_0002	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0002	Shivhei-Habesht_0002	Shivhei-Habesht	https://www.hasidic-stories.org/Story/Shivhei-Habesht/Shivhei-Habesht_0002	0.9982	"Khal-Hasidim_0002 תיוגים שמעתי מהרב הק' ר׳ שמשון הרב דק""ק ראשקוב בן הרב הק׳ דק""ק פולנאי מעשה שהיה איש א׳ ונקרא שמו ר׳ אדם וממנו באו הכתבים להבעש״ט כי בא פ״א למערה אחת ומצא שם כתבים שהם רזים וסתרין דאו"	"Shivhei-Habesht_0002 תיוגים* (שמעתי מהרב ר׳ שמשון הרב דק""ק ראשקוב בן הרב דק""ק פולנאי מעשה שהיה איש אחד ונקר' שמו ר' אדם וממנו באו הכתבים להבעש״ט כי בא פ""א למערה אחת ומצא שם כתבים שהם רזין וסתרין דאורי"
Adat-Zadikim_0013	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0013	Khal-Hasidim_0242	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0242	0.9981	"Adat-Zadikim_13 תיוגים מעשה מהרב הקדוש האלקי רשכב""ה ר׳ אברהם יהושוע העשיל מאפטא ז""ל בעת שבתו על כסא הרבנות ביאסע : הרב הנ""ל אחרי אשר עזב את הרבנות מקאלביש נתקבל לאב""ד במדינת וואלחיי בק""ק יאסי הבירה וה"	"Khal-Hasidim_0242 תיוגים מעשה מהרב הקדוש האלקי רשכב""ה ר׳ אברהם יהושע העשיל מאפטא ז״ל בעת שבתו על כסא הרבנות ביאסי : הרב הנ""ל אחרי אשר עזב את הרבנות מקאלבסאוו נתקבל לאב""ד במדינת וואלחיי בק""ק יאסי הבירה"
Adat-Zadikim_0006	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0006	Khal-Hasidim_0154	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0154	0.9979	"Adat-Zadikim_6 תיוגים ומעשה כזו היתה ג״כ בדור שלפנינו אצל הצדיק הגדול ר' מיכל מזלאטשוב אשר הוכיח איש א׳ עבור מדת הבטחון והאיש הנ""ל התנצל לפניו כי הוא בוטח בד׳ ית""ש ואמר לו הרב הנ""ל אם תרצה ללמוד מדת ה"	"Khal-Hasidim_0154 תיוגים מעשה שהיה בימי הרב הקדוש האלקי ר׳ יחיאל מיכלמזלאטשוב אשר הוכיח איש אחד עבור מדת מדה הבטחון והאיש הנ""ל התנצל לפניו כי הוא בוטח בד' ית""ש ואמר לו הרב הנ""ל אם תרצה ללמוד מדת הבטחו"
Khal-Hasidim_0165	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0165	Sipurei-Zadikim_0002	Sipurei-Zadikim	https://www.hasidic-stories.org/Story/Sipurei-Zadikim/Sipurei-Zadikim_0002	0.9979	"Khal-Hasidim_0165 תיוגים פעם אחת נסע רבי ליב עם הר""ר עזריאל הנ""ל לווילנא. ובבואם סמוך לווילנא שלשה ויערסטין רוסעש היה שם בית גדול שינק. והיה שייך להארענדר מהעיר כי בווילנא היה הי""ש ביוקר וחוץ לעיר היה"	"Sipurei-Zadikim_0002תיוגים פעם אחת נסע הר״ר ליב עם הר״ר עזריאל הנ""ל לווילנא: ובבואם סמוך לווילנא שלשה וויערסטין רוסעש היה שם בית גדול שיינק היה שייך להארענדר מהעיר כי בווילנא היה הי״ש ביוקר וחוץ לעיר "
Adat-Zadikim_0015	Adat-Zadikim	https://www.hasidic-stories.org/Story/Adat-Zadikim/Adat-Zadikim_0015	Khal-Hasidim_0237	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0237	0.9978	"Adat-Zadikim_15 תיוגים מעשה נוראה שקרה בימי הצדיקים הקדושים ה""ה הרב המגיד מקאזעניץ והרב הקדוש ר׳ יעקב יצחק מלובלין ז""ל זי""ע : מעשה שהי' איש אחד ממקורביו של המגיד מקאזעניץ והי' חסיד גדול ומופלג בתורה. "	"Khal-Hasidim_0237 תיוגים מעשה נוראה בימי הצדיקים הקדושים ה""ה הרב המגיד הקדוש מקאזניץ והרב הקדוש ר׳ יעקב יצחק הלוי מלובלין ז""ל זי""ע : מעשה שהיה איש אחד ממקורביו של המגיד מקאזניץ והיה חסיד גדול ומופלג ב"
Khal-Hasidim_0184	Khal-Hasidim	https://www.hasidic-stories.org/Story/Khal-Hasidim/Khal-Hasidim_0184	Shivhei-Harav_0015	Shivhei-Harav	https://www.hasidic-stories.org/Story/Shivhei-Harav/Shivhei-Harav_0015	0.9977	"Khal-Hasidim_0184 תיוגים פעם אחת בא ר' סנדר מתלמידי הגאון מווילנא על אסיפה למאהליב דרוסי' וישלח לצוות להרב שישלח גם הוא אחד מאנשים כי כמה פעמים הרעיש ר' סענדר הנ""ל האסיפות ובוויכוחים נגד הרב (ואף כי ה"	"Shivhei-Harav_0015 תיוגים פעם אחת בא ר' סענדר מתלמידי הגאון מווילנא על אסיפת למאהליב דרוסיא וישלח לצוות להרב שישלח גם הוא אחד מאנשים כי כמה פעמים הרעיש ר' סענדר הנ""ל באסיפות ובויכוחים נגד הרב ( ואף יא"
