story_id	tag	source	source_story	opus_confidence	opus_reasoning
Adat-Zadikim_0006	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	No maggid/preacher character appears; the story features a tzaddik (R. Michel of Zlotchov), a wealthy man, and a soldier.
Khal-Hasidim_0126	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	No maggid/preacher character appears; the story features a rebbe (Besht), his disciple, and a merchant.
Khal-Hasidim_0154	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	No maggid/preacher character appears; the story features a rebbe and a wealthy man.
Khal-Hasidim_0167	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	No maggid/preacher character appears; the story features a rebbe (R' Leib Sarah's) and a matchmaker.
Peer-MiKdoshim_0006	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	No maggid/preacher character appears; the story features the Besht, his disciple R. David Pirkus, and a merchant.
Peer-MiKdoshim_0015	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	Story features a tzaddik (R. Elimelech), not a maggid/preacher character.
Sipurei-Zadikim_0004	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	Story features a rebbe/tzaddik (R. Leib Sarah's) and a young man, no maggid/preacher character.
Sipurei-Zadikim_0010	characters-and-roles:preacher	propagated	Khal-Hasidim_0237	high	No maggid/preacher character appears; the story features a tzaddik (Sava of Spola), a woman, and her husband.
Maase-Zadikim_0034	characters-and-roles:tavern_keeper	propagated	Khal-Hasidim_0248	high	The 'בעל אכסניא' here is a host/lodging-keeper but the story centers on him as a hasid seeking advice; not depicted in a tavern-keeping role meaningfully, though innkeeper sense is plausible.
Peer-MiKdoshim_0006	characters-and-roles:tavern_keeper	propagated	Peer-MiKdoshim_0014	high	No tavern-keeper or innkeeper appears; characters are a tzaddik, merchants, and a wealthy patron.
Khal-Hasidim_0017	characters-and-roles:the_family_of_the_tsaddik	propagated	Maase-Zadikim_0001	high	The tzaddik (Baal Shem Tov) appears, but his own family members do not; the wife and children mentioned belong to the poor scholar, not the tzaddik.
Khal-Hasidim_0173	ethics-and-emotions:adultery	propagated	Adat-Zadikim_0016	high	Adultery is raised as a suspicion (kohen's wife possibly raped) but the story confirms no sexual contact occurred; it is not a substantive theme.
Peer-MiKdoshim_0014	ethics-and-emotions:anger	propagated	Khal-Hasidim_0217	high	No character is depicted as angry; the story centers on a tzaddik's blessing, confession, and miraculous rescue.
