story_id	tag	category	sonnet_confidence	sonnet_reasoning	opus_applies	opus_confidence	opus_reasoning	verdict
Adat-Zadikim_0001	folkloristics:story_type_advent	folkloristics	high	The story culminates in the Baal Shem Tov's prophecy announcing the miraculous birth of a holy child (the future Maggid of Kozienice) to elderly, childless parents — a textbook advent/birth-legend story type.	False	high	Story is about the birth of the Maggid of Kozhnitz via Besht's blessing to R. Shabtai, not a neutral character's first discovery/finding of a tzaddik.	DISAGREE
Adat-Zadikim_0001	social:marriage	social	high	Marriage is directly and substantially depicted: the couple's marital bond, their agreement not to accept charity, their shared Sabbath joy including dancing together, and their childlessness/longing for a son are all central to the story's plot.	False	high	Story centers on Shabbat observance, the Baal Shem Tov's laughter, and the miraculous birth of the Maggid of Kozhnitz; marriage itself is not depicted or discussed.	DISAGREE
Adat-Zadikim_0003	social:poverty	social	high	The story explicitly depicts the Baal Shem Tov in dire poverty on Passover eve — lacking even a piece of matzah or a cup of wine — until a wealthy guest providentially arrives and supplies everything.	False	medium	The Besht briefly lacks matzah/wine in Constantinople, but this is a momentary travel hardship resolved immediately; the story does not depict or substantially discuss poverty.	DISAGREE
Adat-Zadikim_0003	supernatural:pregnancy	supernatural	high	The Besht swears to a naturally barren couple (both husband and wife described as עקר/עקרה) that the wife will bear a son, explicitly requiring divine alteration of the natural order (לשנות סדרי הטבע) — a supernatural pregnancy miracle is central to the story.	True	high	The Baal Shem Tov swears to a childless couple that the wife will bear a son, and heaven alters nature (both were barren by nature) to fulfill the tzaddik's oath.	AGREE
Adat-Zadikim_0004	characters-and-roles:demons	characters-and-roles	medium	The story features a dead woman's vengeful spirit that attacks the living bride (a dybbuk-like demonic antagonist), and a sorcerer who conjures and sends supernatural creatures (fire-breathing pigs, serpents, wild beasts) against the Besht — entities functioning as demonic characters, even though the word שדים is not used explicitly.	False	medium	The story features sorcerers, a vengeful ghost/dead wife's soul, and conjured beasts, but no actual demons (shedim/mazikin) are depicted.	DISAGREE
Adat-Zadikim_0004	ethics-and-emotions:fear	ethics-and-emotions	high	Fear is explicitly and repeatedly depicted: the innkeeper 'feared greatly' (ירא מאוד) that his fifth infant would die at midnight as the previous four had, his heart 'feared and widened' (פחד ורחב) at the Besht's promise, he later left the nobleman 'crestfallen, fearing greatly' (בפחי נפש, ירא מאוד) for the Besht's safety, and the sorcerer himself ultimately confesses fear of death at the Besht's hands.	True	high	The story explicitly depicts fear: the innkeeper fears his child will die ('פחד מאוד'), 'אל תפחד' is spoken, 'ולב בעל הברית פחד', and the innkeeper fears the sorcerer-lord.	AGREE
Adat-Zadikim_0004	folkloristics:story_type_protection	folkloristics	high	Protection is a central and recurrent theme throughout the story: the Besht protects the bride from a vengeful spirit, shields the newborn infant from a sorcerer's midnight attacks using a ritual trap, and defends his disciples within magical circles during a direct confrontation with the sorcerer — all episodes structurally organized around the Besht's protective power.	True	high	The Besht protects a bride from a vengeful dead spirit, saves a baby from a demonic killer, and shields his disciples from a sorcerer's attacks — protection from danger is the central narrative.	AGREE
Adat-Zadikim_0004	social:relations_with_non_jews	social	high	The second half of the story centers on a direct, substantive confrontation between the Besht and a non-Jewish nobleman/sorcerer (האדון), including dialogue, a magical contest in a field, and the Besht blinding him — making relations with a non-Jew a core narrative element, not incidental.	True	high	The story features substantial interaction with a non-Jewish nobleman (the poritz) who is a sorcerer, culminating in a magical contest between the Baal Shem Tov and the gentile lord.	AGREE
Adat-Zadikim_0005	social:poverty	social	medium	The story centrally depicts the innkeeper having literally no money to pay his rent/tax obligation (explicitly states 'אין לי אפי׳ פ״א' — not a single penny), with the threat of being taken captive along with his household, making financial destitution a core narrative element rather than incidental background.	False	high	The story is about trust in God and a tax payment due, not about poverty; the innkeeper is a respected merchant who simply lacks cash at that moment.	DISAGREE
Adat-Zadikim_0007	social:poverty	social	high	Poverty is central to the plot: the tavern-keeper loses all his money, cannot buy stock, his family goes hungry for days, and his wife pressures him to find a partner — the crisis of destitution directly motivates the story's spiritual turning point.	True	medium	The story depicts the innkeeper's period of destitution—losing all his money, his family starving with nothing to eat, and his wife's desperate pressure—as a central plot element before his turn to trust in God.	AGREE
Adat-Zadikim_0008	ethics-and-emotions:fear	ethics-and-emotions	high	Fear is explicitly and dramatically depicted multiple times: the old woman cries out in terror that they will all be taken to slaughter, the people in the house are described as trembling with no spirit left in them (ויחרדו כולם ולא נותרה בם נשמה), and the townspeople are paralyzed with dread when the Besht sends Yaakov out to call the Bishop during the dangerous Christian holiday.	True	high	The story explicitly depicts fear: the old woman cries in terror, household members 'tremble' (ויחרדו), and Yaakov is told 'אל תפחד' — fear of the Christian mob's violence is central.	AGREE
Adat-Zadikim_0008	experience:visions	experience	high	The bishop explicitly recounts that the Besht appeared to him in dreams repeatedly (בחלום יום יום) urging him to repent — a dream-vision experience that is central to the story's resolution.	False	high	The story involves the Besht's spiritual mission and a baal teshuvah narrative, but no character experiences a waking supernatural vision; the Besht communicates with the bishop via dreams, not visions.	DISAGREE
