story_id	tag	source	source_story	opus_confidence	opus_reasoning
Adat-Zadikim_0013	characters-and-roles:angels	propagated	Khal-Hasidim_0253	high	No angels appear; the supernatural element is a dead man's voice/spirit, not a malakh.
Khal-Hasidim_0174	characters-and-roles:angels	propagated	Adat-Zadikim_0023	high	The story mentions 'הדומה למלאך' (compared to an angel) as metaphor for the rebbe, but no angels actually appear.
Khal-Hasidim_0193	characters-and-roles:angels	propagated	Adat-Zadikim_0023	medium	The story features demonic/harmful spirits (מחבלים, חיצונים) and dream-figures, not angels (מלאכים).
Khal-Hasidim_0202	characters-and-roles:angels	direct	Khal-Hasidim_0202	high	The story mentions a heavenly court (פמליא של מעלה) but no actual angels appear.
Khal-Hasidim_0242	characters-and-roles:angels	propagated	Khal-Hasidim_0253	high	No angels appear; the supernatural element is a dead man's spirit, not an angel.
Maase-Zadikim_0016	characters-and-roles:angels	propagated	Khal-Hasidim_0202	high	No angels appear; the story mentions heavenly court (pamalia shel ma'ala) but not מלאכים specifically.
Mifalot-HaZadikim_0006	characters-and-roles:angels	propagated	Adat-Zadikim_0023	high	Elijah the prophet is mentioned as revealing himself to the brother, but no angels (מלאכים) appear in the story.
Shivhei-Harav_0019	characters-and-roles:angels	propagated	Adat-Zadikim_0023	medium	Story features demonic/klipot tormentors and a tzaddik's rescue, but no explicit angels (מלאכים) appear.
Khal-Hasidim_0017	characters-and-roles:baal_shem	propagated	Maase-Zadikim_0001	high	The baal shem figure here is the Besht himself, who is excluded from this tag.
Maase-Zadikim_0001	characters-and-roles:baal_shem	direct	Maase-Zadikim_0001	high	The story features the Baal Shem Tov (Besht), not a pre-Hasidic baal shem; the tag explicitly excludes the Besht.
Khal-Hasidim_0026	characters-and-roles:demons	propagated	Shivhei-Habesht_0015	high	The story describes Baal Shem Tov's intense prayer and mentions the Samekh-Mem (Satan/adversary) intercepting prayers, but no שדים/מזיקים (demons/evil spirits) appear.
Shivhei-Habesht_0015	characters-and-roles:demons	direct	Shivhei-Habesht_0015	medium	The story mentions Sama'el (Satan) intercepting prayers, but no שדים/מזיקים (demons/evil spirits) per se appear.
Adat-Zadikim_0004	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet does not appear in this story about the Baal Shem Tov.
Adat-Zadikim_0008	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Story features the Baal Shem Tov and a converted bishop; Elijah the prophet does not appear.
Khal-Hasidim_0002	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah is mentioned only as a newly-added biblical figure in authority DB context; the story itself does not depict Elijah as a character.
Khal-Hasidim_0036	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	The story features the Baal Shem Tov and a converted bishop; Elijah the prophet does not appear.
Maase-Zadikim_0008	characters-and-roles:elijah_the_prophet	propagated	Khal-Hasidim_0001	high	Elijah the prophet does not appear in this story about R. Zusha and R. Elimelech.
