story_id	tag	old_source	opus_applies	opus_confidence	verdict	opus_reasoning
Adat-Zadikim_0013	characters-and-roles:angels	propagated	False	high	REJECT	No angels appear; the supernatural element is a dead man's voice/spirit, not a malakh.
Adat-Zadikim_0023	characters-and-roles:angels	direct	True	high	CONFIRM	Elijah the Prophet appears studying with Rabbi Chaim and speaks to him, functioning as an angelic/heavenly messenger figure explicitly testifying about the Rema.
Khal-Hasidim_0174	characters-and-roles:angels	propagated	False	high	REJECT	The story mentions 'הדומה למלאך' (compared to an angel) as metaphor for the rebbe, but no angels actually appear.
Khal-Hasidim_0193	characters-and-roles:angels	propagated	False	medium	REJECT	The story features demonic/harmful spirits (מחבלים, חיצונים) and dream-figures, not angels (מלאכים).
Khal-Hasidim_0202	characters-and-roles:angels	direct	False	high	REJECT	The story mentions a heavenly court (פמליא של מעלה) but no actual angels appear.
Khal-Hasidim_0242	characters-and-roles:angels	propagated	False	high	REJECT	No angels appear; the supernatural element is a dead man's spirit, not an angel.
Khal-Hasidim_0253	characters-and-roles:angels	direct	True	high	CONFIRM	Elijah the Prophet appears and speaks in the story, functioning as an angelic/heavenly messenger figure.
Maase-Zadikim_0016	characters-and-roles:angels	propagated	False	high	REJECT	No angels appear; the story mentions heavenly court (pamalia shel ma'ala) but not מלאכים specifically.
Mifalot-HaZadikim_0006	characters-and-roles:angels	propagated	False	high	REJECT	Elijah the prophet is mentioned as revealing himself to the brother, but no angels (מלאכים) appear in the story.
Shivhei-Harav_0019	characters-and-roles:angels	propagated	False	medium	REJECT	Story features demonic/klipot tormentors and a tzaddik's rescue, but no explicit angels (מלאכים) appear.
Khal-Hasidim_0026	characters-and-roles:demons	propagated	False	high	REJECT	The story describes Baal Shem Tov's intense prayer and mentions the Samekh-Mem (Satan/adversary) intercepting prayers, but no שדים/מזיקים (demons/evil spirits) appear.
Shivhei-Habesht_0015	characters-and-roles:demons	direct	False	medium	REJECT	The story mentions Sama'el (Satan) intercepting prayers, but no שדים/מזיקים (demons/evil spirits) per se appear.
Shivhei-Habesht_0096A	characters-and-roles:demons	direct	True	high	CONFIRM	The Samael (ס״מ), a demonic figure, attempts to snatch the preacher and the Besht rebukes him.
Adat-Zadikim_0003	characters-and-roles:elijah_the_prophet	propagated	True	high	CONFIRM	The story explicitly identifies the captain who rescued the Besht as Elijah the prophet.
Adat-Zadikim_0004	characters-and-roles:elijah_the_prophet	propagated	False	high	REJECT	Elijah the prophet does not appear in this story about the Baal Shem Tov.
Adat-Zadikim_0008	characters-and-roles:elijah_the_prophet	propagated	False	high	REJECT	Story features the Baal Shem Tov and a converted bishop; Elijah the prophet does not appear.
Khal-Hasidim_0002	characters-and-roles:elijah_the_prophet	propagated	False	high	REJECT	Elijah is mentioned only as a newly-added biblical figure in authority DB context; the story itself does not depict Elijah as a character.
Khal-Hasidim_0036	characters-and-roles:elijah_the_prophet	propagated	False	high	REJECT	The story features the Baal Shem Tov and a converted bishop; Elijah the prophet does not appear.
Maase-Zadikim_0008	characters-and-roles:elijah_the_prophet	propagated	False	high	REJECT	Elijah the prophet does not appear in this story about R. Zusha and R. Elimelech.
