local_id	name_heb	occurrences	candidates	reason	decision	chosen_kima_id
ED::נ״ש	נ״ש	13	84489|9871	acronym pattern		
ED::זי״ע	זי״ע	9		acronym pattern		
ED::אבד״ק	אבד״ק	7		acronym pattern		
ED::זצ״ל	זצ״ל	5		acronym pattern		
ED::פ״א	פ״א	4		acronym pattern		
ED::ע״ס	ע״ס	4		acronym pattern		
ED::ז״ל	ז״ל	4		acronym pattern		
ED::תוב״ב	תוב״ב	3		acronym pattern		
ED::הבעש״ט	הבעש״ט	3		acronym pattern		
ED::פלני״א	פלני״א	3	86988	acronym pattern		
ED::מאוה״ג	מאוה״ג	3		acronym pattern		
ED::פפדמיי״ן	פפדמיי״ן	3		acronym pattern		
ED::מדינת קיר״ה	מדינת קיר״ה	3		acronym pattern		
ED::הג״ר	הג״ר	2		acronym pattern		
ED::ק״ש	ק״ש	2	22391	acronym pattern		
ED::ק׳ נ״ש	ק׳ נ״ש	2	4637|6222|74140	acronym pattern		
ED::פ״פ	פ״פ	2		acronym pattern		
ED::נ״ל	נ״ל	2		acronym pattern		
ED::עוה״ז	עוה״ז	2		acronym pattern		
ED::עזה״י	עזה״י	2		acronym pattern		
ED::זל״ה	זל״ה	2		acronym pattern		
ED::בוצ״ק	בוצ״ק	2		acronym pattern		
ED::וויטיפסק לאה״ק	וויטיפסק לאה״ק	1		acronym pattern		
ED::הר״ב	הר״ב	1	15417|27097	acronym pattern		
ED::ה״ה	ה״ה	1	17851	acronym pattern		
ED::זצוקללה״ה	זצוקללה״ה	1		acronym pattern		
ED::מז״ט	מז״ט	1	17443	acronym pattern		
ED::געת״מ זי״ע	געת״מ זי״ע	1		acronym pattern		
ED::ל זי״ע	ל זי״ע	1		acronym pattern		
ED::חוה״מ	חוה״מ	1		acronym pattern		
ED::יע״א	יע״א	1		acronym pattern		
ED::סכ״נ	סכ״נ	1	11646|95	acronym pattern		
ED::שפאני״א	שפאני״א	1	26921	acronym pattern		
ED::ק״ק ליווארני	ק״ק ליווארני	1		acronym pattern		
ED::ק״ק בריסק דליטא	ק״ק בריסק דליטא	1		acronym pattern		
ED::לבהכ״נ	לבהכ״נ	1		acronym pattern		
ED::הכ״נ	הכ״נ	1		acronym pattern		
ED::יצ״ו	יצ״ו	1		acronym pattern		
ED::ע״ע	ע״ע	1		acronym pattern		
ED::ק״ק פוזנא	ק״ק פוזנא	1		acronym pattern		
ED::פל״ניא	פל״ניא	1	86988	acronym pattern		
ED::הר״מ	הר״מ	1	19494|27119	acronym pattern		
ED::פו״מ	פו״מ	1		acronym pattern		
ED::ירושלים ת״ב	ירושלים ת״ב	1		acronym pattern		
ED::בית הרר״ש	בית הרר״ש	1		acronym pattern		
ED::ספ״י	ספ״י	1		acronym pattern		
ED::הרר״ש	הרר״ש	1	88133	acronym pattern		
ED::מבע״ב	מבע״ב	1		acronym pattern		
ED::דק״ק ניקלשפורג	דק״ק ניקלשפורג	1		acronym pattern		
ED::נ״י	נ״י	1		acronym pattern		
ED::אבד״ק לייפניק	אבד״ק לייפניק	1		acronym pattern		
ED::נוב״י	נוב״י	1	7723	acronym pattern		
ED::ע״ש קודש	ע״ש קודש	1		acronym pattern		
ED::מפפד״מ	מפפד״מ	1		acronym pattern		
ED::דראב״א	דראב״א	1	12803|74443|71702|80982|6943	acronym pattern		
ED::ת״א	ת״א	1	272	acronym pattern		
ED::הרצ״ה	הרצ״ה	1	6926|8762	acronym pattern		
ED::הביהכ״נ	הביהכ״נ	1		acronym pattern		
ED::עש״ט	עש״ט	1	26910	acronym pattern		
ED::מוהר״ר	מוהר״ר	1		acronym pattern		
ED::סו״ם	סו״ם	1	21807	acronym pattern		
ED::אה״ו	אה״ו	1		acronym pattern		
ED::ק״ק אלטונא	ק״ק אלטונא	1	89124	acronym pattern		
ED::מכה״ע	מכה״ע	1		acronym pattern		
ED::נע״ע	נע״ע	1		acronym pattern		
ED::כ״ש	כ״ש	1		acronym pattern		
ED::לג״ע	לג״ע	1		acronym pattern		
ED::כנה״ג	כנה״ג	1		acronym pattern		
ED::לוזייא״ו	לוזייא״ו	1		acronym pattern		
ED::בעש״ט	בעש״ט	1	21285	acronym pattern		
ED::עזהי״ת	עזהי״ת	1		acronym pattern		
ED::כ״ז	כ״ז	1	26582	acronym pattern		
ED::הבהכ״נ	הבהכ״נ	1		acronym pattern		
ED::שבק' פפד״מ	שבק' פפד״מ	1		acronym pattern		
ED::ז״ל הגד	ז״ל הגד	1		acronym pattern		
ED::נ״ע ו	נ״ע ו	1		acronym pattern		
ED::פאדוב״ה	פאדוב״ה	1		acronym pattern		
ED::ז״ל אשר	ז״ל אשר	1		acronym pattern		
ED::פפ״ד	פפ״ד	1		acronym pattern		
ED::פ״א בד	פ״א בד	1		acronym pattern		
ED::ז״ל ו	ז״ל ו	1	19906|90189	acronym pattern		
ED::הרה״ק	הרה״ק	1		acronym pattern		
ED::ז״ל ואמר	ז״ל ואמר	1		acronym pattern		
ED::וז״ל אמ	וז״ל אמ	1		acronym pattern		
ED::נ״כ	נ״כ	1		acronym pattern		
ED::ה״ק ר	ה״ק ר	1		acronym pattern		
ED::הנ״ל	הנ״ל	1	16847|84513|89655|26425	acronym pattern		
ED::זצללה״ה	זצללה״ה	1		acronym pattern		
ED::ז״ל כ	ז״ל כ	1		acronym pattern		
ED::ז״ל שש	ז״ל שש	1		acronym pattern		
ED::ז״ל פ	ז״ל פ	1	71580|21030|21437	acronym pattern		
ED::כ״א	כ״א	1		acronym pattern		
ED::ארץ פלני״א	ארץ פלני״א	1		acronym pattern		
ED::עיה״ק	עיה״ק	1		acronym pattern		
ED::חו״פ	חו״פ	1	791	acronym pattern		
ED::ב״א	ב״א	1	74942	acronym pattern		
ED::) וז״ל	) וז״ל	1	6128	acronym pattern		
ED::הרי״ם	הרי״ם	1	19494|27119	acronym pattern		
ED::זצ״ל, כ	זצ״ל, כ	1		acronym pattern		
ED::ז״ל סי	ז״ל סי	1	23898|15722	acronym pattern		
