div - xml:id	Edition	unique	Story	full tag	top-tag	sub-tag	women-in-story
Sipurei-Zadikim_0001	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0001	social-relations:with_the_authorities	social-relations	with_the_authorities	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	supernatural:contraction_of_the_road	supernatural	contraction_of_the_road	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	times:death	times	death	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	supernatural:conversing_with_the_dead	supernatural	conversing_with_the_dead	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	practice:healing_of_the_soul	practice	healing_of_the_soul	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	ethics-and-emotions:charity	ethics-and-emotions	charity	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	supernatural:magic	supernatural	magic	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	supernatural:communicating_with_the_invisible	supernatural	communicating_with_the_invisible	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0001	supernatural:perception	supernatural	perception	No Women
Sipurei-Zadikim_0002	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0002	folkloristics:story_type_protection	folkloristics	story_type_protection	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	practice:protection	practice	protection	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	folkloristics:story_type_prognostication	folkloristics	story_type_prognostication	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	supernatural:prognostication	supernatural	prognostication	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	social-relations:with_the_authorities	social-relations	with_the_authorities	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	social-relations:retrospective_recognition	social-relations	retrospective_recognition	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	social-relations:with_non_jews	social-relations	with_non_jews	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	social-relations:with_non_jews_hostility_against_jews	social-relations	with_non_jews_hostility_against_jews	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	social-relations:disobedience	social-relations	disobedience	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	ethics-and-emotions:punishment	ethics-and-emotions	punishment	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	ethics-and-emotions:fear	ethics-and-emotions	fear	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0002	ethics-and-emotions:lying	ethics-and-emotions	lying	No Women
Sipurei-Zadikim_0003	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0003	supernatural:magic	supernatural	magic	No Women
Sipurei-Zadikim_0004	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0004	social-relations:marriage_matchmaking	social-relations	marriage_matchmaking	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	social-relations:marriage	social-relations	marriage	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	social-relations:inter_hasidic_master_disciple_relationship	social-relations	inter_hasidic_master_disciple_relationship	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	Women in Story	women	Women in Story	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	supernatural:prognostication	supernatural	prognostication	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	supernatural:conversing_with_the_dead	supernatural	conversing_with_the_dead	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	folkloristics:story_type_prognostication	folkloristics	story_type_prognostication	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	social-relations:with_non_hasidim	social-relations	with_non_hasidim	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	experience:dream	experience	dream	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0004	practice:study	practice	study	Yes
Sipurei-Zadikim_0005	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0005	social-relations:with_non_hasidim	social-relations	with_non_hasidim	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	social-relations:inter_hasidic	social-relations	inter_hasidic	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	social-relations:inter_hasidic_master_disciple_relationship	social-relations	inter_hasidic_master_disciple_relationship	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	practice:study	practice	study	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	practice:travel_to_the_tsaddik	practice	travel_to_the_tsaddik	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	social-relations:marital_relationship	social-relations	marital_relationship	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	Women in Story	women	Women in Story	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	supernatural:perception	supernatural	perception	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	ethics-and-emotions:punishment	ethics-and-emotions	punishment	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	ethics-and-emotions:charity	ethics-and-emotions	charity	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0005	practice:solitude	practice	solitude	Yes
Sipurei-Zadikim_0006	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0006	spaces:institutions_hassidic_court	spaces	institutions_hassidic_court	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	social-relations:inter_hasidic	social-relations	inter_hasidic	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	social-relations:conflict	social-relations	conflict	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	social-relations:inter_hasidic_master_disciple_relationship	social-relations	inter_hasidic_master_disciple_relationship	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	halakhah:prayer	halakhah	prayer	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	ethics-and-emotions:punishment	ethics-and-emotions	punishment	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	ethics-and-emotions:prohibitions	ethics-and-emotions	prohibitions	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0006	ethics-and-emotions:sadness	ethics-and-emotions	sadness	No Women
Sipurei-Zadikim_0007	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0007	folkloristics:story_type_advent	folkloristics	story_type_advent	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	times:birth	times	birth	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	social-relations:inter_hasidic	social-relations	inter_hasidic	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	practice:study	practice	study	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	social-relations:with_non_hasidim	social-relations	with_non_hasidim	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	supernatural:perception	supernatural	perception	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	supernatural:magic	supernatural	magic	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	practice:travel_to_the_tsaddik	practice	travel_to_the_tsaddik	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	characters-and-roles:ritual_slaughterer	characters-and-roles	ritual_slaughterer	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	social-relations:conflict	social-relations	conflict	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0007	ethics-and-emotions:anger	ethics-and-emotions	anger	No Women
Sipurei-Zadikim_0008	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0008	ethics-and-emotions:charity	ethics-and-emotions	charity	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0008	halakhah:prayer	halakhah	prayer	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0008	kabbalah:kabbalistic_terms_yihudim	kabbalah	kabbalistic_terms_yihudim	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0008	practice:meditation	practice	meditation	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0008	practice:dance	practice	dance	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0008	times:holidays	times	holidays	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0008	experience:enthusiasm	experience	enthusiasm	No Women
Sipurei-Zadikim_0009	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0009	social-relations:inter_hasidic	social-relations	inter_hasidic	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0009	practice:travel_to_the_tsaddik	practice	travel_to_the_tsaddik	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0009	practice:dance	practice	dance	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0009	experience:devekut	experience	devekut	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0009	practice:devekut	practice	devekut	No Women
Sipurei-Zadikim_0010	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0010	folkloristics:story_type_prognostication	folkloristics	story_type_prognostication	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	supernatural:prognostication	supernatural	prognostication	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	social-relations:retrospective_recognition	social-relations	retrospective_recognition	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	Women in Story	women	Women in Story	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	practice:releasing_agunot	practice	releasing_agunot	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	characters-and-roles:agunah	characters-and-roles	agunah	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	ethics-and-emotions:sadness	ethics-and-emotions	sadness	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	ethics-and-emotions:anger	ethics-and-emotions	anger	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	social-relations:disobedience	social-relations	disobedience	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0010	ethics-and-emotions:punishment	ethics-and-emotions	punishment	Yes
Sipurei-Zadikim_0011	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0011	folkloristics:story_type_advent	folkloristics	story_type_advent	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	folkloristics:story_type_rapprochement	folkloristics	story_type_rapprochement	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	times:birth	times	birth	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	times:inauguration	times	inauguration	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	social-relations:inter_hasidic	social-relations	inter_hasidic	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	social-relations:inter_hasidic_master_disciple_relationship	social-relations	inter_hasidic_master_disciple_relationship	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	Women in Story	women	Women in Story	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	social-relations:conflict	social-relations	conflict	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	social-relations:with_non_hasidim	social-relations	with_non_hasidim	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	practice:study	practice	study	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	halakhah:prayer	halakhah	prayer	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	ethics-and-emotions:Joy	ethics-and-emotions	Joy	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	characters-and-roles:hidden_righteous	characters-and-roles	hidden_righteous	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	supernatural:perception	supernatural	perception	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	supernatural:magic	supernatural	magic	Yes
	Sipurei-Zadikim		Sipurei-Zadikim_0011	experience:visions	experience	visions	Yes
Sipurei-Zadikim_0012	Sipurei-Zadikim	Sipurei-Zadikim	Sipurei-Zadikim_0012	folkloristics:story_type_death_of_the_tsaddik	folkloristics	story_type_death_of_the_tsaddik	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0012	times:death	times	death	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0012	characters-and-roles:the_family_of_the_tsaddik	characters-and-roles	the_family_of_the_tsaddik	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0012	practice:pilgrimage_to_the_graves_of_tsaddikim	practice	pilgrimage_to_the_graves_of_tsaddikim	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0012	custom:pilgrimage_to_the_graves_of_tsaddikim	custom	pilgrimage_to_the_graves_of_tsaddikim	No Women
	Sipurei-Zadikim		Sipurei-Zadikim_0012	ethics-and-emotions:repentance	ethics-and-emotions	repentance	No Women
