"action"	"text"	"original_label"	"corrected_label"	"start"	"end"	"source_file"	"context_before"	"context_after"	"context_containing"
"added"	"ה"	""	"MISC"	"1893"	"1894"	"Maasim-Tovim.xml"	"מעשה מאכלי שבת מרבינו הקדוש בעל חיבור המשניות.
					יג) שבחי אדונינו מורינו ורבן של כל ישראל הרב רבי משה בן
					 (הנחמןרמב״ן) זי""ע.
					יד) מעשה הרמב״ן בברצולוני שהוליך ספינה ברוח שפתיו על"	"יבשה.
					טו) מעשה הרמב״ן עם תלמיד שאינו הגון.
					טז) מעשה דרשות הרמב״ן.
					) מעשה היזרמב״ן עם תלמיד שלא שמע לרבו וחשקה נפשו בתורה.
					יח) פטירת הרמב״ן.
					יט) מעשה פלא ונורא של המורד בימי"	"הרב"
"removed"	"אלקי"	"PER"	""	"1915"	"1919"	"Maasim-Tovim.xml"	"מעשה נטילת ידים מאדון עוזינו הגאון הקדוש רבינו שלום
					 מרוקח זי""עבעלז.
				
				
			Maasim-Tovim_0001

					א) מעשה ברכת המזון שהי׳ בחסיד א׳ לפני הרב הגאון המקובל
					 קדוש יאמר לו"	"מו״המאיר מרגליות זצ""ל אבד״ק לבוב
					 .
				בעהמח״סמאיר נתיבים
				
					הנה חסיד אחד מתלמידיו שהי׳ מתנהג בחסידות וביראת ה׳ כל
					הימים ועושה צדקה כפי כחו והי׳ לו צער גדול שלא הי׳
					זוכה לגדל"	" קדוש"
"added"	"אלקי"	""	"PER"	"1929"	"1933"	"Maasim-Tovim.xml"	"מעשה נטילת ידים מאדון עוזינו הגאון הקדוש רבינו שלום
					 מרוקח זי""עבעלז.
				
				
			Maasim-Tovim_0001

					א) מעשה ברכת המזון שהי׳ בחסיד א׳ לפני הרב הגאון המקובל
					 קדוש יאמר לו"	"מו״המאיר מרגליות זצ""ל אבד״ק לבוב
					 .
				בעהמח״סמאיר נתיבים
				
					הנה חסיד אחד מתלמידיו שהי׳ מתנהג בחסידות וביראת ה׳ כל
					הימים ועושה צדקה כפי כחו והי׳ לו צער גדול שלא הי׳
					זוכה לגדל"	" אלקימו״המאיר"
"removed"	"בוב"	"GPE"	""	"1963"	"1966"	"Maasim-Tovim.xml"	"עוזינו הגאון הקדוש רבינו שלום
					 מרוקח זי""עבעלז.
				
				
			Maasim-Tovim_0001

					א) מעשה ברכת המזון שהי׳ בחסיד א׳ לפני הרב הגאון המקובל
					 קדוש יאמר לו  אלקימו״המאיר מרגליות זצ""ל אבד״ק ל"	".
				בעהמח״סמאיר נתיבים
				
					הנה חסיד אחד מתלמידיו שהי׳ מתנהג בחסידות וביראת ה׳ כל
					הימים ועושה צדקה כפי כחו והי׳ לו צער גדול שלא הי׳
					זוכה לגדל בניו שכל הבנים הנולדים לו לא ישמח"	"לבוב"
"removed"	"בעהמח״ס"	"PER"	""	"1972"	"1979"	"Maasim-Tovim.xml"	"רבינו שלום
					 מרוקח זי""עבעלז.
				
				
			Maasim-Tovim_0001

					א) מעשה ברכת המזון שהי׳ בחסיד א׳ לפני הרב הגאון המקובל
					 קדוש יאמר לו  אלקימו״המאיר מרגליות זצ""ל אבד״ק לבוב
					 ."	"מאיר נתיבים
				
					הנה חסיד אחד מתלמידיו שהי׳ מתנהג בחסידות וביראת ה׳ כל
					הימים ועושה צדקה כפי כחו והי׳ לו צער גדול שלא הי׳
					זוכה לגדל בניו שכל הבנים הנולדים לו לא ישמח בהם"	" .
				בעהמח״סמאיר"
"added"	"בעהמח״ס"	""	"PER"	"1973"	"1980"	"Maasim-Tovim.xml"	"רבינו שלום
					 מרוקח זי""עבעלז.
				
				
			Maasim-Tovim_0001

					א) מעשה ברכת המזון שהי׳ בחסיד א׳ לפני הרב הגאון המקובל
					 קדוש יאמר לו  אלקימו״המאיר מרגליות זצ""ל אבד״ק לבוב
					 ."	"מאיר נתיבים
				
					הנה חסיד אחד מתלמידיו שהי׳ מתנהג בחסידות וביראת ה׳ כל
					הימים ועושה צדקה כפי כחו והי׳ לו צער גדול שלא הי׳
					זוכה לגדל בניו שכל הבנים הנולדים לו לא ישמח בהם"	".
				בעהמח״סמאיר"
"removed"	"ה׳"	"MISC"	""	"2056"	"2058"	"Maasim-Tovim.xml"	"מעשה ברכת המזון שהי׳ בחסיד א׳ לפני הרב הגאון המקובל
					 קדוש יאמר לו  אלקימו״המאיר מרגליות זצ""ל אבד״ק לבוב
					 .
				בעהמח״סמאיר נתיבים
				
					הנה חסיד אחד מתלמידיו שהי׳ מתנהג בחסידות וביראת"	"כל
					הימים ועושה צדקה כפי כחו והי׳ לו צער גדול שלא הי׳
					זוכה לגדל בניו שכל הבנים הנולדים לו לא ישמח בהם וימותו
					בקטנותם ר״ל ומאד גדל צערו ע״ז ולא הניח דבר רפואות וסגולות
					וקמיעות שלא"	""
"added"	"וב"	""	"GPE"	"2749"	"2751"	"Maasim-Tovim.xml"	"ישיגו להיות חיים שמונה ימים שלימים והם מתים ולא ידעתי
					מה לעשות לא אוכל עוד לסבול הצער הגדול אשר יקרה לי.
					והיום באתי לפני אדמו״ר להתחנן לפני השי״ת להתפלל עלי ויתן
					לי איזה תרופה ועצה ט"	"ה כדי שיחיו בני ויוציא זאת הדאגה
					מלבי באותו שעה שאל לו הרב מה מעשיך והנהגותיך בזה העולם
					וסיפר לו כל מעשיו וענייניו והנהגתו בעבדות השי״ת ומצותיו כל
					הימים. וראה הרב איך דרכיו מתוקנים"	"טובה"
"removed"	"ה"	"MISC"	""	"3328"	"3329"	"Maasim-Tovim.xml"	"שיחיו בני ויוציא זאת הדאגה
					מלבי באותו שעה שאל לו הרב מה מעשיך והנהגותיך בזה העולם
					וסיפר לו כל מעשיו וענייניו והנהגתו בעבדות השי״ת ומצותיו כל
					הימים. וראה הרב איך דרכיו מתוקנים ביראת"	"׳ והכל לש""ש.
					ונשאר הרב בחול במחשבתו לידע מה הוא הגורם להחסיד הנ״ל
					העונש הלזה:
				
				
					ואחר עבור זמן כמו שעה אחת והוא יושב ודומם במחשבותיו
					הטהורים לבוא אל האמת על מה זה ולמה באו"	"האיש"
"added"	"ה׳"	""	"MISC"	"4798"	"4800"	"Maasim-Tovim.xml"	"להרויח אפי' כחוט השערה ולא עוד
					אלא כי ענש יענש והוא לא ידע כי בנפשו הוא ובאים לו חולאים
					דעים או מיתת בנים או עניות ר""ל והכל הוא מטיל אותו במקרה
					וכמו שראינו בהאיש הזה שהי׳ שלם ביראת"	"שלא נמצא בו
					אלא טעות זה שלא במתכוין ונענש במיתת בנים ר״ל. וכשתיקן
					מעוותו ה׳ רחם עליו ומלא רצונו וזכה לבנים לחיים כן יזכנו האל
					להיות יראתו תמיד על פנינו בכל עת ובכל רגע"	""
