cluster_id	size	n_editions	members
0	2	2	Adat-Zadikim/Adat-Zadikim_0001; Khal-Hasidim/Khal-Hasidim_0081
1	2	2	Adat-Zadikim/Adat-Zadikim_0002; Khal-Hasidim/Khal-Hasidim_0030
2	2	2	Adat-Zadikim/Adat-Zadikim_0003; Khal-Hasidim/Khal-Hasidim_0012
3	2	2	Adat-Zadikim/Adat-Zadikim_0004; Khal-Hasidim/Khal-Hasidim_0024
4	2	2	Adat-Zadikim/Adat-Zadikim_0005; Khal-Hasidim/Khal-Hasidim_0033
5	2	2	Adat-Zadikim/Adat-Zadikim_0006; Khal-Hasidim/Khal-Hasidim_0154
6	2	2	Adat-Zadikim/Adat-Zadikim_0008; Khal-Hasidim/Khal-Hasidim_0036
7	2	2	Adat-Zadikim/Adat-Zadikim_0009; Khal-Hasidim/Khal-Hasidim_0045
8	2	2	Adat-Zadikim/Adat-Zadikim_0010; Khal-Hasidim/Khal-Hasidim_0062
9	2	2	Adat-Zadikim/Adat-Zadikim_0011; Khal-Hasidim/Khal-Hasidim_0067
10	2	2	Adat-Zadikim/Adat-Zadikim_0012; Khal-Hasidim/Khal-Hasidim_0149
11	2	2	Adat-Zadikim/Adat-Zadikim_0013; Khal-Hasidim/Khal-Hasidim_0242
12	2	2	Adat-Zadikim/Adat-Zadikim_0014; Khal-Hasidim/Khal-Hasidim_0251
13	2	2	Adat-Zadikim/Adat-Zadikim_0015; Khal-Hasidim/Khal-Hasidim_0237
14	2	2	Adat-Zadikim/Adat-Zadikim_0016; Khal-Hasidim/Khal-Hasidim_0173
15	2	2	Adat-Zadikim/Adat-Zadikim_0017; Khal-Hasidim/Khal-Hasidim_0146
16	2	2	Adat-Zadikim/Adat-Zadikim_0021; Khal-Hasidim/Khal-Hasidim_0148
17	2	2	Adat-Zadikim/Adat-Zadikim_0022; Khal-Hasidim/Khal-Hasidim_0252
18	2	2	Adat-Zadikim/Adat-Zadikim_0023; Khal-Hasidim/Khal-Hasidim_0253
19	2	2	Adat-Zadikim/Adat-Zadikim_0024; Khal-Hasidim/Khal-Hasidim_0254
