sim	edition_a	story_a	edition_b	story_b	chars_a	chars_b
0.9991	Adat-Zadikim	Adat-Zadikim_0008	Khal-Hasidim	Khal-Hasidim_0036	8875	8852
0.9988	Khal-Hasidim	Khal-Hasidim_0217	PeerMikdoshim	Peer-MiKdoshim_0015	11560	11636
0.9988	Adat-Zadikim	Adat-Zadikim_0009	Khal-Hasidim	Khal-Hasidim_0045	6669	6640
0.9984	Khal-Hasidim	Khal-Hasidim_0179	Shivhei-Harav	Shivhei-Harav_0013	3832	3847
0.9982	Khal-Hasidim	Khal-Hasidim_0002	Shivhei-Habesht	Shivhei-Habesht_0002	11334	11469
0.9981	Adat-Zadikim	Adat-Zadikim_0013	Khal-Hasidim	Khal-Hasidim_0242	9603	9484
0.9979	Khal-Hasidim	Khal-Hasidim_0165	Sipurei-Zadikim	Sipurei-Zadikim_0002	6701	6740
0.9979	Adat-Zadikim	Adat-Zadikim_0006	Khal-Hasidim	Khal-Hasidim_0154	8447	8339
0.9978	Adat-Zadikim	Adat-Zadikim_0015	Khal-Hasidim	Khal-Hasidim_0237	9034	8769
0.9977	Khal-Hasidim	Khal-Hasidim_0184	Shivhei-Harav	Shivhei-Harav_0015	4315	4313
0.9975	Adat-Zadikim	Adat-Zadikim_0010	Khal-Hasidim	Khal-Hasidim_0062	4079	4066
0.9974	Khal-Hasidim	Khal-Hasidim_0171	maase-zadikim	Maase-Zadikim_0007	8350	8389
0.9973	Khal-Hasidim	Khal-Hasidim_0178	Shivhei-Harav	Shivhei-Harav_0012	3371	3343
0.9973	Khal-Hasidim	Khal-Hasidim_0082	Shivhei-Habesht	Shivhei-Habesht_0097	2427	2426
0.9972	Adat-Zadikim	Adat-Zadikim_0001	Khal-Hasidim	Khal-Hasidim_0081	5937	5682
0.9971	Khal-Hasidim	Khal-Hasidim_0126	PeerMikdoshim	Peer-MiKdoshim_0006	10786	11501
0.9971	Adat-Zadikim	Adat-Zadikim_0016	Khal-Hasidim	Khal-Hasidim_0173	4750	4714
0.9971	Khal-Hasidim	Khal-Hasidim_0013	maase-zadikim	Maase-Zadikim_0005	4440	4517
0.9971	Khal-Hasidim	Khal-Hasidim_0243	maase-zadikim	Maase-Zadikim_0018	4902	4991
0.9969	Khal-Hasidim	Khal-Hasidim_0202	maase-zadikim	Maase-Zadikim_0016	5692	5737
0.9969	Adat-Zadikim	Adat-Zadikim_0023	Khal-Hasidim	Khal-Hasidim_0253	7955	7604
