story_id	edition	human	claude	gemini	agreement	claude_reasoning	gemini_reasoning
Adat-Zadikim_0001	Adat-Zadikim	major	minor	major	human=gemini/claude-differs	Shabbtai the bookbinder's wife appears in the story—she is called before the Besht, and her husband extracts a promise from her not to accept charity from neighbors—but the narrative centers on Shabbtai's own piety and self-sacrifice, with the wife serving a supporting, contextual role rather than driving the plot or spiritual meaning.	The story revolves around a poor bookbinder and his wife and the lengths they go to in order to uphold the Sabbath, even when they have no money for food or candles. The wife's actions and agreement with her husband are crucial to the story.
Adat-Zadikim_0002	Adat-Zadikim	no-women	no-women	minor	human=claude/gemini-differs	The story revolves entirely around the Baal Shem Tov, his disciple/innkeeper, and the community leaders of Brod; no women appear or are mentioned in any capacity.	While the story primarily revolves around the Ba'al Shem Tov and a male innkeeper, the innkeeper's wife is mentioned in passing. She doesn't play a significant role in the plot or thematic development, but her presence, however brief, places the story in the 'minor' category.
Adat-Zadikim_0003	Adat-Zadikim	minor	minor	minor	all-agree	The Besht's daughter appears repeatedly and has active roles — pressuring her father about Passover provisions and welcoming the guest — but the story's spiritual core (the Besht's oath, losing and regaining his share in the World to Come, his selfless devotion) does not hinge on her character or qualities. The guest's wife is also briefly mentioned as the recipient of the Besht's blessing for a child, but she has no agency or voice.	The story centers on the Baal Shem Tov and his travels, but his daughter and the guest's wife have minor roles. The daughter asks about Passover provisions, and the guest's wife's barrenness is mentioned as part of the miracle, but they are not central to the plot's progression or spiritual meaning.
Adat-Zadikim_0004	Adat-Zadikim	minor	major	minor	human=gemini/claude-differs	The bride (כלה) is the central figure whose mysterious death-like collapse is the entire purpose of the Besht's journey and drives every event in the story — her revival and return to the wedding canopy is the narrative's climax and spiritual focus. Without her, there is no story.	While the story revolves around a wedding and a bride who seemingly dies, she is a passive character. The focus is on the Ba'al Shem Tov's actions and the miracle he performs, not on the bride herself or her agency.
Adat-Zadikim_0005	Adat-Zadikim	no-women	no-women	minor	human=claude/gemini-differs	The story features only male characters: the Besht, his disciples, the innkeeper (זקן), the lord's officer (שוטר), and a passing traveler. No women appear in any capacity.	While the story focuses on the Ba'al Shem Tov and a village elder's faith, the narrative mentions the elder having a household ('b'b'), implying the existence of a wife, though she doesn't appear or play any role.
Adat-Zadikim_0006	Adat-Zadikim	minor	no-women	minor	human=gemini/claude-differs	The story features exclusively male characters — Rabbi Mikhl of Zlotchov, the unnamed man sent to learn bitachon, and the wealthy merchant of Berdichev. No women appear or are mentioned in any capacity.	This story revolves around a man learning about faith from a wealthy man. While the story mentions the wealthy man's household and servants, no specific woman plays a significant role in the narrative. Therefore, the story is categorized as 'minor'.
Adat-Zadikim_0007	Adat-Zadikim	minor	minor	minor	all-agree	The tavern keeper's wife appears briefly in the backstory: she pressures and curses her husband to take a human business partner during their financial crisis, which incidentally spurs him to go to the field and make his vow of partnership with God. While she functions as a narrative catalyst for that pivotal moment, she is not foregrounded as a character and the story's spiritual core — the man's extraordinary bitachon — does not depend on her.	A man's wife is mentioned as pressuring him to take on a partner and cursing him. However, she is a background figure whose actions do not drive the plot or spiritual meaning. The story focuses on the man's faith and actions.
Adat-Zadikim_0008	Adat-Zadikim	minor	no-women	no-women	models-agree/human-differs	The story centers entirely on R' Yaakov (the Besht's servant) and the wealthy Italian patron; no women appear or are mentioned in any capacity throughout the narrative.	This story recounts the travels of a servant of the Besht to earn a living by telling stories. No women appear in the story.
Adat-Zadikim_0009	Adat-Zadikim	minor	no-women	minor	human=gemini/claude-differs	The story focuses entirely on male characters — Rabbi David of Mikliev, the Baal Shem Tov, the parnas, and a visiting preacher — with no women mentioned or appearing in any capacity.	A woman is mentioned as part of a group (townspeople), but she does not play any direct role in the story's plot or spiritual meaning. The story focuses on the actions and spiritual journey of Rabbi David.
Adat-Zadikim_0010	Adat-Zadikim	minor	minor	minor	all-agree	Toyvele (טובעלע), the named wife of the wealthy R' Shmuel, initiates the Besht's visit by pressuring her husband to summon him, and her social standing causes the townspeople to hesitate before acting against the shochet — but the story's main spiritual and narrative thrust centers on the Besht's miraculous detection of non-kosher meat and the exposure of the fraudulent shochet. The Duchess (דוכסית) also appears briefly as a background actor. Both women are supporting figures rather than central ones.	Although the story centers around the Ba'al Shem Tov, Reb Shmuel's wife, Toybele, plays a crucial role in convincing her husband to invite the Ba'al Shem Tov, which initiates the plot. The duchess is also mentioned as becoming involved, but these actions don't make either of them the central focus.
